NUM_00,CAT_00,NUM_01,CAT_01,NUM_02,CAT_02,CAT_03,CAT_04,CAT_05,CAT_06,NUM_03,NUM_04,NUM_05,CAT_07,target
39,Private,94036.0,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40,United-States,0
41,Private,177989.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2051.0,60,United-States,0
48,Local-gov,317360.0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40,United-States,1
25,Private,178037.0,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0.0,0.0,40,United-States,0
45,Private,39464.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40,United-States,0
50,Private,22211.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,50,United-States,1
62,Self-emp-inc,164616.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,45,United-States,1
52,Private,110563.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40,United-States,1
19,Private,162621.0,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0.0,0.0,14,United-States,0
49,Private,166215.0,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
39,Self-emp-not-inc,142573.0,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,25,United-States,0
30,Private,116508.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,Germany,0
27,Federal-gov,196386.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,4064.0,0.0,40,El-Salvador,0
28,Private,89813.0,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40,United-States,0
20,Private,140764.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20,United-States,0
40,Private,109800.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40,United-States,0
59,Private,53481.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,0
27,Private,210765.0,Assoc-voc,11,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,0
62,Self-emp-not-inc,182998.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,10,United-States,0
45,Private,265097.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,1902.0,40,United-States,1
64,,192715.0,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0.0,1672.0,10,United-States,0
62,Self-emp-not-inc,265007.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60,Ecuador,0
34,Private,100593.0,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,6,United-States,0
37,Self-emp-not-inc,143774.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40,Germany,1
43,Private,84673.0,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,38,United-States,1
34,Private,240979.0,HS-grad,9,Separated,Craft-repair,Unmarried,White,Male,0.0,0.0,80,United-States,0
36,Private,176101.0,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,0
50,Private,243115.0,HS-grad,9,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,0.0,0.0,40,United-States,0
38,Private,161141.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,40,United-States,0
47,Private,380922.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,50,United-States,1
65,State-gov,42488.0,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,2653.0,0.0,8,United-States,0
48,Private,108557.0,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,99999.0,0.0,40,United-States,1
58,Private,187067.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,62,Canada,0
52,Private,111700.0,Some-college,10,Divorced,Sales,Other-relative,White,Female,0.0,0.0,20,United-States,1
35,Private,186126.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,38,,0
30,Private,232475.0,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,0
39,Private,241998.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,0
73,Private,77884.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,Philippines,0
40,Private,272240.0,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,United-States,0
36,Private,112271.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,1902.0,40,United-States,1
63,,166425.0,Some-college,10,Widowed,,Not-in-family,Black,Female,0.0,0.0,24,United-States,0
34,Private,203488.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,0
55,Private,174260.0,HS-grad,9,Widowed,Tech-support,Not-in-family,White,Male,0.0,0.0,40,United-States,0
21,,509629.0,Some-college,10,Never-married,,Own-child,White,Female,0.0,0.0,35,United-States,0
55,Private,160631.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4508.0,0.0,8,Yugoslavia,0
28,Private,294936.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45,United-States,0
