NUM_00,CAT_00,CAT_01,CAT_02,CAT_03,NUM_01,CAT_04,CAT_05,CAT_06,NUM_02,CAT_07,NUM_03,NUM_04,NUM_05,NUM_06,CAT_08,target
40,entrepreneur,single,secondary,no,5.0,no,yes,cellular,15,jul,117.0,3,-1.0,0.0,unknown,0
36,self-employed,married,secondary,no,1184.0,yes,no,cellular,6,apr,1063.0,1,-1.0,0.0,unknown,1
32,services,married,secondary,no,197.0,yes,no,cellular,20,apr,421.0,4,-1.0,0.0,unknown,0
32,technician,single,secondary,no,-5.0,no,yes,cellular,26,aug,300.0,4,-1.0,0.0,unknown,0
64,management,married,secondary,no,1646.0,no,no,cellular,12,aug,68.0,3,-1.0,0.0,unknown,0
30,entrepreneur,married,secondary,no,-346.0,yes,yes,cellular,22,jul,88.0,1,-1.0,0.0,unknown,0
50,admin.,married,secondary,no,706.0,yes,no,cellular,6,aug,1250.0,4,-1.0,0.0,unknown,1
33,blue-collar,single,secondary,no,13494.0,yes,no,unknown,20,jun,27.0,25,-1.0,0.0,unknown,0
35,student,divorced,tertiary,no,100.0,no,no,cellular,21,nov,50.0,1,-1.0,0.0,unknown,0
34,unemployed,married,secondary,no,6438.0,yes,no,cellular,21,nov,21.0,7,-1.0,0.0,unknown,0
44,management,married,tertiary,no,423.0,no,no,cellular,12,mar,2330.0,5,-1.0,0.0,unknown,1
28,services,single,secondary,no,373.0,yes,no,cellular,18,may,115.0,2,-1.0,0.0,unknown,0
59,retired,divorced,secondary,no,208.0,no,yes,cellular,28,jan,503.0,2,-1.0,0.0,unknown,0
38,admin.,divorced,secondary,no,930.0,yes,no,cellular,5,may,46.0,1,-1.0,0.0,unknown,0
48,management,single,tertiary,no,430.0,yes,no,cellular,16,apr,44.0,1,-1.0,0.0,unknown,0
33,services,single,secondary,no,152.0,yes,no,cellular,25,may,202.0,2,365.0,2.0,success,1
41,management,married,tertiary,no,1559.0,no,no,cellular,28,aug,74.0,7,-1.0,0.0,unknown,0
36,blue-collar,married,secondary,no,0.0,yes,no,cellular,7,may,332.0,1,-1.0,0.0,unknown,0
45,services,married,secondary,no,162.0,no,no,unknown,6,jun,166.0,4,-1.0,0.0,unknown,0
41,blue-collar,married,primary,no,1256.0,no,no,cellular,31,jul,74.0,2,-1.0,0.0,unknown,0
43,management,single,tertiary,no,359.0,yes,no,telephone,12,may,899.0,3,-1.0,0.0,unknown,0
59,housemaid,married,primary,no,116.0,no,no,cellular,8,aug,129.0,4,-1.0,0.0,unknown,0
39,housemaid,married,primary,no,267.0,no,no,unknown,9,jun,1151.0,5,-1.0,0.0,unknown,0
50,blue-collar,married,primary,no,89.0,yes,no,unknown,9,may,210.0,3,-1.0,0.0,unknown,0
36,self-employed,married,primary,no,2022.0,no,no,unknown,19,jun,71.0,2,-1.0,0.0,unknown,0
29,unemployed,single,tertiary,no,111.0,no,no,cellular,6,feb,98.0,2,-1.0,0.0,unknown,0
31,self-employed,married,tertiary,no,1015.0,no,no,cellular,8,aug,112.0,2,-1.0,0.0,unknown,0
35,entrepreneur,married,secondary,no,1309.0,yes,no,cellular,18,nov,73.0,3,-1.0,0.0,unknown,0
29,admin.,married,primary,no,624.0,yes,no,unknown,12,may,246.0,1,-1.0,0.0,unknown,0
21,student,single,secondary,no,2488.0,no,no,cellular,12,oct,180.0,1,-1.0,0.0,unknown,1
49,blue-collar,married,secondary,no,8545.0,yes,yes,cellular,6,may,199.0,7,167.0,1.0,failure,0
58,blue-collar,married,secondary,no,602.0,yes,no,cellular,13,may,201.0,1,-1.0,0.0,unknown,0
58,blue-collar,married,secondary,no,8195.0,yes,no,cellular,16,apr,104.0,1,332.0,2.0,failure,0
47,management,married,secondary,no,414.0,no,no,cellular,26,aug,142.0,2,-1.0,0.0,unknown,0
38,blue-collar,married,primary,no,178.0,yes,no,unknown,20,may,245.0,1,-1.0,0.0,unknown,0
40,self-employed,married,secondary,no,2.0,no,no,cellular,22,aug,197.0,5,-1.0,0.0,unknown,0
34,management,married,tertiary,no,1778.0,no,no,cellular,5,aug,329.0,2,181.0,4.0,failure,0
41,blue-collar,married,secondary,no,514.0,no,yes,telephone,15,jul,321.0,3,-1.0,0.0,unknown,0
32,services,married,unknown,no,23.0,no,no,cellular,11,jul,425.0,2,-1.0,0.0,unknown,0
27,admin.,single,secondary,no,1.0,yes,no,unknown,12,may,86.0,1,-1.0,0.0,unknown,0
44,blue-collar,single,secondary,no,-210.0,yes,no,cellular,11,may,73.0,4,-1.0,0.0,unknown,0
38,technician,single,secondary,no,28.0,yes,yes,cellular,20,apr,131.0,3,-1.0,0.0,unknown,0
22,student,single,secondary,no,254.0,no,no,cellular,13,jan,143.0,2,-1.0,0.0,unknown,1
41,blue-collar,single,unknown,no,961.0,yes,no,unknown,29,may,117.0,1,-1.0,0.0,unknown,0
30,self-employed,single,tertiary,no,253.0,yes,no,cellular,28,jul,283.0,4,-1.0,0.0,unknown,0
35,services,married,secondary,no,0.0,yes,no,cellular,30,jul,251.0,3,-1.0,0.0,unknown,0
32,management,married,tertiary,no,3809.0,yes,no,unknown,27,may,50.0,5,-1.0,0.0,unknown,0
40,blue-collar,married,secondary,no,1074.0,yes,no,cellular,9,apr,90.0,2,-1.0,0.0,unknown,0
62,blue-collar,married,primary,no,115.0,no,no,telephone,29,oct,157.0,4,183.0,3.0,failure,0
57,management,married,tertiary,no,561.0,no,no,unknown,5,jun,21.0,1,-1.0,0.0,unknown,0
36,services,married,tertiary,no,301.0,no,no,cellular,28,jan,333.0,1,-1.0,0.0,unknown,0
44,blue-collar,married,secondary,no,466.0,yes,yes,cellular,14,may,158.0,5,350.0,1.0,other,0
30,technician,married,secondary,no,-280.0,yes,no,cellular,17,apr,609.0,2,266.0,2.0,failure,0
21,services,single,secondary,no,361.0,no,no,telephone,5,jun,329.0,1,95.0,1.0,other,0
38,admin.,single,secondary,no,221.0,yes,no,cellular,4,feb,93.0,2,274.0,2.0,failure,0
33,technician,married,secondary,no,0.0,yes,yes,unknown,9,may,173.0,2,-1.0,0.0,unknown,0
32,self-employed,married,tertiary,no,1676.0,yes,no,cellular,9,sep,223.0,2,-1.0,0.0,unknown,0
35,unemployed,married,primary,no,859.0,no,no,unknown,9,jun,330.0,3,-1.0,0.0,unknown,0
35,self-employed,single,tertiary,no,398.0,no,no,cellular,5,jul,101.0,3,-1.0,0.0,unknown,0
28,student,single,tertiary,no,2306.0,no,no,cellular,29,oct,140.0,2,-1.0,0.0,unknown,0
28,blue-collar,married,secondary,no,1113.0,yes,no,cellular,22,may,135.0,1,108.0,2.0,other,0
35,management,married,tertiary,no,0.0,yes,no,cellular,5,may,310.0,1,-1.0,0.0,unknown,0
32,blue-collar,married,primary,no,885.0,yes,no,unknown,21,may,127.0,2,-1.0,0.0,unknown,0
46,technician,married,secondary,no,410.0,no,yes,cellular,21,nov,162.0,5,-1.0,0.0,unknown,0
32,technician,married,secondary,no,473.0,no,yes,cellular,7,may,292.0,3,-1.0,0.0,unknown,1
46,management,married,tertiary,no,1103.0,yes,no,cellular,13,may,185.0,2,278.0,3.0,failure,0
47,technician,married,secondary,no,0.0,yes,no,cellular,30,apr,81.0,1,164.0,1.0,failure,0
41,management,married,tertiary,no,-499.0,no,no,cellular,31,jul,21.0,17,-1.0,0.0,unknown,0
59,technician,married,secondary,no,0.0,yes,yes,unknown,28,may,109.0,1,-1.0,0.0,unknown,0
27,technician,single,secondary,no,1187.0,no,no,cellular,28,jan,120.0,2,-1.0,0.0,unknown,0
23,student,single,secondary,no,922.0,no,no,cellular,28,may,538.0,2,184.0,9.0,failure,1
26,admin.,married,tertiary,no,906.0,no,no,cellular,2,nov,109.0,1,160.0,1.0,success,0
50,entrepreneur,married,tertiary,no,-52.0,yes,no,unknown,14,may,166.0,4,-1.0,0.0,unknown,0
55,management,single,secondary,no,1507.0,yes,no,cellular,30,jul,114.0,3,-1.0,0.0,unknown,0
58,admin.,married,secondary,no,169.0,no,no,cellular,16,nov,301.0,1,94.0,3.0,failure,1
83,housemaid,married,primary,no,2140.0,no,no,cellular,6,sep,109.0,3,276.0,8.0,other,0
45,services,single,secondary,no,184.0,yes,yes,unknown,4,jul,89.0,2,-1.0,0.0,unknown,0
34,unemployed,married,secondary,no,-16.0,yes,no,cellular,15,may,212.0,3,364.0,2.0,other,0
26,blue-collar,single,primary,no,318.0,yes,no,unknown,8,may,101.0,1,-1.0,0.0,unknown,0
36,blue-collar,married,secondary,no,-308.0,yes,no,cellular,7,jul,279.0,11,-1.0,0.0,unknown,0
31,blue-collar,single,primary,no,864.0,yes,no,telephone,14,may,113.0,2,-1.0,0.0,unknown,0
28,services,married,secondary,no,0.0,yes,no,cellular,5,may,334.0,1,355.0,6.0,failure,0
