NUM_00,NUM_01,NUM_02,NUM_03,target
2,50,12500.0,98,1
0,13,3250.0,28,1
1,16,4000.0,35,1
2,20,5000.0,45,1
1,24,6000.0,77,0
4,4,1000.0,4,0
2,7,1750.0,14,1
1,12,3000.0,35,0
2,9,2250.0,22,1
5,46,11500.0,98,1
4,23,5750.0,58,0
0,3,750.0,4,0
2,10,2500.0,28,1
1,13,3250.0,47,0
2,6,1500.0,15,1
2,5,1250.0,11,1
2,14,3500.0,48,1
2,15,3750.0,49,1
2,6,1500.0,15,1
2,3,750.0,4,1
2,3,750.0,4,1
4,11,2750.0,28,0
2,6,1500.0,16,1
2,6,1500.0,16,1
9,9,2250.0,16,0
4,14,3500.0,40,0
4,6,1500.0,14,0
4,12,3000.0,34,1
4,5,1250.0,11,1
4,8,2000.0,21,0
1,14,3500.0,58,0
4,10,2500.0,28,1
4,10,2500.0,28,1
4,9,2250.0,26,1
2,16,4000.0,64,0
2,8,2000.0,28,1
2,12,3000.0,47,1
4,6,1500.0,16,1
2,14,3500.0,57,1
4,7,1750.0,22,1
2,13,3250.0,53,1
2,5,1250.0,16,0
2,5,1250.0,16,1
2,5,1250.0,16,0
4,20,5000.0,69,1
4,9,2250.0,28,1
2,9,2250.0,36,0
2,2,500.0,2,0
2,2,500.0,2,0
2,2,500.0,2,0
2,11,2750.0,46,0
2,11,2750.0,46,1
2,6,1500.0,22,0
2,12,3000.0,52,0
4,5,1250.0,14,1
4,19,4750.0,69,1
4,8,2000.0,26,1
2,7,1750.0,28,1
2,16,4000.0,81,0
3,6,1500.0,21,0
2,7,1750.0,29,0
2,8,2000.0,35,1
2,10,2500.0,49,0
4,5,1250.0,16,1
2,3,750.0,9,1
3,16,4000.0,74,0
2,4,1000.0,14,1
0,2,500.0,4,0
4,7,1750.0,25,0
1,9,2250.0,51,0
2,4,1000.0,16,0
2,4,1000.0,16,0
4,17,4250.0,71,1
2,2,500.0,4,0
2,2,500.0,4,1
2,2,500.0,4,1
2,4,1000.0,16,1
2,2,500.0,4,0
2,2,500.0,4,0
2,2,500.0,4,0
4,6,1500.0,23,1
2,4,1000.0,16,0
2,4,1000.0,16,0
2,4,1000.0,16,0
2,6,1500.0,28,1
2,6,1500.0,28,0
4,2,500.0,4,0
4,2,500.0,4,0
4,2,500.0,4,0
2,7,1750.0,35,1
4,2,500.0,4,1
4,2,500.0,4,0
4,2,500.0,4,0
4,2,500.0,4,0
12,11,2750.0,23,0
4,7,1750.0,28,0
3,17,4250.0,86,0
4,9,2250.0,38,1
4,4,1000.0,14,1
5,7,1750.0,26,1
4,8,2000.0,34,1
2,13,3250.0,76,1
4,9,2250.0,40,0
2,5,1250.0,26,0
2,5,1250.0,26,0
6,17,4250.0,70,0
0,8,2000.0,59,0
3,5,1250.0,26,0
2,3,750.0,14,0
2,10,2500.0,64,0
4,5,1250.0,23,1
4,9,2250.0,46,0
4,5,1250.0,23,0
4,8,2000.0,40,1
2,12,3000.0,82,0
11,24,6000.0,64,0
2,7,1750.0,46,1
4,11,2750.0,61,0
1,7,1750.0,57,0
2,11,2750.0,79,1
2,3,750.0,16,1
4,5,1250.0,26,1
2,6,1500.0,41,1
2,5,1250.0,33,1
2,4,1000.0,26,0
2,5,1250.0,34,0
4,8,2000.0,46,1
2,4,1000.0,26,0
4,8,2000.0,48,1
2,2,500.0,10,1
4,5,1250.0,28,0
2,12,3000.0,95,0
2,2,500.0,10,0
4,6,1500.0,35,0
2,11,2750.0,88,0
2,3,750.0,19,0
2,5,1250.0,37,0
2,12,3000.0,98,0
9,5,1250.0,19,0
2,2,500.0,11,0
2,9,2250.0,74,0
5,14,3500.0,86,0
4,3,750.0,16,0
4,3,750.0,16,0
4,2,500.0,9,1
4,3,750.0,16,1
6,3,750.0,14,0
2,2,500.0,11,0
2,2,500.0,11,1
2,2,500.0,11,0
2,7,1750.0,58,1
4,6,1500.0,39,0
4,11,2750.0,78,0
2,1,250.0,2,1
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
2,1,250.0,2,0
11,10,2500.0,35,0
11,4,1000.0,16,1
4,5,1250.0,33,1
4,6,1500.0,41,1
2,3,750.0,22,0
4,4,1000.0,26,1
10,4,1000.0,16,0
2,4,1000.0,35,0
4,12,3000.0,88,0
