Original_Name,Standard_Name
V1,NUM_00
V101,NUM_01
V102,NUM_02
V103,NUM_03
V105,NUM_04
V106,NUM_05
V107,NUM_06
V109,NUM_07
V11,NUM_08
V110,NUM_09
V111,NUM_10
V113,NUM_11
V114,NUM_12
V115,NUM_13
V117,NUM_14
V118,NUM_15
V12,NUM_16
V13,NUM_17
V14,NUM_18
V19,NUM_19
V2,NUM_20
V20,NUM_21
V21,NUM_22
V22,NUM_23
V25,NUM_24
V26,NUM_25
V27,NUM_26
V28,NUM_27
V29,NUM_28
V3,NUM_29
V30,NUM_30
V33,NUM_31
V34,NUM_32
V35,NUM_33
V36,NUM_34
V37,NUM_35
V38,NUM_36
V4,NUM_37
V43,NUM_38
V44,NUM_39
V45,NUM_40
V46,NUM_41
V5,NUM_42
V51,NUM_43
V52,NUM_44
V53,NUM_45
V54,NUM_46
V57,NUM_47
V58,NUM_48
V59,NUM_49
V6,NUM_50
V60,NUM_51
V61,NUM_52
V62,NUM_53
V65,NUM_54
V66,NUM_55
V67,NUM_56
V68,NUM_57
V69,NUM_58
V70,NUM_59
V75,NUM_60
V76,NUM_61
V77,NUM_62
V78,NUM_63
V89,NUM_64
V90,NUM_65
V91,NUM_66
V93,NUM_67
V94,NUM_68
V95,NUM_69
V97,NUM_70
V98,NUM_71
V99,NUM_72
V10,CAT_00
V100,CAT_01
V104,CAT_02
V108,CAT_03
V112,CAT_04
V116,CAT_05
V15,CAT_06
V16,CAT_07
V17,CAT_08
V18,CAT_09
V23,CAT_10
V24,CAT_11
V31,CAT_12
V32,CAT_13
V39,CAT_14
V40,CAT_15
V41,CAT_16
V42,CAT_17
V47,CAT_18
V48,CAT_19
V49,CAT_20
V50,CAT_21
V55,CAT_22
V56,CAT_23
V63,CAT_24
V64,CAT_25
V7,CAT_26
V71,CAT_27
V72,CAT_28
V73,CAT_29
V74,CAT_30
V79,CAT_31
V8,CAT_32
V80,CAT_33
V81,CAT_34
V82,CAT_35
V83,CAT_36
V84,CAT_37
V85,CAT_38
V86,CAT_39
V87,CAT_40
V88,CAT_41
V9,CAT_42
V92,CAT_43
V96,CAT_44
