Original_Name,Standard_Name
BRANCH_COUNT,NUM_00
CALL_PAIRS,NUM_01
CONDITION_COUNT,NUM_02
CYCLOMATIC_COMPLEXITY,NUM_03
CYCLOMATIC_DENSITY,NUM_04
DECISION_COUNT,NUM_05
DESIGN_COMPLEXITY,NUM_06
DESIGN_DENSITY,NUM_07
EDGE_COUNT,NUM_08
ESSENTIAL_COMPLEXITY,NUM_09
HALSTEAD_CONTENT,NUM_10
HALSTEAD_DIFFICULTY,NUM_11
HALSTEAD_EFFORT,NUM_12
HALSTEAD_ERROR_EST,NUM_13
HALSTEAD_LENGTH,NUM_14
HALSTEAD_LEVEL,NUM_15
HALSTEAD_PROG_TIME,NUM_16
HALSTEAD_VOLUME,NUM_17
LOC_BLANK,NUM_18
LOC_CODE_AND_COMMENT,NUM_19
LOC_COMMENTS,NUM_20
LOC_EXECUTABLE,NUM_21
LOC_TOTAL,NUM_22
MAINTENANCE_SEVERITY,NUM_23
MODIFIED_CONDITION_COUNT,NUM_24
MULTIPLE_CONDITION_COUNT,NUM_25
NODE_COUNT,NUM_26
NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_27
NUMBER_OF_LINES,NUM_28
NUM_OPERANDS,NUM_29
NUM_OPERATORS,NUM_30
NUM_UNIQUE_OPERANDS,NUM_31
NUM_UNIQUE_OPERATORS,NUM_32
PERCENT_COMMENTS,NUM_33
DECISION_DENSITY,CAT_00
ESSENTIAL_DENSITY,CAT_01
PARAMETER_COUNT,CAT_02
