Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
Bioresponse,GNB,Baseline,Equality,1,,0.8325044000521302,0.0837316000834107,291.9683208465576,0.1509532928466797,406,1709,121,1139,0.7539103754398997,0.6933701324582799,0.2699212289366731,42,184,20,130,0.7213007295941632,0.6405348862343423,0.1962040828950019,
Bioresponse,GNB,Baseline,Equality,2,,1.6563527999678629,0.2142856999998912,,,523,1668,162,1023,0.7528320926911685,0.7032523013479488,0.3094315294591938,55,188,16,116,0.710511982570806,0.6692402263194277,0.3091872344951113,
Bioresponse,GNB,Baseline,Equality,3,,1.7443077000789344,0.1585038000484928,,,453,1701,129,1093,0.7502599693197323,0.6966540251319921,0.2935143808103572,55,187,17,116,0.7516483201467722,0.6858149338287858,0.3013402048220526,
Bioresponse,GNB,Baseline,Equality,4,,1.7989190000807866,0.1443881000159308,,,428,1714,116,1118,0.7528255536940032,0.6992458769098872,0.289262104923057,47,180,24,124,0.6941864465084279,0.6122516601992748,0.1998565292280988,
Bioresponse,GNB,Baseline,Equality,5,,1.731634799973108,0.195877099991776,,,422,1704,127,1123,0.7561022943587514,0.6960951217044213,0.2751167044477187,40,182,21,132,0.6782563867567877,0.6119305615352492,0.1743178751457667,
Bioresponse,GNB,Baseline,Equality,6,,1.8487633999902755,0.1603091000579297,,,411,1708,123,1134,0.7449838187702265,0.686348347898918,0.2714788994237418,47,191,12,125,0.7412361095199909,0.6976012883826215,0.2930526082696303,
Bioresponse,GNB,Baseline,Equality,7,,1.758788499981165,0.1378176000434905,,,434,1710,121,1111,0.7502252646351314,0.694268443900601,0.2887614537042804,50,180,23,122,0.7017699621949821,0.629099977031629,0.2232513311475929,
Bioresponse,GNB,Baseline,Equality,8,,1.9675866999896243,0.1314247000264004,,,348,1723,108,1197,0.7491428632027699,0.6870825146190362,0.2423363560611996,36,194,9,136,0.7644632833085119,0.704461782883843,0.2529571818308025,
Bioresponse,GNB,Baseline,Equality,9,,1.8767947999294847,0.1495044999755919,,,361,1732,99,1184,0.7514746924152365,0.6978263101792418,0.2608034897391384,36,188,15,136,0.7010396379883148,0.633513223000013,0.1968374056431316,
Bioresponse,GNB,Baseline,Equality,10,,1.8045037999982008,0.1113382000476121,,,436,1705,126,1109,0.7521848637011979,0.6980642324578443,0.2853932576571764,40,188,15,132,0.7040611753923702,0.6482873524519047,0.2234812996945775,
Bioresponse,GNB,Baseline,Equity,1,,10.219998400076292,0.4956738000037148,291.969690322876,13.708724975585938,525,1648,182,1020,0.7461898951314836,0.6844674007639936,0.29426282595669,52,178,26,120,0.7210442316461468,0.645533142935265,0.2148575456391247,
Bioresponse,GNB,Baseline,Equity,2,,14.558772500022314,0.9001145999645814,,,772,1538,292,774,0.7408865819778169,0.6861730584954583,0.3643984939784544,85,172,32,86,0.7124756335282652,0.6788482274619729,0.3657308664572944,
Bioresponse,GNB,Baseline,Equity,3,,15.128029700019397,0.8952637000475079,,,564,1657,173,982,0.7434590588085593,0.6875710117388709,0.3259761151436401,64,184,20,107,0.7621832358674464,0.697222627128284,0.3299875196609297,
Bioresponse,GNB,Baseline,Equity,4,,15.28063509997446,0.7550927000120282,,,524,1651,179,1022,0.7455730989191214,0.6863852355318838,0.2958662116360964,56,179,25,115,0.6816162137369567,0.6181238246938747,0.2480367221949632,
Bioresponse,GNB,Baseline,Equity,5,,15.392618499929084,0.8115937999682501,,,689,1601,230,856,0.7458790446446405,0.6875302693594525,0.3585581703576793,72,170,33,100,0.6833543361209761,0.612443737888721,0.2841507094953041,
Bioresponse,GNB,Baseline,Equity,6,,15.708279999904336,0.6393444000277668,,,691,1601,230,854,0.743771154461371,0.6891374873403329,0.3597624612982455,74,173,30,98,0.6957984877992897,0.6481261883267191,0.3143774889085686,
