Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
PhishingWebsites,GNB,Baseline,Equality,1,,0.1390637999866157,0.0150983999483287,15.878433227539062,0.0075330734252929,4319,4105,1436,89,0.9784671706477142,0.9771485299261374,0.7249409750104139,477,463,153,13,0.9758381924198252,0.9743071533967164,0.7274584893079067,
PhishingWebsites,GNB,Baseline,Equality,2,,0.1252581999870017,0.0209420999744907,,,4308,4116,1425,100,0.9777112359245106,0.9765062613914002,0.7239201054765815,473,456,160,17,0.9751639941690962,0.9739314800053596,0.7084244324995644,
PhishingWebsites,GNB,Baseline,Equality,3,,0.1469772000564262,0.019552499987185,,,4358,3565,1976,50,0.9776990965876876,0.9763948772376254,0.6527818613339583,482,400,216,8,0.979580241187384,0.9790576325328394,0.6517047112137816,
PhishingWebsites,GNB,Baseline,Equality,4,,0.1157495999941602,0.0196549999527633,,,4315,4096,1445,93,0.9778878806756824,0.976466905191424,0.7225114082801409,481,441,175,9,0.978950768619136,0.9788766344652888,0.7053431001837878,
PhishingWebsites,GNB,Baseline,Equality,5,,0.1488155999686569,0.0204601000295951,,,4294,4191,1350,114,0.9777284316124216,0.9765078810903932,0.732410849737648,481,469,147,9,0.980587397296581,0.978800928053738,0.7450428835238738,
PhishingWebsites,GNB,Baseline,Equality,6,,0.1489227999700233,0.0194562999531626,,,4321,4057,1485,87,0.9781234792749116,0.9768923100022192,0.7177518324925913,477,478,137,13,0.9781798573087772,0.9763661034596152,0.7505507570567942,
PhishingWebsites,GNB,Baseline,Equality,7,,0.1564623999875039,0.0192207000218331,,,4303,4160,1382,105,0.9777248159738436,0.9763532771610643,0.7295430440886956,477,467,148,13,0.9781383773021404,0.9776263966457864,0.7344659731727372,
PhishingWebsites,GNB,Baseline,Equality,8,,0.1623744999524206,0.0136977999936789,,,4330,3906,1636,78,0.9777564994521296,0.9764933256878996,0.6965874207914594,484,415,200,6,0.978812012609922,0.9777175328804024,0.677776286627172,
PhishingWebsites,GNB,Baseline,Equality,9,,0.1539116000058129,0.0173911000601947,,,4316,4101,1440,93,0.9778613776213434,0.9766200524982096,0.723325955381871,478,447,169,11,0.9773374631503466,0.9760103083389448,0.7089418986175368,
PhishingWebsites,GNB,Baseline,Equality,10,,0.1410059999907389,0.013963000033982,,,4326,3994,1547,83,0.978159327676662,0.9769850428787838,0.7090724359904629,479,435,181,10,0.97624359280801,0.9735518371951888,0.69444675572331,
PhishingWebsites,GNB,Baseline,Equity,1,,0.2226082000415772,0.0362420000601559,15.875289916992188,0.2443456649780273,4060,5199,342,348,0.9808603600416758,0.9784028584268052,0.8594511656418798,445,580,36,45,0.978793400477074,0.9772432726330278,0.8514370845488872,
PhishingWebsites,GNB,Baseline,Equity,2,,0.2376774000003934,0.0390678999247029,,,4039,5186,355,369,0.980352493587646,0.9786592876721684,0.8525009922669875,444,573,43,46,0.980488006891068,0.9781740659986492,0.8368539066018519,
PhishingWebsites,GNB,Baseline,Equity,3,,0.2308912000153213,0.0243929999414831,,,4310,4347,1194,98,0.9797808802620032,0.9779807741980254,0.7616511089434396,479,485,131,11,0.9808093692022264,0.9798172524105412,0.7639780404301237,
PhishingWebsites,GNB,Baseline,Equity,4,,0.2406591000035405,0.0277062999084591,,,3959,5238,303,449,0.9781680885044042,0.975558389586156,0.84669931441647,455,583,33,35,0.9830257752451632,0.9801257658186971,0.8753712937100216,
PhishingWebsites,GNB,Baseline,Equity,5,,0.237424400052987,0.035957199987024,,,3979,5239,302,429,0.9800584473243672,0.9778224535353716,0.8509663116177067,452,578,38,38,0.982326729393056,0.978877528670972,0.860760667903525,
PhishingWebsites,GNB,Baseline,Equity,6,,0.2433709999313578,0.0323037999914959,,,4232,4729,813,176,0.9787441315976136,0.9765356667597634,0.808154874141846,467,542,73,23,0.9811962833914052,0.9782142838650556,0.8292185903968592,
PhishingWebsites,GNB,Baseline,Equity,7,,0.2591149000218138,0.0327430999604985,,,4332,3895,1647,76,0.9766779103444346,0.9743335524446534,0.6954146708123836,481,429,186,9,0.9775477020076324,0.976224376031947,0.6898095918201297,
PhishingWebsites,GNB,Baseline,Equity,8,,0.2485696000512689,0.0359574999893084,,,4035,5155,387,373,0.9806072347380604,0.978566446999716,0.8452795085223822,450,567,48,40,0.9790277086444334,0.9768624804827926,0.8390165743260803,
PhishingWebsites,GNB,Baseline,Equity,9,,0.2364872000180184,0.0284446999430656,,,4350,3798,1743,59,0.9787685718892412,0.9767587874073967,0.6852167419970375,481,405,211,8,0.975860157225188,0.9742832978030808,0.6581844952991119,
PhishingWebsites,GNB,Baseline,Equity,10,,0.2357212000060826,0.0215638000518083,,,4198,4971,570,211,0.9821461851279656,0.9803820857444822,0.8444910202869317,466,547,69,23,0.9787599925636736,0.9762946509205244,0.835798914427271,
