Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
adult,GNB,Baseline,Equality,1,,0.1532599999918602,0.0123841000022366,25.922971725463867,0.0060853958129882,3230,31690,1749,7288,0.8223821714486242,0.625846434595434,0.3429983646296849,379,3542,174,790,0.8256301099170258,0.6447076196111393,0.3735252899482021,
adult,GNB,Baseline,Equality,2,,0.2349513000226579,0.0260526000056415,,,3272,31656,1783,7246,0.8224396304900004,0.6262535883849579,0.3447230032529595,359,3518,198,810,0.8205628954301147,0.6233185672951718,0.3407175987474851,
adult,GNB,Baseline,Equality,3,,0.2510346000199206,0.0231558000086806,,,3265,31678,1761,7254,0.8223984712259077,0.626724553596192,0.34554952887994,359,3518,198,809,0.8218848610967752,0.6259714827423566,0.3409640271730659,
adult,GNB,Baseline,Equality,4,,0.2674542000168003,0.0219533999916166,,,3239,31709,1730,7280,0.822376874604964,0.6267591597340082,0.3451903452438458,372,3518,198,796,0.8261141887358627,0.6342294540149421,0.3523479541551021,
adult,GNB,Baseline,Equality,5,,0.2400133999763056,0.01967860001605,,,3246,31720,1719,7273,0.8232121164216306,0.6283677327203214,0.3466520422293093,365,3510,206,803,0.8208620027058113,0.622468073418257,0.3412658505383292,
adult,GNB,Baseline,Equality,6,,0.2592158999759704,0.0178577000042423,,,3223,31687,1753,7295,0.8218348731293177,0.6250630107265649,0.3420341310361077,386,3545,170,783,0.8290402467512581,0.6491476999520025,0.3821120134248168,
adult,GNB,Baseline,Equality,7,,0.3303460000315681,0.0176195999956689,,,3253,31717,1723,7265,0.8226392628585674,0.627203697590871,0.3470829199943732,362,3500,215,807,0.8184798639598326,0.6248368710954263,0.3328547772496459,
adult,GNB,Baseline,Equality,8,,0.2886237999773584,0.0195726999663747,,,3269,31708,1732,7249,0.8234959325253314,0.6290029924438336,0.3480076749978417,340,3523,192,829,0.8161488981276055,0.6173959595421724,0.3275541736985052,
adult,GNB,Baseline,Equality,9,,0.3115457000094466,0.0261597000062465,,,3252,31670,1770,7266,0.8212537307882317,0.6259520806669611,0.3436811627561527,366,3540,175,803,0.8358862356041616,0.6414135897713851,0.3616138132184402,
adult,GNB,Baseline,Equality,10,,0.2743903999798931,0.0160786999622359,,,3295,31698,1742,7223,0.8237533134130509,0.631081663170845,0.3498326239436993,324,3505,210,845,0.8100107418310851,0.5886494326567002,0.3016759211437726,
adult,GNB,Baseline,Equity,1,,0.2464779000147245,0.0229520999710075,25.89928150177002,0.1208219528198242,6439,29395,4044,4079,0.8718552405645352,0.6727217740120528,0.4918140766886178,711,3277,439,458,0.874396064092022,0.6894054188940113,0.4928478547037521,
adult,GNB,Baseline,Equity,2,,0.2366580999805592,0.0229841000400483,,,5457,30035,3404,5061,0.8654472495605929,0.6631811294492768,0.443494064084272,605,3357,359,564,0.8632821240496095,0.6607103668484186,0.4512477567549317,
adult,GNB,Baseline,Equity,3,,0.2485388000495731,0.0229173999978229,,,5998,29710,3729,4521,0.8682445025540545,0.6680310164247072,0.4714478943472375,684,3284,432,484,0.867022188389342,0.6657315627550717,0.4768480678136489,
adult,GNB,Baseline,Equity,4,,0.2396119000040926,0.0258256999659352,,,5323,30134,3305,5196,0.8658618364782213,0.6647963667161603,0.4374160947870406,599,3361,355,569,0.8648831598271818,0.6713254654892142,0.4490009121018963,
adult,GNB,Baseline,Equity,5,,0.3985196999856271,0.0273086000233888,,,6082,29682,3757,4437,0.869762069943195,0.671478316281645,0.4768427217216854,666,3255,461,502,0.8607963342524736,0.6505606816940279,0.4517051463696975,
adult,GNB,Baseline,Equity,6,,0.3622541000368073,0.0297278999933041,,,5766,29812,3628,4752,0.8636812343114697,0.6613871224703242,0.4576453335106649,666,3326,389,503,0.8700072648396726,0.6843323032999891,0.4821446056931054,
adult,GNB,Baseline,Equity,7,,0.356000599975232,0.0314358999603427,,,5574,29932,3508,4944,0.8620677394800983,0.6593323075254561,0.4478987859045659,638,3324,391,531,0.8625268977522748,0.6615170081216449,0.4609237487525344,
adult,GNB,Baseline,Equity,8,,0.3992226999835111,0.0236395000247284,,,5827,29825,3615,4691,0.8668638650670393,0.6684846420798795,0.4632267102758826,625,3324,391,544,0.8626503194341943,0.6505346289452264,0.4513927481503109,
adult,GNB,Baseline,Equity,9,,0.3878590000094846,0.0264159999787807,,,5377,30021,3419,5141,0.8622518465724287,0.6597578767125105,0.4361322358489663,624,3364,351,545,0.8756079841854456,0.6818477218107185,0.4689433374422887,
adult,GNB,Baseline,Equity,10,,0.372794899973087,0.0220907000475563,,,6459,29369,4071,4059,0.8720468502503342,0.6747539007910428,0.4921573931458308,681,3234,481,488,0.8615943272079184,0.642977034440557,0.4540091855143162,
adult,GNB,Standard Scaling,Equality,1,,0.1593328000162728,0.0134341999655589,25.896629333496094,0.0066595077514648,6206,30571,2868,4312,0.8868038673935285,0.7282324309262944,0.5315551662565106,681,3377,339,488,0.8799914779083998,0.7350311754447748,0.5157467958591008,
adult,GNB,Standard Scaling,Equality,2,,0.2257308000116609,0.0256818999769166,,,6131,30592,2847,4387,0.8857612099820409,0.7272254437795076,0.5267741132146831,664,3387,329,505,0.8812940779980866,0.7164220402707286,0.508330556451732,
adult,GNB,Standard Scaling,Equality,3,,0.2794855000101961,0.0255073999869637,,,6089,30595,2844,4430,0.8864332654135502,0.7268361343300372,0.5235802992424514,697,3409,307,471,0.8871996512673814,0.7326533336894654,0.5426880106485462,
adult,GNB,Standard Scaling,Equality,4,,0.2785198999918066,0.0199196999892592,,,6121,30587,2852,4398,0.8859334357657288,0.727691286100155,0.5256774778642532,703,3400,316,465,0.8894732331126414,0.7354195373976607,0.5425733985706994,
adult,GNB,Standard Scaling,Equality,5,,0.2301404000027105,0.0215039000031538,,,6154,30618,2821,4365,0.8877065307121307,0.7307241186145178,0.5299357024199576,674,3367,349,494,0.8784398638984325,0.711540314293864,0.5064557400658733,
