Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
bank-marketing,GNB,Baseline,Equality,1,,0.1587426000041887,0.0142582999542355,27.00189208984375,0.0050477981567382,2183,33906,2023,2577,0.8583221992908049,0.4497842951568958,0.4247219971868456,239,3762,231,290,0.8592333369786541,0.4322862180496417,0.4148862074058079,
bank-marketing,GNB,Baseline,Equality,2,,0.2347516999579966,0.0281161000020802,,,2157,33699,2230,2604,0.8536560404268568,0.4177199447177951,0.405211135424247,250,3749,244,278,0.8522158094847802,0.4404211112529044,0.4245293509796988,
bank-marketing,GNB,Baseline,Equality,3,,0.2560947999591008,0.0226459000259637,,,2195,33974,1956,2565,0.8609045950693109,0.4601224773242393,0.4318635070748208,226,3750,242,303,0.855011061821185,0.4312502976252393,0.3868158409422428,
bank-marketing,GNB,Baseline,Equality,4,,0.2512193999718874,0.0277343000052496,,,2180,33919,2011,2580,0.8575779497716148,0.4477600404165174,0.4250824164999425,241,3784,208,288,0.858217379939463,0.4615372813619549,0.4336205202984697,
bank-marketing,GNB,Baseline,Equality,5,,0.2274744999594986,0.0289587000152096,,,2178,33894,2036,2582,0.857143734198383,0.4483587331538426,0.4228772604403532,248,3772,220,281,0.8631487928598217,0.4462966862100725,0.4365120037839262,
bank-marketing,GNB,Baseline,Equality,6,,0.2530281000072136,0.0217069999780505,,,2195,33968,1962,2565,0.8607987753966047,0.4584492524273045,0.4314099541297441,244,3770,222,285,0.8541489879570104,0.4655914493508521,0.4288166602321809,
bank-marketing,GNB,Baseline,Equality,7,,0.2515951000386849,0.0218012999976053,,,2149,33934,1996,2611,0.8575585142211629,0.4461613273202141,0.4206890602340249,238,3780,212,291,0.85816481734736,0.4513044094287919,0.4260270337387579,
bank-marketing,GNB,Baseline,Equality,8,,0.2666358000133186,0.0187661000527441,,,2189,33958,1972,2571,0.8581925552018748,0.4555602458549856,0.4295938420897612,235,3780,212,294,0.8554088327884503,0.4576679064634762,0.4211899005878191,
bank-marketing,GNB,Baseline,Equality,9,,0.2776213000761345,0.0170835999306291,,,2182,33946,1984,2578,0.8589430603858577,0.4504284991740656,0.4274521671195859,241,3762,230,288,0.8636772600020457,0.4653152967419945,0.4187222218457021,
bank-marketing,GNB,Baseline,Equality,10,,0.3207860999973491,0.0123182000825181,,,2175,34033,1897,2585,0.8601856814253673,0.4615815861026137,0.4328207483573307,252,3763,229,277,0.8585384379344702,0.4475813320425099,0.4367972510073339,
bank-marketing,GNB,Baseline,Equity,1,,0.2823252999223768,0.0231790000107139,27.000730514526367,0.1350431442260742,1808,32527,3402,2952,0.8439426813058716,0.3873195202892353,0.2742758335727114,201,3614,379,328,0.8422077955893513,0.3724464901394255,0.2739808898955944,
bank-marketing,GNB,Baseline,Equity,2,,0.3737339999061078,0.0304369000950828,,,1815,32442,3487,2946,0.8446804311116309,0.3866023668336205,0.2713325381786374,193,3613,380,335,0.8361654675986007,0.3821975559728198,0.2610052322673522,
bank-marketing,GNB,Baseline,Equity,3,,0.3877564999274909,0.0420298000099137,,,1787,32616,3314,2973,0.8452430145450889,0.3882171543062556,0.2748635715863422,225,3636,356,304,0.8507676979668222,0.4039373823082103,0.322866669682823,
bank-marketing,GNB,Baseline,Equity,4,,0.4089083999861032,0.0442710999632254,,,1817,32533,3397,2943,0.8436604029310025,0.3857284131059867,0.2761404464790409,199,3619,373,330,0.8508908175519281,0.3987288933454737,0.2733857297901701,
bank-marketing,GNB,Baseline,Equity,5,,0.4208286000648513,0.0251054000109434,,,1816,32424,3506,2944,0.8434564407449594,0.3888559789178287,0.2706492132298252,209,3633,359,320,0.8509883661462813,0.3944576159087125,0.2959418003034089,
bank-marketing,GNB,Baseline,Equity,6,,0.452869200031273,0.0265166999306529,,,1833,32365,3565,2927,0.8436734652113002,0.3852498408203658,0.2708544361455641,201,3603,389,328,0.8382085532122847,0.3736128329019128,0.2695818357310651,
bank-marketing,GNB,Baseline,Equity,7,,0.3897611999418586,0.0434159999713301,,,1824,32415,3515,2936,0.8427876566713521,0.3862684636689366,0.2716443697719013,187,3574,418,342,0.8396779381068376,0.3774365785146502,0.2348837966557883,
bank-marketing,GNB,Baseline,Equity,8,,0.4320033000549301,0.0292960000224411,,,1850,32403,3527,2910,0.8430571875285044,0.3865520787502592,0.2756953779857286,179,3621,371,350,0.8448953672941345,0.3792954328400054,0.2413428069213729,
bank-marketing,GNB,Baseline,Equity,9,,0.4428420999320224,0.0282674999907612,,,1805,32567,3363,2955,0.845455244441222,0.3873526034930985,0.2756670874479017,213,3586,406,316,0.8473890124293957,0.4143496467425168,0.2813963953302671,
bank-marketing,GNB,Baseline,Equity,10,,0.4339297999395057,0.0298365999478846,,,1825,32444,3486,2935,0.8453884478923771,0.3879774764464976,0.2732221636886743,204,3590,402,325,0.8373211451257904,0.3937688896740494,0.2688202196516754,
bank-marketing,GNB,Standard Scaling,Equality,1,,0.1633113999851048,0.0137337000342085,27.000496864318848,0.0056676864624023,2542,33080,2849,2218,0.8483351970307452,0.4668325170612009,0.43109987292885,287,3666,327,242,0.8457404427502382,0.4472995679690014,0.4321927295589793,
bank-marketing,GNB,Standard Scaling,Equality,2,,0.2616072000237182,0.0210801999783143,,,2532,32885,3044,2229,0.8439790373051839,0.4482424654903336,0.4179008312270303,281,3650,343,247,0.8373125981831843,0.4540380972007428,0.4155590452996657,
bank-marketing,GNB,Standard Scaling,Equality,3,,0.2842640000162646,0.017585799912922,,,2562,33136,2794,2198,0.8495409169790933,0.4719675420062256,0.4377433411643385,271,3669,323,258,0.8513832958923517,0.4559166042556906,0.4104449493442221,
bank-marketing,GNB,Standard Scaling,Equality,4,,0.2682736000278964,0.0196757999947294,,,2557,33073,2857,2203,0.8480412134238611,0.4647498782040297,0.4330967555186214,270,3689,303,259,0.8437003970133083,0.4729100014615263,0.4197997486350804,
bank-marketing,GNB,Standard Scaling,Equality,5,,0.2525204999838024,0.0238544000312685,,,2537,33113,2817,2223,0.8471550511381842,0.4657225316718628,0.4322104306136791,286,3677,315,243,0.8483640248360615,0.466519427960491,0.4371550911971018,
bank-marketing,GNB,Standard Scaling,Equality,6,,0.2924091999884695,0.0138192999875172,,,2539,33169,2761,2221,0.849996465466231,0.470641951440769,0.4359646249123911,282,3698,294,247,0.8463730390838388,0.4764410283877307,0.4429059144893615,
bank-marketing,GNB,Standard Scaling,Equality,7,,0.2432375999633222,0.016364499926567,,,2524,33104,2826,2236,0.8476279331660302,0.4657320268367429,0.4295117520162814,281,3674,318,248,0.8406842039466459,0.4463527472983638,0.4280988421234078,
