Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
banknote-authentication,GNB,Baseline,Equality,1,,0.014798300107941,0.0029553000349551,0.3258419036865234,0.0024805068969726,431,608,77,118,0.9397125496922074,0.922979839450013,0.6792406389049407,52,68,9,9,0.9527357888013626,0.9381973738978748,0.7355758995103258,
banknote-authentication,GNB,Baseline,Equality,2,,0.0050733999814838,0.0030544999754056,,,440,610,75,109,0.9419648199114512,0.9249876799869408,0.6973479034084056,36,66,11,25,0.9024909516712796,0.8722753245001202,0.4687552525679747,
banknote-authentication,GNB,Baseline,Equality,3,,0.0073304999386891,0.0025914000580087,,,432,599,87,117,0.9390569654872096,0.9221147790598628,0.6644977077713581,48,68,8,13,0.9374460742018982,0.9214576838986356,0.6890945990388849,
banknote-authentication,GNB,Baseline,Equality,4,,0.0052775000222027,0.0031340999994426,,,435,606,80,114,0.9405438990584524,0.9234604451054254,0.6810086510348603,48,67,9,13,0.933779119930975,0.924548046500987,0.6740117090814737,
banknote-authentication,GNB,Baseline,Equality,5,,0.0065034999279305,0.0029680000152438,,,436,605,81,113,0.938648058755118,0.9220239620433606,0.6810025364730659,47,69,7,14,0.9575064710957722,0.9419672300188644,0.6899426779505887,
banknote-authentication,GNB,Baseline,Equality,6,,0.0067381999688223,0.0028795000398531,,,432,605,81,117,0.9398933656210338,0.92279867025301,0.6744089821305844,49,66,10,12,0.934641932700604,0.9175209827277712,0.6741764647957925,
banknote-authentication,GNB,Baseline,Equality,7,,0.0069551999913528,0.002128200023435,,,433,605,81,116,0.940743041947458,0.9250832209802832,0.6760559241731262,50,64,12,11,0.9305435720448664,0.9073309239842898,0.6607804192940209,
banknote-authentication,GNB,Baseline,Equality,8,,0.0065928999101743,0.0029349001124501,,,431,604,82,118,0.939662359869787,0.9230355663322196,0.6711023076311888,52,66,10,9,0.9331320103537531,0.9155781598100008,0.7197940551762119,
banknote-authentication,GNB,Baseline,Equality,9,,0.0072733999695628,0.002967600012198,,,433,602,84,116,0.938794096873722,0.9221289772333864,0.6710934757778815,49,68,8,12,0.9575064710957722,0.94290924777718,0.7038082899605191,
banknote-authentication,GNB,Baseline,Equality,10,,0.0051048999885097,0.0019715999951586,,,433,599,87,116,0.93837191394903,0.9211612424988512,0.6661557825538031,50,67,9,11,0.9514667817083692,0.9432601600046542,0.7038367652701096,
