Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
blood-transfusion-service-center,GNB,Baseline,Equality,1,,0.0147951999679207,0.003279099939391,0.2035675048828125,0.0024805068969726,34,472,41,126,0.7171722709551657,0.4243698263858141,0.1793530737452818,2,51,6,16,0.6418128654970761,0.3535721971208901,0.0080908691047291,
blood-transfusion-service-center,GNB,Baseline,Equality,2,,0.0075931000756099,0.0031533999135717,,,28,483,30,132,0.7176169590643274,0.4128898689577986,0.1767540358503926,7,53,4,11,0.8294346978557504,0.6785057601505532,0.3847580745313415,
blood-transfusion-service-center,GNB,Baseline,Equality,3,,0.0069975999649614,0.0031845000339671,,,29,478,35,131,0.7117202729044836,0.4161834693093655,0.1640175232002565,5,52,5,13,0.7339181286549707,0.5068655433629135,0.2387834664704596,
blood-transfusion-service-center,GNB,Baseline,Equality,4,,0.0062483999645337,0.002116100047715,,,30,477,36,130,0.7095821150097466,0.4199450586016364,0.1679350314466131,4,52,5,14,0.7270955165692008,0.4165590819663648,0.1767714740991079,
blood-transfusion-service-center,GNB,Baseline,Equality,5,,0.0066002000821754,0.0032928000437095,,,28,479,34,132,0.7048245614035088,0.4092890209339197,0.1600384873466595,5,56,1,13,0.7797270955165693,0.597920290217818,0.4096730643606964,
blood-transfusion-service-center,GNB,Baseline,Equality,6,,0.0053338001016527,0.0031383000314235,,,35,471,42,125,0.7217288011695907,0.4342163676027695,0.1830568186248143,1,51,6,17,0.6189083820662767,0.3124383350275507,-0.0729781784942653,
blood-transfusion-service-center,GNB,Baseline,Equality,7,,0.0067847999744117,0.0029320999747142,,,33,475,38,127,0.7269066764132553,0.4288075644133524,0.1831654744848079,2,53,4,16,0.6447368421052632,0.4087285582484704,0.0644429539443792,
blood-transfusion-service-center,GNB,Baseline,Equality,8,,0.0064655999885872,0.002444599987939,,,29,475,38,131,0.7023940058479532,0.4078649608681083,0.1523849948327398,2,56,1,16,0.7529239766081871,0.5025110989292276,0.2039250967738327,
blood-transfusion-service-center,GNB,Baseline,Equality,9,,0.0059740000870078,0.0022216999204829,,,35,477,36,126,0.7145641882483988,0.4300164306860049,0.2044741480966928,1,47,10,16,0.6604747162022704,0.3088908800621234,-0.1378954503892911,
blood-transfusion-service-center,GNB,Baseline,Equality,10,,0.0053181999828666,0.0020568999461829,,,31,474,39,130,0.7164469143874178,0.4263272098313727,0.1628607777443411,4,53,4,13,0.6666666666666666,0.3597500963902646,0.2236871997872405,
