Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
breast-w,GNB,Baseline,Equality,1,,0.0152965999441221,0.0032489000586792,0.3674688339233398,0.002838134765625,211,391,21,6,0.9858171893874994,0.9519325872797032,0.9077739312113762,24,45,1,0,0.9873188405797102,0.9532091489428444,0.969087423704698,
breast-w,GNB,Baseline,Equality,2,,0.0062715000240132,0.0025265000294893,,,213,392,20,4,0.986024115252114,0.9521667964274636,0.9184284580119344,23,43,3,1,0.9755434782608696,0.915648148148148,0.8773631021262148,
breast-w,GNB,Baseline,Equality,3,,0.0071920999325811,0.0031948001123964,,,212,394,18,5,0.9875173370319,0.9576461850896444,0.921159944103012,23,42,4,1,0.9710144927536232,0.9050217931558512,0.8497172315561602,
breast-w,GNB,Baseline,Equality,4,,0.0055545000359416,0.0032842999789863,,,211,392,20,6,0.9859681893427586,0.952278263368158,0.9109865855257512,24,44,2,0,0.9877717391304348,0.9550129007465964,0.9396505434536336,
breast-w,GNB,Baseline,Equality,5,,0.0065560999792069,0.0031270000617951,,,211,393,19,6,0.987673929578095,0.9581286011808862,0.9142157507517716,24,43,3,0,0.9746376811594204,0.9106085520759434,0.9115469677400804,
breast-w,GNB,Baseline,Equality,6,,0.0080167000414803,0.0033726000692695,,,211,392,20,6,0.9842065231980672,0.946017770522246,0.9109865855257512,24,44,2,0,1.0,1.0,0.9396505434536336,
breast-w,GNB,Baseline,Equality,7,,0.006000000052154,0.0023923000553622,,,211,393,19,6,0.9846427452910383,0.9474995501079102,0.9142157507517716,24,43,3,0,0.9963768115942028,0.9932471664808622,0.9115469677400804,
breast-w,GNB,Baseline,Equality,8,,0.0080816999543458,0.0022156999912112,,,213,390,22,4,0.9847322267460068,0.9473678344275857,0.912059940006355,22,46,0,2,0.9936594202898552,0.9894827586206896,0.9372684899334994,
breast-w,GNB,Baseline,Equality,9,,0.0065181000391021,0.0022461999906226,,,211,392,21,5,0.9858869159716616,0.9516699937767183,0.9113300758219582,24,44,1,1,0.987111111111111,0.9552739231782712,0.9377777777777778,
breast-w,GNB,Baseline,Equality,10,,0.0058998999884352,0.0023561000125482,,,212,394,19,5,0.985025830999431,0.9483577670584016,0.9179954512690298,23,42,3,1,0.9828703703703704,0.9473177285677286,0.8763821182415374,
breast-w,GNB,Baseline,Equity,1,,0.0327305999817326,0.005918400012888,0.3688325881958008,0.0511112213134765,216,385,27,1,0.992287817099906,0.9796965258373812,0.9078167445625726,24,43,3,0,0.9855072463768116,0.9702267159897728,0.9115469677400804,
breast-w,GNB,Baseline,Equity,2,,0.0171051999786868,0.0068528000265359,,,216,383,29,1,0.9904198917274396,0.9760460763217476,0.901722961636784,24,45,1,0,1.0,1.0,0.969087423704698,
breast-w,GNB,Baseline,Equity,3,,0.0129870000528171,0.0074888999806717,,,216,385,27,1,0.9927967428750392,0.985339388972958,0.9078167445625726,24,43,3,0,0.9814311594202898,0.9291082248912624,0.9115469677400804,
breast-w,GNB,Baseline,Equity,4,,0.0114252999192103,0.006552799954079,,,216,387,25,1,0.9926345577379088,0.9809837341745036,0.9139700247899852,24,41,5,0,0.9836956521739132,0.9661481903487472,0.8588545769848328,
breast-w,GNB,Baseline,Equity,5,,0.0180889000184834,0.0068967000115662,,,216,386,26,1,0.9915384099145452,0.9782666325624064,0.9108858669241752,24,42,4,0,0.9954710144927535,0.992037037037037,0.8846517369293828,
breast-w,GNB,Baseline,Equity,6,,0.0114876000443473,0.0065778000280261,,,216,385,27,1,0.9908952619569594,0.9767830972058812,0.9078167445625726,24,43,3,0,1.0,1.0,0.9115469677400804,
breast-w,GNB,Baseline,Equity,7,,0.0178812999511137,0.0067246999824419,,,216,385,27,1,0.9907162990470224,0.976757089426778,0.9078167445625726,24,43,3,0,1.0,1.0,0.9115469677400804,
