Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
churn,GNB,Baseline,Equality,1,,0.045556699973531,0.0063686999492347,3.9068641662597656,0.0044803619384765,369,3558,305,268,0.8774949395118767,0.5321484365957474,0.4887431697371777,41,394,36,29,0.8662458471760798,0.5298906862751708,0.4825759455180954,
churn,GNB,Baseline,Equality,2,,0.0308819999918341,0.006196100031957,,,372,3539,324,265,0.8757076657302241,0.5279179228074066,0.4821441548334644,45,396,34,25,0.8856146179401992,0.6254734396527235,0.536344709321547,
churn,GNB,Baseline,Equality,3,,0.0324737000046297,0.0077314999653026,,,358,3551,312,279,0.8730125316420202,0.5302904138753802,0.4712592259327586,44,397,33,26,0.9109634551495016,0.5572489990538037,0.5304822273365695,
churn,GNB,Baseline,Equality,4,,0.0254574000136926,0.0077286000596359,,,377,3548,316,259,0.8768168841230776,0.5312405601133215,0.4931723346500475,37,387,42,34,0.8685117699202207,0.5272422570476789,0.4050178784146335,
churn,GNB,Baseline,Equality,5,,0.0291922999313101,0.0071125000249594,,,378,3533,331,258,0.8751171920778157,0.5336285733827555,0.486395211610092,38,390,39,33,0.8769493417380742,0.4709841071988446,0.4296558359174798,
churn,GNB,Baseline,Equality,6,,0.0296947000315412,0.0049086000071838,,,372,3542,322,264,0.8745621573759391,0.5247819235378742,0.4838007718579167,43,389,40,28,0.8890968186742835,0.5634702029653396,0.4806783218044734,
churn,GNB,Baseline,Equality,7,,0.0337078999727964,0.0046560999471694,,,362,3554,310,274,0.8755509655325078,0.5272522270402776,0.4779088724264311,42,402,27,29,0.8890311566367904,0.6093231410376323,0.5349729818960515,
churn,GNB,Baseline,Equality,8,,0.0314530000323429,0.0045983000891283,,,361,3556,308,275,0.8815533972681223,0.5422992166827587,0.4777588348665778,39,396,33,32,0.8360747233986671,0.4479953758485447,0.469628533762928,
churn,GNB,Baseline,Equality,9,,0.0244977999245747,0.004711200017482,,,373,3559,305,263,0.8784331581962838,0.538845444567888,0.4942661080993877,34,391,38,37,0.8580386749400833,0.4646899654764227,0.3880278015967256,
churn,GNB,Baseline,Equality,10,,0.0241275000153109,0.0046634000027552,,,364,3556,308,272,0.879437429196453,0.5374381933220511,0.4814883924128476,40,393,36,31,0.8565284480777439,0.4723876484983308,0.466148487472101,
churn,GNB,Baseline,Equity,1,,0.0905452000442892,0.0126874000998213,3.907266616821289,0.1649932861328125,244,3764,99,393,0.7469085405922061,0.5203889826689546,0.4695384321196444,23,421,9,47,0.7228239202657807,0.4906215462601589,0.4361439205544836,
churn,GNB,Baseline,Equity,2,,0.0698638000758364,0.0180171000538393,,,234,3758,105,403,0.7779350932710647,0.5299038707860613,0.4492874166834162,27,424,6,43,0.7618936877076412,0.5641322633261056,0.5195548801837514,
churn,GNB,Baseline,Equity,3,,0.0690091999713331,0.0179691999219357,,,237,3747,116,400,0.7808261041129648,0.535600825982983,0.4434446412259081,24,418,12,46,0.8249169435215947,0.5232895308003587,0.4227804034735203,
churn,GNB,Baseline,Equity,4,,0.0682372000301256,0.0179712000535801,,,225,3755,109,411,0.7865537553550269,0.5316900268686706,0.4326644971901409,31,417,12,40,0.7677205423684297,0.5389211545108019,0.5087618539865211,
churn,GNB,Baseline,Equity,5,,0.0655795999336987,0.0175700000254437,,,222,3761,103,414,0.7787698412698413,0.5263922898062591,0.4338829845058415,29,420,9,42,0.7816080632982041,0.5919079262856244,0.510369841957253,
churn,GNB,Baseline,Equity,6,,0.0695302999811247,0.0124316000146791,,,232,3768,96,404,0.7527881948513614,0.5253154491098901,0.4555479782654148,25,415,14,46,0.7566236580321087,0.453725358710374,0.4158310222623183,
churn,GNB,Baseline,Equity,7,,0.069090100005269,0.0119628999382257,,,224,3760,104,412,0.7765228459445032,0.5196085478452023,0.4359168024610559,24,415,14,47,0.8154568436258577,0.538656562015799,0.4022589620307039,
