Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
climate-model-simulation-crashes,GNB,Baseline,Equality,1,,0.0177549000363796,0.0032624999294057,0.5382232666015625,0.0034875869750976,22,443,2,19,0.9650315154836944,0.8898739641950959,0.6825448987970256,3,49,0,2,0.9959183673469388,0.9666666666666666,0.7592566023652967,
climate-model-simulation-crashes,GNB,Baseline,Equality,2,,0.0080182999372482,0.0036503999726846,,,25,445,0,16,0.9676075637160868,0.9042690669129266,0.7671982769318432,1,49,0,4,0.96734693877551,0.6961904761904762,0.4300065817837658,
climate-model-simulation-crashes,GNB,Baseline,Equality,3,,0.008429400040768,0.0038940999656915,,,24,444,1,17,0.9672238969580708,0.8998000677843203,0.733682918496888,2,49,0,3,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GNB,Baseline,Equality,4,,0.0060926999431103,0.0034653999609872,,,23,445,0,18,0.969909564264182,0.9164858551614956,0.7342796625045116,3,49,0,2,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GNB,Baseline,Equality,5,,0.007979099988006,0.0023596999235451,,,23,444,1,18,0.9681556590846806,0.9115244666844224,0.7167143282176431,4,49,0,1,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GNB,Baseline,Equality,6,,0.0070027000037953,0.0035643000155687,,,26,443,2,15,0.9664565634420388,0.8933372046988137,0.7510359714529097,3,49,0,2,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GNB,Baseline,Equality,7,,0.0062072000000625,0.0029709000373259,,,27,443,1,15,0.9886851136851136,0.9127369444919936,0.772493129415551,1,49,1,3,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GNB,Baseline,Equality,8,,0.0082166000502184,0.0029637000989168,,,27,443,1,15,0.9673959673959672,0.903256948660062,0.772493129415551,0,50,0,4,0.895,0.517156862745098,0.0,
climate-model-simulation-crashes,GNB,Baseline,Equality,9,,0.0067932000383734,0.0029041999951004,,,25,442,2,17,0.9692192192192192,0.906185898007946,0.7246354428928556,2,50,0,2,0.985,0.8928571428571428,0.6933752452815364,
climate-model-simulation-crashes,GNB,Baseline,Equality,10,,0.0078753000125288,0.003577800001949,,,26,443,1,16,0.9657335907335908,0.9014056144117724,0.756604653608717,1,50,0,3,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GNB,Baseline,Equity,1,,0.0473927999846637,0.0084306000499054,0.5396347045898438,0.0742301940917968,19,443,2,22,0.9567004658810632,0.8391986021770375,0.6272967443171876,3,49,0,2,0.9673469387755104,0.8111111111111111,0.7592566023652967,
climate-model-simulation-crashes,GNB,Baseline,Equity,2,,0.017080400022678,0.0077406999189406,,,19,443,2,22,0.9595505617977528,0.8263077998210396,0.6272967443171876,0,49,0,5,0.9551020408163264,0.6075757575757575,0.0,
climate-model-simulation-crashes,GNB,Baseline,Equity,3,,0.0247991000069305,0.0086443999316543,,,17,443,2,24,0.9563716086599068,0.7862219413911729,0.5881235507852756,0,49,0,5,0.96734693877551,0.800909090909091,0.0,
climate-model-simulation-crashes,GNB,Baseline,Equity,4,,0.0167084999848157,0.0119998999871313,,,21,443,2,20,0.9662373252946012,0.8266394865469022,0.6645464107258712,1,49,0,4,0.8775510204081634,0.5091925465838509,0.4300065817837658,
climate-model-simulation-crashes,GNB,Baseline,Equity,5,,0.0239961000625044,0.0105009999824687,,,16,445,0,25,0.9586187996711426,0.8377047141343811,0.6078538048363027,2,48,1,3,0.9673469387755104,0.6544444444444444,0.4803460137413101,
climate-model-simulation-crashes,GNB,Baseline,Equity,6,,0.0161617000121623,0.0070126999635249,,,19,444,1,22,0.9585639901342834,0.8381031229747544,0.6452419836307794,3,48,1,2,0.9346938775510204,0.6754901960784314,0.6414906110627284,
