Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
credit-approval,GNB,Baseline,Equality,1,,0.0377308999886736,0.0064505999907851,0.5012750625610352,0.0047683715820312,175,313,32,101,0.903444654484352,0.8816725424296609,0.5705848821608163,18,37,1,13,0.930390492359932,0.8830733681308232,0.6172750643341264,
credit-approval,GNB,Baseline,Equality,2,,0.0168609999818727,0.0054304000223055,,,157,316,29,119,0.9008559126233984,0.8682287078387291,0.5259082931597847,21,34,4,10,0.8811544991511036,0.8771789488827714,0.5920943388747175,
credit-approval,GNB,Baseline,Equality,3,,0.0188677998958155,0.0064195001032203,,,156,315,30,120,0.8953686200378072,0.8616659352645195,0.518833293700236,18,37,1,13,0.9269949066213922,0.9174711882955642,0.6172750643341264,
credit-approval,GNB,Baseline,Equality,4,,0.0167724000057205,0.0046044000191614,,,163,318,27,113,0.9118620037807184,0.8829081433638835,0.5524449149478857,16,33,5,15,0.7801358234295416,0.7406008648541222,0.4157146128539219,
credit-approval,GNB,Baseline,Equality,5,,0.0174781999085098,0.0057251000544056,,,153,316,29,123,0.8903539172442765,0.856461466336849,0.5134069516864774,18,36,2,13,0.9507640067911716,0.9395358805627428,0.5789015356490727,
credit-approval,GNB,Baseline,Equality,6,,0.0157177000073716,0.0044778999872505,,,163,318,27,113,0.9040695232094098,0.8742378588638844,0.5524449149478857,15,33,5,16,0.8786078098471987,0.8540879105786469,0.3862445937208443,
credit-approval,GNB,Baseline,Equality,7,,0.0182187999598681,0.0064107000362128,,,156,320,25,120,0.8998844780508296,0.8670499376902667,0.5388008711056143,17,33,5,14,0.8573853989813243,0.7767397677656049,0.4448858343090864,
credit-approval,GNB,Baseline,Equality,8,,0.016040000016801,0.0063636999111622,,,159,317,27,118,0.904578750734615,0.8709831101578971,0.5377472321394162,15,35,4,15,0.8376068376068376,0.8255753750014895,0.441060554748966,
credit-approval,GNB,Baseline,Equality,9,,0.0176234000828117,0.0062722000293433,,,159,318,26,118,0.9000818571068758,0.8678069919714928,0.5417395382726995,15,33,6,15,0.8692307692307693,0.834587034789905,0.3729338685741352,
credit-approval,GNB,Baseline,Equality,10,,0.01438850001432,0.0062123000388965,,,150,313,31,127,0.8865387037192511,0.8534939505109376,0.4937589747103162,21,39,0,9,0.9931623931623932,0.992183908045977,0.7541551564499178,
credit-approval,GNB,Baseline,Equity,1,,0.0616787000326439,0.010421699960716,0.5020332336425781,0.0808696746826171,209,261,84,67,0.8559231253938249,0.8445856553875394,0.5113997428577005,23,30,8,8,0.8191850594227504,0.8437374395979427,0.5314091680814941,
credit-approval,GNB,Baseline,Equity,2,,0.0328357999678701,0.0123081000056117,,,209,271,74,67,0.8593572778827976,0.8514756794076721,0.5415209362666223,25,27,11,6,0.8463497453310695,0.8344003125031886,0.5147974975133475,
credit-approval,GNB,Baseline,Equity,3,,0.0297269999282434,0.013115799985826,,,205,274,71,71,0.8528250367569838,0.8416870890227094,0.5369565217391304,23,32,6,8,0.8870967741935484,0.8939155410955303,0.5885546542135477,
credit-approval,GNB,Baseline,Equity,4,,0.0211019000271335,0.0118807000108063,,,215,263,82,61,0.8584646082755725,0.8561920456832706,0.5384617697117201,22,27,11,9,0.7852292020373515,0.7979754799922303,0.4184314634960706,
credit-approval,GNB,Baseline,Equity,5,,0.0335478000342845,0.0085610999958589,,,209,264,81,67,0.8512182314639782,0.8356092483633786,0.5203640331063668,25,24,14,6,0.8488964346349746,0.8585733152068815,0.4395255494651292,
credit-approval,GNB,Baseline,Equity,6,,0.0334258999209851,0.0132726998999714,,,209,260,85,67,0.8518588531821046,0.8457649168416926,0.5084246257557675,22,30,8,9,0.7478777589134126,0.7727994885988104,0.5008546959021241,
credit-approval,GNB,Baseline,Equity,7,,0.0301241000415757,0.0080498000606894,,,209,273,72,67,0.8562276832598193,0.8360265963819411,0.5476313010295163,21,24,14,10,0.8089983022071308,0.8040613965310974,0.307436379977949,
credit-approval,GNB,Baseline,Equity,8,,0.020907700061798,0.007921400014311,,,217,261,83,60,0.8585131391151035,0.8510963246811338,0.5392584155977641,20,33,6,10,0.8538461538461539,0.8215280388935253,0.5246110303619027,
credit-approval,GNB,Baseline,Equity,9,,0.0287789000431075,0.0088703999063,,,215,265,79,62,0.8690601125010495,0.859781825959099,0.5441007324290535,21,32,7,9,0.8623931623931624,0.8292076737675048,0.5254766441667298,
credit-approval,GNB,Baseline,Equity,10,,0.0270630000159144,0.008873000042513,,,205,267,77,72,0.8450486944840905,0.8349730675006743,0.5153973038167822,26,34,5,4,0.9529914529914528,0.9419281416579908,0.7359497572439373,
credit-approval,GNB,Standard Scaling,Equality,1,,0.0414419999578967,0.0065764000173658,0.4999704360961914,0.0053653717041015,199,307,38,77,0.9007456416719176,0.8887157080269994,0.6248457088034826,19,36,2,12,0.8820033955857386,0.8577667741515274,0.60567691938982,
credit-approval,GNB,Standard Scaling,Equality,2,,0.0146487000165507,0.0063924000132828,,,189,316,29,87,0.9040012602394454,0.8822908558181528,0.6254012757852868,23,32,6,8,0.8904923599320883,0.8995434317905663,0.5885546542135477,
credit-approval,GNB,Standard Scaling,Equality,3,,0.0177336999913677,0.0063545000739395,,,185,310,35,91,0.9009504305818106,0.8769388000068958,0.5909777526681687,22,37,1,9,0.9456706281833616,0.9406181354797136,0.721074938001538,
credit-approval,GNB,Standard Scaling,Equality,4,,0.0183268999680876,0.0067042999435216,,,193,315,30,83,0.9196124763705104,0.8980606552263832,0.6342314057817945,18,33,5,13,0.7954159592529711,0.7626571219456102,0.4738492449724392,
credit-approval,GNB,Standard Scaling,Equality,5,,0.0183536999393254,0.0065421999897807,,,181,311,34,95,0.8969071623608486,0.8731744935227121,0.5820081888643353,23,37,1,8,0.9584040747028862,0.9568610814433592,0.7473827186433792,
credit-approval,GNB,Standard Scaling,Equality,6,,0.018316000001505,0.0067367000738158,,,187,314,31,89,0.9153381642512076,0.8929846999449743,0.6118219959733023,18,33,5,13,0.8607809847198642,0.8368542394014383,0.4738492449724392,
credit-approval,GNB,Standard Scaling,Equality,7,,0.0150392000796273,0.004253500024788,,,183,317,28,93,0.9054610375971434,0.8782998824966289,0.6104743082671157,20,32,6,11,0.8607809847198642,0.7973808374430957,0.5001708131285932,
