Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
credit-g,GNB,Baseline,Equality,1,,0.0461964000714942,0.0078491000458598,0.9098167419433594,0.0059585571289062,103,567,63,167,0.7872898295120518,0.5834508576371349,0.3325828962246027,13,64,6,17,0.7795238095238095,0.6013774089992312,0.4060634525054266,
credit-g,GNB,Baseline,Equality,2,,0.0209196000359952,0.0071359999710693,,,114,559,71,156,0.7899353321575544,0.5841246491431782,0.3510001755001316,10,63,7,20,0.7652380952380953,0.5803680344896701,0.284657693313198,
credit-g,GNB,Baseline,Equality,3,,0.0174572999821975,0.0069632999366149,,,107,562,68,163,0.7943797766019989,0.5794287683393449,0.333886475135199,17,60,10,13,0.7300000000000001,0.5803009252352659,0.4374586890348776,
credit-g,GNB,Baseline,Equality,4,,0.0222681000595912,0.0066362000070512,,,110,562,68,160,0.793668430335097,0.595806393041104,0.3445309041651596,9,59,11,21,0.73,0.4752319931577642,0.1636634176769943,
credit-g,GNB,Baseline,Equality,5,,0.0189435000065714,0.0066948999883607,,,110,565,65,160,0.7831099353321576,0.5764724479527675,0.3522655471609898,8,65,5,22,0.8252380952380953,0.6447527752326847,0.2660375299233013,
credit-g,GNB,Baseline,Equality,6,,0.0221943000797182,0.0047403000062331,,,108,565,65,162,0.7988477366255143,0.5978581828434758,0.3451937762444686,7,58,12,23,0.6619047619047619,0.4272147620045469,0.072312669624254,
credit-g,GNB,Baseline,Equality,7,,0.0221341999713331,0.0074299999978393,,,106,569,61,164,0.7897236919459141,0.5801497730874632,0.3486518208143184,11,62,8,19,0.7766666666666667,0.6261524201337441,0.2948131915450357,
credit-g,GNB,Baseline,Equality,8,,0.0212710000341758,0.0073253998998552,,,99,561,69,171,0.7841681363903586,0.5714771014130288,0.3024241303759618,13,68,2,17,0.8647619047619047,0.7469920976702197,0.5194624816493197,
credit-g,GNB,Baseline,Equality,9,,0.016637000022456,0.0074290999909862,,,106,567,63,164,0.7859024103468548,0.5828250805461508,0.3433313357402397,13,61,9,17,0.7723809523809523,0.5505272263610671,0.3371410886618741,
credit-g,GNB,Baseline,Equality,10,,0.0146396999480202,0.0073903000447899,,,110,566,64,160,0.7928630217519107,0.5863530415690004,0.3548748782708002,9,61,9,21,0.7123809523809526,0.53621390512622,0.204479452977299,
credit-g,GNB,Baseline,Equity,1,,0.0797385999467223,0.0126109999837353,0.9067840576171876,0.1504497528076172,104,577,53,166,0.7688536155202822,0.571692607795161,0.3635451757662827,10,62,8,20,0.6919047619047619,0.4547412825557435,0.2612793010265488,
credit-g,GNB,Baseline,Equity,2,,0.0475992999272421,0.0162404000293463,,,134,543,87,136,0.7719517930629042,0.5766680111217055,0.381371291320691,11,61,9,19,0.7261904761904763,0.575499559933689,0.2727723627949905,
credit-g,GNB,Baseline,Equity,3,,0.0482212000060826,0.0166695999214425,,,114,560,70,156,0.7820517342739565,0.5656096257662886,0.3535104497550036,14,59,11,16,0.7038095238095239,0.564993421632903,0.3275692099413302,
credit-g,GNB,Baseline,Equity,4,,0.0500726000173017,0.0142393000423908,,,78,590,40,192,0.7729805996472663,0.5716516550515343,0.30602405925695,8,64,6,22,0.7476190476190476,0.5094567209597783,0.238979531716955,
credit-g,GNB,Baseline,Equity,5,,0.0496621000347659,0.0161514999344944,,,105,561,69,165,0.7598530276308052,0.5497874124418498,0.3241763593892431,14,63,7,16,0.7080952380952381,0.5648560663952789,0.4125322303395421,
credit-g,GNB,Baseline,Equity,6,,0.0497534999158233,0.0132239999948069,,,98,566,64,172,0.7788477366255143,0.584984690321807,0.3117680548481041,7,60,10,23,0.7004761904761905,0.4511395742769138,0.1103774729173625,
credit-g,GNB,Baseline,Equity,7,,0.0420323000289499,0.0109942000126466,,,81,577,53,189,0.767583774250441,0.5590027717852576,0.2778969189204321,8,66,4,22,0.7785714285714286,0.6207832966753607,0.2954684201426394,
credit-g,GNB,Baseline,Equity,8,,0.0519836000166833,0.0103795999893918,,,76,578,52,194,0.7692181069958848,0.5585086172925167,0.2610144569856041,10,68,2,20,0.8438095238095238,0.7017241976487855,0.4297722474802028,
credit-g,GNB,Baseline,Equity,9,,0.0506114999298006,0.009896200033836,,,78,586,44,192,0.7603292181069958,0.547219540946068,0.2932384936694385,10,63,7,20,0.7542857142857143,0.5438879342152625,0.284657693313198,
credit-g,GNB,Baseline,Equity,10,,0.0323446999536827,0.0107064999174326,,,102,559,71,168,0.7561610817166372,0.5531332670755827,0.3082746557905147,9,63,7,21,0.6857142857142857,0.4922895862061999,0.25,
