Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
cylinder-bands,GNB,Baseline,Equality,1,,0.0504129000473767,0.0088863000273704,0.7952346801757812,0.0085830688476562,77,276,5,128,0.81152677718948,0.7898216529871949,0.4718374787365412,10,30,1,13,0.8218793828892005,0.7651851015115434,0.4942043473651303,
cylinder-bands,GNB,Baseline,Equality,2,,0.0194827000377699,0.0087101000826805,,,81,278,3,124,0.8271330613662008,0.8174652834390668,0.5021257986773965,2,30,1,21,0.7251051893408135,0.6059077977662055,0.1180793970090462,
cylinder-bands,GNB,Baseline,Equality,3,,0.0238194999983534,0.009145800024271,,,74,276,5,131,0.8088360385383213,0.7861834836117733,0.4593501480346169,10,30,1,13,0.8106591865357644,0.8216337313211624,0.4942043473651303,
cylinder-bands,GNB,Baseline,Equality,4,,0.0219124000286683,0.0092495999997481,,,82,272,9,123,0.8290426178283135,0.7977855429796847,0.4658274377321116,7,31,0,16,0.7868162692847125,0.779129595051391,0.4480402387109475,
cylinder-bands,GNB,Baseline,Equality,5,,0.0218779999995604,0.0058290999149903,,,80,277,4,125,0.8286259873274889,0.8092344803981059,0.4911065113046332,8,31,0,15,0.8274894810659187,0.8077596589744963,0.4841534228547846,
cylinder-bands,GNB,Baseline,Equality,6,,0.023232200066559,0.0088299999479204,,,97,268,13,108,0.8367676416977694,0.8089970959895834,0.5038177854689717,9,31,0,14,0.7475455820476858,0.7637048523020683,0.5191967039488062,
cylinder-bands,GNB,Baseline,Equality,7,,0.0217706999974325,0.0072305999929085,,,89,273,8,116,0.830882735873622,0.8005299623329498,0.5012442114882353,9,29,2,14,0.7040673211781207,0.7432744219371143,0.4012181635403323,
cylinder-bands,GNB,Baseline,Equality,8,,0.0236567999236285,0.0059972000308334,,,88,274,7,117,0.8324103810433121,0.8089440068954671,0.5035529619352855,6,29,2,17,0.7671809256661991,0.7426070019500166,0.2733124161277009,
cylinder-bands,GNB,Baseline,Equality,9,,0.0220809000311419,0.0054899000097066,,,74,274,6,132,0.8285714285714286,0.79973282312424,0.4501502386861867,10,32,0,12,0.8068181818181819,0.8125978608933153,0.5749595745760689,
cylinder-bands,GNB,Baseline,Equality,10,,0.016506600077264,0.0063127999892458,,,84,273,7,122,0.8294729542302358,0.8048604190451625,0.4848728413955632,9,29,3,13,0.825284090909091,0.8023873023134453,0.3726931208617384,
cylinder-bands,GNB,Baseline,Equity,1,,0.0964461000403389,0.017476400011219,0.7909812927246094,0.1423625946044922,78,272,9,127,0.8332957208575644,0.8120520788551114,0.4488860612595035,9,30,1,14,0.8793828892005611,0.8616320200298508,0.4570554186791526,
cylinder-bands,GNB,Baseline,Equity,2,,0.0530158999608829,0.0141928999219089,,,96,271,10,109,0.8565055116743339,0.8452649686190452,0.5174611737299696,3,29,2,20,0.6072931276297335,0.553673712410317,0.1124527423299257,
cylinder-bands,GNB,Baseline,Equity,3,,0.051137899979949,0.0241607999196276,,,74,276,5,131,0.8263518791771548,0.8011776001935318,0.4593501480346169,10,29,2,13,0.7980364656381486,0.7973023873810742,0.440396535403165,
cylinder-bands,GNB,Baseline,Equity,4,,0.053141999989748,0.023455600021407,,,80,273,8,125,0.8407603506640047,0.8227772600352589,0.46396450002478,9,30,1,14,0.791023842917251,0.7808273785723612,0.4570554186791526,
cylinder-bands,GNB,Baseline,Equity,5,,0.0435275000054389,0.0214328999863937,,,107,263,18,98,0.8489367242426874,0.8336220695425494,0.5173526778958214,7,27,4,16,0.7461430575035063,0.712693385773087,0.2152457958907362,
cylinder-bands,GNB,Baseline,Equity,6,,0.040602899971418,0.0192145999753847,,,204,26,255,1,0.846558458467147,0.8248961372459603,0.1889674729722203,21,2,29,2,0.7433380084151473,0.7896844916352685,-0.04237017130659,
cylinder-bands,GNB,Baseline,Equity,7,,0.0389136999147012,0.0175909000681713,,,87,270,11,118,0.8535890981685617,0.8313870801491747,0.4741736895164751,11,29,2,12,0.755960729312763,0.7754641553409185,0.4785349327985219,
cylinder-bands,GNB,Baseline,Equity,8,,0.0533136000158265,0.0161523999413475,,,86,274,7,119,0.8320111101466887,0.8178897401055002,0.4953939540658222,7,30,1,16,0.7615708274894811,0.7496506311092352,0.3787329194912427,
cylinder-bands,GNB,Baseline,Equity,9,,0.0498492999467998,0.024615200003609,,,79,272,8,127,0.8378294036061026,0.8152248555837223,0.457511034280269,10,31,1,12,0.7826704545454546,0.77227299301099,0.5164156131717749,
cylinder-bands,GNB,Baseline,Equity,10,,0.0519215000094845,0.0195607000496238,,,80,273,7,126,0.8481622746185853,0.8303930950500171,0.468372228235926,7,30,2,15,0.8252840909090909,0.8003611496174458,0.3370999312316211,
cylinder-bands,GNB,Standard Scaling,Equality,1,,0.0545006999745965,0.0089950999245047,0.7913351058959961,0.0096464157104492,70,264,17,135,0.8153111709053035,0.7546355260830461,0.3619399642049053,7,29,2,16,0.8274894810659187,0.811833176196588,0.3182173346783006,
cylinder-bands,GNB,Standard Scaling,Equality,2,,0.0189781000372022,0.0081038000062108,,,72,271,10,133,0.8464716604461417,0.800272451158341,0.4162113835817869,3,26,5,20,0.6016830294530154,0.4925714972927882,-0.0429490939629244,
cylinder-bands,GNB,Standard Scaling,Equality,3,,0.023205800098367,0.0084750999230891,,,55,269,12,150,0.7988369065185313,0.7466124023946417,0.3231482292902705,9,29,2,14,0.7741935483870968,0.724861843073713,0.4012181635403323,
cylinder-bands,GNB,Standard Scaling,Equality,4,,0.022616000031121,0.008052899967879,,,53,270,11,152,0.8394323409426265,0.7946351859536029,0.3204070386845609,6,30,1,17,0.82328190743338,0.773413582652067,0.3365463544234306,
cylinder-bands,GNB,Standard Scaling,Equality,5,,0.0232842999976128,0.0055716000497341,,,69,270,11,136,0.8319590313340854,0.7676209396328727,0.3961144284050608,7,27,4,16,0.7237026647966339,0.6343700006310107,0.2152457958907362,
cylinder-bands,GNB,Standard Scaling,Equality,6,,0.0242582000792026,0.0087832000572234,,,119,243,38,86,0.815068136446489,0.7470477761142462,0.4702107696158265,14,27,4,9,0.7924263674614305,0.7986254552808252,0.5031457842657572,
