Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
diabetes,GNB,Baseline,Equality,1,,0.0157912999857217,0.0030017000390216,0.3598995208740234,0.0027666091918945,146,382,68,95,0.8224619640387276,0.6798993386134161,0.4686749725994408,19,37,13,8,0.8266666666666667,0.6952124408995279,0.4296142637737487,
diabetes,GNB,Baseline,Equality,2,,0.0059521000366657,0.0020581999560818,,,150,378,72,91,0.8264084831719687,0.6939870223514143,0.4719282012086034,14,42,8,13,0.7933333333333333,0.5976115683577465,0.378691704962503,
diabetes,GNB,Baseline,Equality,3,,0.0073709998978301,0.0024519000435248,,,149,378,72,92,0.8292116182572615,0.6860000412037002,0.4682513819228941,15,42,8,12,0.7659259259259258,0.6344251199765378,0.4123951744684367,
diabetes,GNB,Baseline,Equality,4,,0.0062858000164851,0.0032322000479325,,,144,382,68,97,0.813609958506224,0.6662462740612212,0.4613202930831104,19,48,2,8,0.9348148148148148,0.9184314890649132,0.7111111111111111,
diabetes,GNB,Baseline,Equality,5,,0.0075486999703571,0.0025575999170541,,,148,376,74,93,0.8243614568925772,0.677315930825261,0.4589226022999672,18,42,8,9,0.8414814814814814,0.7612945740883248,0.5112313234371975,
diabetes,GNB,Baseline,Equality,6,,0.0058181000640615,0.0020876999478787,,,145,380,70,96,0.8241217150760719,0.6763829764683637,0.4592280207033432,15,43,7,12,0.7992592592592592,0.7422641431234385,0.4389381125701739,
diabetes,GNB,Baseline,Equality,7,,0.0058363999705761,0.003346599987708,,,147,381,69,94,0.8270262793914245,0.6891601606178446,0.4694625435459276,15,46,4,12,0.8192592592592594,0.6941010220135653,0.5263532956993116,
diabetes,GNB,Baseline,Equality,8,,0.0072531999321654,0.0028741999994963,,,145,384,66,96,0.8265375749193177,0.6911268121865167,0.470823062091968,16,37,13,11,0.7740740740740741,0.591263917232775,0.3275366019667524,
diabetes,GNB,Baseline,Equality,9,,0.0068245000438764,0.002778899972327,,,148,383,67,94,0.8228191000918275,0.6774994383822663,0.4767794441440984,20,39,11,6,0.8438461538461539,0.7633486872774948,0.5301996440313944,
diabetes,GNB,Baseline,Equality,10,,0.0049314000643789,0.0024621000047773,,,152,381,69,90,0.8335812672176309,0.7005591624391468,0.4856090960904513,12,41,9,14,0.74,0.562602753462437,0.2986884417160885,
diabetes,GNB,Baseline,Equity,1,,0.0312059000134468,0.005689000012353,0.3613147735595703,0.0504980087280273,166,367,83,75,0.833969571230982,0.7195999144538002,0.5006542654203524,20,37,13,7,0.8725925925925926,0.8054761472081993,0.4635477787778478,
diabetes,GNB,Baseline,Equity,2,,0.016792600043118,0.0063745999941602,,,172,360,90,69,0.8382203780544029,0.7388763670827784,0.5045905218430672,17,44,6,10,0.8185185185185185,0.6640423955553415,0.5313256180417312,
diabetes,GNB,Baseline,Equity,3,,0.0127264999318867,0.0072195999091491,,,175,354,96,66,0.8428307976025818,0.7345455561062745,0.5005645201722398,18,41,9,9,0.7859259259259259,0.6714524314366044,0.4866666666666667,
diabetes,GNB,Baseline,Equity,4,,0.0117091001011431,0.00632449996192,,,162,358,92,79,0.8223605348086676,0.7070839060555213,0.4623548154714286,20,43,7,7,0.9266666666666667,0.8838671632063195,0.6007407407407407,
diabetes,GNB,Baseline,Equity,5,,0.0177186999935656,0.0043329000473022,,,174,357,93,67,0.8366528354080223,0.7232138479870891,0.5043795388769897,19,42,8,8,0.8525925925925926,0.7962659179120994,0.5437037037037037,
diabetes,GNB,Baseline,Equity,6,,0.0115564999869093,0.0061991000548005,,,170,362,88,71,0.8366159520516367,0.7217183606261777,0.5023353256005447,19,41,9,8,0.8518518518518517,0.7714619724743073,0.519487944872376,
