Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
dresses-sales,GNB,Baseline,Equality,1,,0.0388157000998035,0.0062560000224038,0.3718214035034179,0.0062952041625976,65,224,37,124,0.6723327048997547,0.5946578328600297,0.2383095278534921,6,24,5,15,0.5829228243021347,0.5652147994325587,0.134993170768712,
dresses-sales,GNB,Baseline,Equality,2,,0.015100699965842,0.0064651999855414,,,64,237,24,125,0.7049504348354924,0.6470540620871206,0.3069533828239186,9,21,8,12,0.5894909688013136,0.5429079235479507,0.1591083132200807,
dresses-sales,GNB,Baseline,Equality,3,,0.0170897999778389,0.0064202999928966,,,70,232,29,119,0.697693040604918,0.629578902072049,0.3088974165255068,6,22,7,15,0.5681444991789819,0.4808431876462408,0.0498864476693966,
dresses-sales,GNB,Baseline,Equality,4,,0.0165296000195667,0.0064874000381678,,,66,231,30,123,0.6995884773662553,0.6313349526607552,0.2822403681139794,4,26,3,17,0.5041050903119868,0.4969396843069648,0.1237895475188101,
dresses-sales,GNB,Baseline,Equality,5,,0.0129219000227749,0.0066309999674558,,,64,232,29,125,0.6923412191611424,0.6205856179609675,0.2773206598189673,2,26,3,19,0.6354679802955665,0.5159507536573779,-0.0135073483078851,
dresses-sales,GNB,Baseline,Equality,6,,0.0167708999942988,0.0054526999592781,,,71,233,28,118,0.7038354720347058,0.6506929749729833,0.3197664318853065,5,26,3,16,0.6223316912972086,0.5720427942544348,0.1812740206014078,
dresses-sales,GNB,Baseline,Equality,7,,0.0169018999440595,0.0061541999457404,,,64,231,30,125,0.6755762330474974,0.6046193948638322,0.2715769446856108,8,24,5,13,0.6190476190476191,0.593493507325225,0.2346510686671621,
dresses-sales,GNB,Baseline,Equality,8,,0.016786599997431,0.0062952999724075,,,52,228,33,137,0.6665146262847412,0.5821117918093526,0.1874964577686817,8,27,2,13,0.6945812807881774,0.6828854024816662,0.3849594267747261,
dresses-sales,GNB,Baseline,Equality,9,,0.016605700016953,0.0040907000657171,,,59,230,31,130,0.6828640353544567,0.6244157796907084,0.2386298201059706,6,25,4,15,0.6256157635467979,0.5585590922810395,0.1823492021564492,
dresses-sales,GNB,Baseline,Equality,10,,0.0165137000149115,0.005762799992226,,,68,226,35,121,0.6897463966429485,0.6207904059187491,0.2651414967356253,6,23,6,15,0.6042692939244663,0.5662379925635652,0.0910856935962519,
dresses-sales,GNB,Baseline,Equity,1,,0.0562401000643149,0.0096564999548718,0.3700952529907226,0.0477809906005859,45,233,28,144,0.6932331894017718,0.6019443451648181,0.1751372008183387,9,24,5,12,0.6568144499178982,0.6799410613150878,0.281579273329307,
dresses-sales,GNB,Baseline,Equity,2,,0.0204973999643698,0.0120597999775782,,,47,232,29,142,0.6835836931622372,0.6097319899381453,0.1812258320236036,6,20,9,15,0.5336617405582923,0.4552580191958846,-0.0265279054538645,
dresses-sales,GNB,Baseline,Equity,3,,0.0247069000033661,0.0113254999741911,,,61,229,32,128,0.668622919580774,0.599624174359837,0.2439621201454749,6,24,5,15,0.5533661740558292,0.5202922085481745,0.134993170768712,
dresses-sales,GNB,Baseline,Equity,4,,0.0174002000130713,0.0116146999644115,,,59,233,28,130,0.6897362606174867,0.5986705518052777,0.2560696872884215,4,25,4,17,0.5205254515599343,0.4785920364187533,0.0707410812103054,
