Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
electricity,GNB,Baseline,Equality,1,,0.0719058000249788,0.0064195999875664,14.624792098999023,0.003274917602539,7695,22293,1174,9618,0.7919288246157146,0.7697626989999128,0.4725893843429108,830,2483,125,1094,0.7796522853079602,0.7593398353969717,0.4647497713467354,
electricity,GNB,Baseline,Equality,2,,0.071969199925661,0.0092379000270739,,,7046,22548,919,10267,0.7904242520932473,0.7680435290191906,0.4585814904528296,745,2528,80,1179,0.7983955891356198,0.7790674403093374,0.456694157936893,
electricity,GNB,Baseline,Equality,3,,0.0782646000152453,0.0090597999515011,,,7299,22460,1008,10014,0.7903807951634261,0.7681671389579138,0.46468547731042,803,2506,101,1121,0.7980895828997094,0.7789113331060509,0.4682913170403057,
electricity,GNB,Baseline,Equality,4,,0.0784998999442905,0.0091158000286668,,,7639,22279,1189,9674,0.7906946286221292,0.7679884636055401,0.4687376908515125,878,2488,119,1046,0.7886462522538472,0.7732255571981479,0.4900170720258718,
electricity,GNB,Baseline,Equality,5,,0.0823582999873906,0.0066088000312447,,,7347,22463,1005,9966,0.7915923634677149,0.7701895204051754,0.4673056518161323,828,2464,143,1096,0.786195928600992,0.7577430284226345,0.4523240297220617,
electricity,GNB,Baseline,Equality,6,,0.0899161000270396,0.0089748000027611,,,7358,22443,1025,9955,0.7919755961314677,0.7699853092867094,0.4663986681588155,811,2490,117,1113,0.7871781115452001,0.7642147536514542,0.4613086964537873,
electricity,GNB,Baseline,Equality,7,,0.0893164000008255,0.0082439000252634,,,7057,22560,908,10256,0.7907210425054712,0.7688494665355161,0.4599628999893073,781,2497,110,1143,0.7921657826721118,0.7692733528892184,0.4523388582936384,
electricity,GNB,Baseline,Equality,8,,0.0956595999887213,0.0050201999256387,,,6941,22586,881,10373,0.7913032747368633,0.7700023228287568,0.4561457146327349,792,2501,107,1131,0.794211438702947,0.7655814390419076,0.4595832626947976,
electricity,GNB,Baseline,Equality,9,,0.0832926000002771,0.0048385999398306,,,7439,22399,1068,9875,0.791287590808224,0.7694283509723057,0.4673090654750694,812,2497,111,1111,0.7902559507288267,0.7668246334215714,0.4659559021470447,
electricity,GNB,Baseline,Equality,10,,0.0827363999560475,0.0048452001065015,,,7554,22339,1128,9760,0.7899741242373592,0.7676107731832325,0.4687673941872089,869,2479,129,1054,0.7943088429058636,0.7765352383228981,0.479956599301712,
