Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
ilpd,GNB,Baseline,Equality,1,,0.0287932000355795,0.0050630000187084,0.3332080841064453,0.0033683776855468,143,148,226,7,0.7318716577540106,0.4795541690842688,0.3456977742983646,17,18,24,0,0.7703081232492996,0.5591953032236567,0.4215451914469619,
ilpd,GNB,Baseline,Equality,2,,0.0120883000781759,0.0051268999231979,,,143,148,226,7,0.7342780748663101,0.487159732522065,0.3456977742983646,17,14,28,0,0.7717086834733894,0.5049276317517629,0.354860431614918,
ilpd,GNB,Baseline,Equality,3,,0.0129243000410497,0.0052630000282078,,,143,144,230,7,0.7188770053475937,0.4605079143086092,0.3376895714096838,17,15,27,0,0.8725490196078431,0.6550296939908795,0.371466032076976,
ilpd,GNB,Baseline,Equality,4,,0.0120154999895021,0.0050647999159991,,,145,149,225,6,0.7400396642702838,0.4934529652618106,0.3559108777903698,15,16,26,1,0.7023809523809523,0.4665903125836733,0.3126891038138619,
ilpd,GNB,Baseline,Equality,5,,0.0128921000286936,0.004517100052908,,,146,150,224,5,0.7419874632574281,0.4774394469125921,0.3651359190562274,13,22,20,3,0.7068452380952381,0.447391099912418,0.3035266497828932,
ilpd,GNB,Baseline,Equality,6,,0.0092484999913722,0.0052915000123903,,,145,159,215,6,0.7507702659630981,0.4903708743350407,0.3757865000780976,15,14,28,1,0.6324404761904763,0.4368402907160263,0.2764438254519188,
ilpd,GNB,Baseline,Equality,7,,0.0120346000185236,0.0051044999854639,,,143,149,226,7,0.7343111111111111,0.4693921478019456,0.3466412692545615,17,14,27,0,0.7503586800573887,0.6137795246283901,0.3632203829126236,
ilpd,GNB,Baseline,Equality,8,,0.0130987999727949,0.0051485000876709,,,144,151,224,6,0.7544177777777779,0.5101477943774954,0.357845177230036,16,13,28,1,0.5581061692969871,0.3084196322886964,0.2747044912784548,
ilpd,GNB,Baseline,Equality,9,,0.0115539000835269,0.0040436999406665,,,142,149,226,8,0.7299377777777778,0.4663367504803565,0.339426675460843,16,21,20,1,0.7862266857962698,0.660211439999848,0.4253124568034738,
ilpd,GNB,Baseline,Equality,10,,0.0089179000351578,0.0034430000232532,,,143,143,232,7,0.7394133333333333,0.4906411582694958,0.3346666666666666,17,20,21,0,0.7216642754662841,0.4497525758832799,0.4671493316643559,
