Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
jm1,GNB,Baseline,Equality,1,,0.0360813000006601,0.0046903999755159,10.12233543395996,0.003702163696289,282,7612,289,1613,0.6653531048305898,0.3576233962022481,0.1892224979201284,27,836,42,184,0.6537450474473436,0.3305254194353656,0.1299983466332902,
jm1,GNB,Baseline,Equality,2,,0.0385380000807344,0.0077327999752014,,,279,7584,317,1616,0.6582736429275344,0.3465820173154857,0.1769908025036379,35,858,20,176,0.7137208649558994,0.4380648716787943,0.2582733692112607,
jm1,GNB,Baseline,Equality,3,,0.0393544000107795,0.0078788000391796,,,283,7590,311,1612,0.6696288068809298,0.3565156404667313,0.1820196012149747,35,841,37,176,0.6256922777963704,0.3305619331744546,0.1968141161026954,
jm1,GNB,Baseline,Equality,4,,0.0416035999078303,0.0081018001073971,,,280,7607,294,1615,0.6661576521324745,0.3552904074025463,0.1859187604351824,29,843,35,182,0.627033650368675,0.3243959608108393,0.1639781387994008,
jm1,GNB,Baseline,Equality,5,,0.0445211000042036,0.0056232999777421,,,338,7547,354,1557,0.672830298693028,0.3579067698518395,0.2058978322348644,39,832,46,172,0.6548489134072483,0.34065235676423,0.1951367008290506,
jm1,GNB,Baseline,Equality,6,,0.0472457000287249,0.0057378000346943,,,269,7597,304,1627,0.6591653128883435,0.3482937787532005,0.1740804724362014,39,855,23,171,0.7026738257945547,0.4166199160780001,0.2715802144025563,
jm1,GNB,Baseline,Equality,7,,0.046985299908556,0.005542500060983,,,283,7612,289,1613,0.6632944369056526,0.3564325881925531,0.1898633227218334,24,840,38,186,0.6694191343963554,0.3386597144145662,0.1208869905806564,
jm1,GNB,Baseline,Equality,8,,0.0441701000090688,0.0060113000217825,,,288,7602,299,1608,0.6702484717257924,0.3590308011612497,0.1898572875816033,26,841,37,184,0.626599956611346,0.3209210194383652,0.1379997120048832,
jm1,GNB,Baseline,Equality,9,,0.0421651999931782,0.0044554999331012,,,286,7601,300,1610,0.6576657096762307,0.3524110018856143,0.1880407314116919,26,843,35,184,0.704845970278772,0.3641450891092906,0.1440150228649202,
jm1,GNB,Baseline,Equality,10,,0.0472317000385373,0.0036280999192968,,,273,7600,302,1622,0.6628912288996673,0.3524866067524358,0.1778679129256228,36,847,30,175,0.6670926845612195,0.3696564062333917,0.2259359410656536,
jm1,GNB,Baseline,Equity,1,,0.0971742999972775,0.0132455000421032,10.123838424682615,0.1718416213989257,1021,5812,2089,874,0.6898108485649758,0.3659109606795261,0.232835682027032,105,644,234,106,0.6833955888544625,0.3807393893210322,0.1972818470511312,
jm1,GNB,Baseline,Equity,2,,0.0895563000813126,0.0187688000733032,,,990,5829,2072,905,0.6825533256369472,0.3597584278880114,0.2217093433585965,124,676,202,87,0.7333151604788997,0.403386967917212,0.3086216067744555,
jm1,GNB,Baseline,Equity,3,,0.0987444999627769,0.0190991000272333,,,1030,5776,2125,865,0.6926969265772109,0.3712168466424883,0.2321142433034355,111,639,239,100,0.6758871411760896,0.3681186442386057,0.2148429055937706,
jm1,GNB,Baseline,Equity,4,,0.0915323999943211,0.0154396999860182,,,1018,5830,2071,877,0.6899734811965621,0.3698276336033985,0.2338506424446496,106,640,238,105,0.675406730073735,0.3324672104456322,0.1966549955040452,
jm1,GNB,Baseline,Equity,5,,0.0836841000709682,0.0192196000134572,,,1030,5792,2109,865,0.6924438608519211,0.3704885624698203,0.2341393830727416,109,638,240,102,0.6662600265575576,0.3489477589718716,0.2060124202590159,
jm1,GNB,Baseline,Equity,6,,0.090114300022833,0.0196823999285697,,,1020,5751,2150,876,0.6886160660643822,0.3674866558475841,0.2245021769175334,130,642,236,80,0.7232725892179195,0.4328243719294557,0.2925714835359296,
jm1,GNB,Baseline,Equity,7,,0.0945684000616893,0.0162022999720647,,,1032,5771,2130,864,0.6918607950069878,0.3709613120430125,0.2321375486481095,110,639,239,100,0.6818038832845211,0.3670395935811203,0.2127318586284922,
jm1,GNB,Baseline,Equity,8,,0.0921857999637723,0.0143794000614434,,,1029,5791,2110,867,0.6926376154383065,0.3683135244328944,0.2333871691901085,107,634,244,103,0.6668402212821347,0.3733944936809756,0.1955440871158788,
jm1,GNB,Baseline,Equity,9,,0.0908864999655634,0.0116262000519782,,,1034,5754,2147,862,0.6902863267855323,0.372320430025643,0.2308499973008793,116,638,240,94,0.7045422497017031,0.374580586429534,0.2347097072418044,
jm1,GNB,Baseline,Equity,10,,0.0918810999719426,0.0116014999803155,,,1012,5796,2106,883,0.6897158062252033,0.369707763712674,0.2268501449169736,118,638,239,93,0.6892140915551185,0.3523589789619669,0.2414398036129674,
jm1,GNB,Standard Scaling,Equality,1,,0.0600030999630689,0.0052369000623002,10.12371063232422,0.004425048828125,382,7503,398,1513,0.6899696407956109,0.3608722555598254,0.2206333506401836,44,824,54,167,0.6869743816731261,0.337281661812027,0.2030658366744374,
jm1,GNB,Standard Scaling,Equality,2,,0.0446338000474497,0.0108840999891981,,,383,7473,428,1512,0.6832322751303317,0.3508412083575209,0.2120621373323294,43,849,29,168,0.7439435813838,0.4352359574609347,0.2716142984299075,
jm1,GNB,Standard Scaling,Equality,3,,0.0459416999947279,0.0080998999765142,,,388,7486,415,1507,0.6932906191694782,0.3607180655925268,0.2191894659671079,41,830,48,170,0.6634099472087575,0.3409611952623441,0.2014711845104176,
jm1,GNB,Standard Scaling,Equality,4,,0.0462307999841868,0.0101381000131368,,,383,7501,400,1512,0.69151992717264,0.3596786500933002,0.2206468535872884,37,833,45,174,0.6673261073745803,0.3385117834090936,0.1858864418206235,
jm1,GNB,Standard Scaling,Equality,5,,0.0492249000817537,0.0043187999399378,,,417,7458,443,1478,0.6960846945328387,0.3624361129796309,0.228889616798131,44,821,57,167,0.6624896090857075,0.3380517055102044,0.1956751243459349,
jm1,GNB,Standard Scaling,Equality,6,,0.0513794000726193,0.0054605999030172,,,372,7486,415,1524,0.6857295076145358,0.3521774916764127,0.2088330847159258,49,845,33,161,0.7249701703004665,0.4202984993483677,0.2926497293635616,
jm1,GNB,Standard Scaling,Equality,7,,0.0546050000702962,0.0087841999484226,,,385,7502,399,1511,0.6893933537761872,0.3608665005151439,0.2221292233698853,36,828,50,174,0.6913873522073978,0.3384454455238824,0.167458460313852,
jm1,GNB,Standard Scaling,Equality,8,,0.0641157999634742,0.0035610999912023,,,387,7497,404,1509,0.6950975801813262,0.3631710860765568,0.2218420770665307,38,828,50,172,0.6472827855515783,0.3191215551139398,0.1794956673381897,
jm1,GNB,Standard Scaling,Equality,9,,0.0498485000571236,0.005794099997729,,,385,7491,410,1511,0.6858130506900532,0.3566470254851709,0.2187075892751722,47,829,49,163,0.7181554398524785,0.3675036185284978,0.2337636489059944,
jm1,GNB,Standard Scaling,Equality,10,,0.0598743000300601,0.0034057999728247,,,380,7493,409,1515,0.6891937113545952,0.3559188474561584,0.2159393896085277,47,833,44,164,0.6954935773073868,0.3834174410304109,0.2464663428047343,
jm1,GNB,Standard Scaling,Equity,1,,0.1051165000535547,0.0131800000090152,10.125185012817385,0.1725378036499023,1021,5812,2089,874,0.6898108485649758,0.3659109606795261,0.232835682027032,105,644,234,106,0.6833955888544625,0.3807393893210322,0.1972818470511312,
jm1,GNB,Standard Scaling,Equity,2,,0.0961839000228792,0.0186339999781921,,,990,5829,2072,905,0.6825533256369472,0.3597584278880114,0.2217093433585965,124,676,202,87,0.7333151604788997,0.403386967917212,0.3086216067744555,
jm1,GNB,Standard Scaling,Equity,3,,0.097097499994561,0.0172616000054404,,,1030,5776,2125,865,0.6926969265772109,0.3712168466424883,0.2321142433034355,111,639,239,100,0.6758871411760896,0.3681186442386057,0.2148429055937706,
jm1,GNB,Standard Scaling,Equity,4,,0.092629799968563,0.0194353000260889,,,1018,5830,2071,877,0.6899734811965621,0.3698276336033985,0.2338506424446496,106,640,238,105,0.675406730073735,0.3324672104456322,0.1966549955040452,
jm1,GNB,Standard Scaling,Equity,5,,0.0996388000203296,0.0184457999421283,,,1030,5792,2109,865,0.6924438608519211,0.3704885624698203,0.2341393830727416,109,638,240,102,0.6662600265575576,0.3489477589718716,0.2060124202590159,
jm1,GNB,Standard Scaling,Equity,6,,0.0907703000120818,0.0129316000966355,,,1020,5751,2150,876,0.6886160660643822,0.3674866558475841,0.2245021769175334,130,642,236,80,0.7232725892179195,0.4328243719294557,0.2925714835359296,
jm1,GNB,Standard Scaling,Equity,7,,0.091280199936591,0.0186759999487549,,,1032,5771,2130,864,0.6918607950069878,0.3709613120430125,0.2321375486481095,110,639,239,100,0.6818038832845211,0.3670395935811203,0.2127318586284922,
jm1,GNB,Standard Scaling,Equity,8,,0.0882301999954506,0.0169369000941514,,,1029,5791,2110,867,0.6926376154383065,0.3683135244328944,0.2333871691901085,107,634,244,103,0.6668402212821347,0.3733944936809756,0.1955440871158788,
jm1,GNB,Standard Scaling,Equity,9,,0.0946916999528184,0.0135596001055091,,,1034,5754,2147,862,0.6902863267855323,0.372320430025643,0.2308499973008793,116,638,240,94,0.7045422497017031,0.374580586429534,0.2347097072418044,
jm1,GNB,Standard Scaling,Equity,10,,0.0904348999029025,0.0120167999994009,,,1012,5796,2106,883,0.6897158062252033,0.369707763712674,0.2268501449169736,118,638,239,93,0.6892140915551185,0.3523589789619669,0.2414398036129674,
jm1,GNB,MinMax Scaling,Equality,1,,0.0399445999646559,0.004762600059621,10.12376594543457,0.0048236846923828,382,7503,398,1513,0.6899767538860684,0.3610044920956007,0.2206333506401836,44,824,54,167,0.6869743816731261,0.337281661812027,0.2030658366744374,
jm1,GNB,MinMax Scaling,Equality,2,,0.0454893999267369,0.0050203000428155,,,383,7473,428,1512,0.6832322751303317,0.3508412083575209,0.2120621373323294,43,849,29,168,0.7439435813838,0.4352359574609347,0.2716142984299075,
jm1,GNB,MinMax Scaling,Equality,3,,0.0453130999812856,0.0069543999852612,,,388,7486,415,1507,0.6932835394738117,0.36058712074667,0.2191894659671079,41,830,48,170,0.6634099472087575,0.3409611952623441,0.2014711845104176,
