Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kc1,GNB,Baseline,Equality,1,,0.0199768000748008,0.0035289999796077,2.055238723754883,0.003702163696289,111,1463,141,183,0.7922349737900147,0.408672107439802,0.308835966662928,7,159,20,25,0.8282122905027933,0.3404672118973976,0.1149127389724647,
kc1,GNB,Baseline,Equality,2,,0.0089854999678209,0.0042100000428035,,,109,1448,156,185,0.7975077187982424,0.3958839520134598,0.2854983207069904,14,165,14,18,0.7958275139664804,0.4418133907758086,0.3798737685652434,
kc1,GNB,Baseline,Equality,3,,0.0112424000399187,0.004027499933727,,,108,1463,141,186,0.8043581522384515,0.4071183702946247,0.2994725795069353,10,159,20,22,0.7178770949720671,0.3332238182265184,0.2062036844088132,
kc1,GNB,Baseline,Equality,4,,0.0116706000408157,0.0033845999278128,,,106,1451,154,187,0.7907318214198377,0.3932897929203691,0.2793333923843577,12,167,11,21,0.8404834865509022,0.4635464075857978,0.3518025004252944,
kc1,GNB,Baseline,Equality,5,,0.0114460999611765,0.0036142999306321,,,107,1461,144,186,0.7917737871200281,0.3993947294862746,0.2938048505709941,11,160,18,22,0.8255022131426626,0.4001267981006102,0.2449698894957678,
kc1,GNB,Baseline,Equality,6,,0.0122806999133899,0.0033810000168159,,,106,1452,153,187,0.7958895516357798,0.3967774263645772,0.2804425127058072,12,168,10,21,0.794688457609806,0.4382060292845252,0.3654336471889639,
kc1,GNB,Baseline,Equality,7,,0.0125727000413462,0.0042444000719115,,,107,1453,152,186,0.7927647177655152,0.3895645775996893,0.2846905226108808,13,166,12,20,0.8195437521280218,0.5117513747358912,0.3669907815165338,
kc1,GNB,Baseline,Equality,8,,0.0113106000935658,0.0040947999805212,,,105,1464,141,188,0.7961266519940884,0.3997778103651888,0.2909940955460838,15,156,22,18,0.7997105890364318,0.4200893227775462,0.3161213320873091,
kc1,GNB,Baseline,Equality,9,,0.0078303000191226,0.0040860000299289,,,106,1459,146,187,0.7987911071417181,0.4035712620196143,0.2883495349756991,12,158,20,21,0.7657473612529793,0.3754833385203861,0.254459038455615,
kc1,GNB,Baseline,Equality,10,,0.0122016000095754,0.0025515999877825,,,107,1457,148,187,0.7972799711785026,0.4024170749291974,0.2882927715598717,13,162,16,19,0.7788799157303371,0.388011690319842,0.3295577354464486,
kc1,GNB,Baseline,Equity,1,,0.0829410000005737,0.0102462000213563,2.056464195251465,0.1718416213989257,232,997,607,62,0.7826893226118378,0.3689759470218721,0.2991972137688384,27,129,50,5,0.803945530726257,0.324383025992092,0.4205391554491824,
kc1,GNB,Baseline,Equity,2,,0.088371800025925,0.0138732999330386,,,241,999,605,53,0.7833583558111524,0.3487890740106785,0.3221373372778091,24,111,68,8,0.7734811452513967,0.3432897379630653,0.2677114596045811,
kc1,GNB,Baseline,Equity,3,,0.0714577999897301,0.0107399000553414,,,243,999,605,51,0.7879111744448403,0.3519142879928515,0.3270142160966729,23,111,68,9,0.7398743016759777,0.3617632259494246,0.245421559559,
kc1,GNB,Baseline,Equity,4,,0.0828515000175684,0.0141314999200403,,,239,991,614,54,0.7788661712013439,0.3528001435665233,0.31460970476857,28,116,62,5,0.8236295539666325,0.4387615710022374,0.3673422489258349,
kc1,GNB,Baseline,Equity,5,,0.0847705999622121,0.0139131000032648,,,239,1000,605,54,0.7792680722571316,0.3463816819393378,0.3190064916641646,29,109,69,4,0.7946884576098059,0.3315956255574041,0.357706298111047,
kc1,GNB,Baseline,Equity,6,,0.0873651999281719,0.0144856999395415,,,241,993,612,52,0.7818910614228148,0.3551122728088903,0.3204727360916959,25,114,64,8,0.7921348314606742,0.3980026494944845,0.292753851275809,
kc1,GNB,Baseline,Equity,7,,0.0923333000391721,0.0127667000051587,,,236,1000,605,57,0.7789246488681913,0.3460368135223081,0.3116739885615636,28,110,68,5,0.8167347633639768,0.4954370646233101,0.3402507216838943,
kc1,GNB,Baseline,Equity,8,,0.0519736999412998,0.0085668999236077,,,243,990,615,50,0.7851796327602522,0.3579511327197652,0.3239032014395501,27,98,80,6,0.770514130064692,0.3466309132224124,0.2679062976827949,
kc1,GNB,Baseline,Equity,9,,0.0574499000795185,0.0090077000204473,,,240,1008,597,53,0.783634759125174,0.3498075101362797,0.3253899637491687,28,101,77,5,0.7725570309839973,0.4019273113811206,0.3021404792277221,
kc1,GNB,Baseline,Equity,10,,0.0892723998986184,0.0105669000186026,,,244,991,614,50,0.7849026214847309,0.3424351203825377,0.3251743420259836,25,109,69,7,0.7403441011235956,0.329826680827101,0.2844839022544598,
kc1,GNB,Standard Scaling,Equality,1,,0.0238789999857544,0.0042942999862134,2.0564746856689453,0.004425048828125,112,1459,145,182,0.7901292686650719,0.4085574945916636,0.3072422413293544,7,159,20,25,0.800977653631285,0.3289163053840819,0.1149127389724647,
kc1,GNB,Standard Scaling,Equality,2,,0.0102083999663591,0.0044388000387698,,,111,1447,157,183,0.7944138378543437,0.3957724104551788,0.2905772773817961,15,165,14,17,0.7914629888268158,0.4434832976152846,0.4068457527025323,
kc1,GNB,Standard Scaling,Equality,3,,0.0122664000373333,0.00446369999554,,,110,1458,146,184,0.8000152679525676,0.4062467970083502,0.2998823507826236,10,159,20,22,0.7142108938547486,0.3311219758265131,0.2062036844088132,
