Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kc2,GaussianNB,Baseline,1,,0.0183168000003206,0.0034746000001177,0.5956315994262695,0.003702163696289,37.0,358.0,15.0,59.0,0.8369498436103664,0.6330959440744758,0.4436023873053914,4.0,37.0,5.0,7.0,0.8311688311688311,0.5706507952831483,0.2641860385714604,
kc2,GaussianNB,Baseline,2,,0.0075362000006862,0.0026574000003165,,,37.0,357.0,16.0,59.0,0.8374944146559428,0.6095335778915936,0.4365087160895796,4.0,39.0,3.0,7.0,0.8225108225108225,0.6868220750356058,0.3500135398803026,
kc2,GaussianNB,Baseline,3,,0.0099234999997861,0.0037953999999444,,,36.0,356.0,17.0,61.0,0.8337110638180261,0.61373230546156,0.416545240431478,5.0,40.0,2.0,5.0,0.85,0.6646203720002347,0.5223645292668042,
kc2,GaussianNB,Baseline,4,,0.0065711000006558,0.0041315000016766,,,36.0,355.0,18.0,61.0,0.8268289986456978,0.5979975346258026,0.4097635971532858,5.0,41.0,1.0,5.0,0.9285714285714284,0.7992640692640692,0.5874228140418678,
kc2,GaussianNB,Baseline,5,,0.0083473000013327,0.0036000999989482,,,36.0,355.0,18.0,61.0,0.8182886045161825,0.60786118017667,0.4097635971532858,5.0,41.0,1.0,5.0,0.938095238095238,0.7178860028860028,0.5874228140418678,
kc2,GaussianNB,Baseline,6,,0.0068840000003547,0.0039245000007213,,,39.0,357.0,17.0,57.0,0.8558934937611408,0.6314130845808261,0.4489916775304686,2.0,39.0,2.0,9.0,0.6807095343680709,0.4929715271178686,0.2038977179351388,
kc2,GaussianNB,Baseline,7,,0.0059086000001116,0.0039628999984415,,,37.0,356.0,18.0,59.0,0.8233344474153297,0.6086335531430002,0.4230262645935934,4.0,40.0,1.0,7.0,0.917960088691796,0.7475742617453849,0.4699690180793065,
kc2,GaussianNB,Baseline,8,,0.008850700000039,0.0024472999994031,,,34.0,356.0,18.0,62.0,0.8190034536541889,0.5989881607982195,0.3933303154600712,7.0,40.0,1.0,4.0,0.925720620842572,0.7688213301849665,0.6927068453785828,
kc2,GaussianNB,Baseline,9,,0.0090944999992643,0.0024790999996184,,,38.0,357.0,17.0,58.0,0.8352272727272727,0.6339857503596333,0.4394442946810408,3.0,39.0,2.0,8.0,0.7827050997782705,0.5101487615489867,0.3102409857909147,
kc2,GaussianNB,Baseline,10,,0.0067961999993713,0.0024510000002919,,,43.0,352.0,22.0,53.0,0.8612410873440285,0.6471806472979981,0.4544025904890421,4.0,39.0,2.0,7.0,0.6674057649667405,0.4370588951480323,0.4024811381306976,
