Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kr-vs-kp,GNB,Baseline,Equality,1,,0.0820123000303283,0.0105116000631824,5.624083518981934,0.0082979202270507,426,1460,42,948,0.9235863584119768,0.901892776851079,0.3817252824675343,35,165,2,118,0.9219208641540448,0.9073676335255408,0.3386361628086781,
kr-vs-kp,GNB,Baseline,Equality,2,,0.0442845999496057,0.0111463000066578,,,460,1464,38,914,0.9200042834687182,0.8997591355538076,0.4085577250892669,46,162,5,107,0.918829008649368,0.8886498514993955,0.3694473847762954,
kr-vs-kp,GNB,Baseline,Equality,3,,0.0505159000167623,0.0107414999511092,,,427,1473,29,947,0.919931842453633,0.8955068536967794,0.3985868538742951,44,164,3,109,0.924699620367109,0.90809950966235,0.3804713691833466,
kr-vs-kp,GNB,Baseline,Equality,4,,0.0582460999721661,0.0106350999558344,,,421,1462,40,953,0.920598348247945,0.8975054199028096,0.3809130726736532,52,163,4,101,0.9337012250009784,0.9203391107319988,0.4153184507492301,
kr-vs-kp,GNB,Baseline,Equality,5,,0.0580519000068306,0.0103905000723898,,,444,1461,41,930,0.9184534642795537,0.8924894425797864,0.394670886135635,60,163,4,93,0.9266173535282376,0.913359259386734,0.4598152683572412,
kr-vs-kp,GNB,Baseline,Equality,6,,0.0534391000401228,0.0069753000279888,,,412,1464,38,962,0.9170039171449228,0.8939398279722945,0.377490285812621,54,161,6,99,0.9230167116746898,0.9024368457379374,0.4057128551760744,
kr-vs-kp,GNB,Baseline,Equality,7,,0.0519886000547558,0.0099533000029623,,,433,1467,35,942,0.9215080498728968,0.8977180073058523,0.3946777798996075,42,162,5,110,0.8912306965017335,0.8468789596615434,0.3471718201623368,
kr-vs-kp,GNB,Baseline,Equality,8,,0.0479877999750897,0.0105077000334858,,,417,1463,39,958,0.921688415446072,0.899493659765157,0.3792869292214749,41,162,5,111,0.8829577686731799,0.849696765141855,0.3409282842362188,
kr-vs-kp,GNB,Baseline,Equality,9,,0.0557121000019833,0.0109986999304965,,,430,1465,37,945,0.9177351410240892,0.8986746427634534,0.3902588316226532,42,162,5,110,0.914000945477466,0.8909474150866419,0.3471718201623368,
kr-vs-kp,GNB,Baseline,Equality,10,,0.0593184999888762,0.0064286000560969,,,416,1467,36,958,0.9218668437022122,0.8988309756804057,0.3827028063604434,56,161,5,97,0.928537680132294,0.9050234260844116,0.4267027207651842,
kr-vs-kp,GNB,Baseline,Equity,1,,0.2471225000917911,0.0208091000095009,5.620696067810059,0.2908868789672851,1362,794,708,12,0.9562296365641542,0.9535114459254512,0.5782174204742625,152,95,72,1,0.943994364212751,0.9381654489566442,0.6129608581481226,
kr-vs-kp,GNB,Baseline,Equity,2,,0.2838328999932855,0.028549600043334,,,1365,782,720,9,0.9626262508794678,0.9621363916543364,0.575076092348429,153,86,81,0,0.9707643536456498,0.9709440581171233,0.5802682078130923,
kr-vs-kp,GNB,Baseline,Equity,3,,0.3183989999815821,0.0287574999965727,,,1368,688,814,6,0.9382162938498304,0.9329175065065451,0.5296385431924729,152,65,102,1,0.9306876443192048,0.9238366499625162,0.4724515257632108,
kr-vs-kp,GNB,Baseline,Equity,4,,0.2876286999089643,0.0258757000556215,,,1373,674,828,1,0.9601647100324264,0.9612362001829085,0.5280212927663354,153,80,87,0,0.9745998199679076,0.9760485962070804,0.552620323148621,
kr-vs-kp,GNB,Baseline,Equity,5,,0.2889446000335738,0.0209271000931039,,,1372,677,825,2,0.943756698976813,0.9405573254422972,0.5284359607987492,153,65,102,0,0.943289890806622,0.9393359866524796,0.4832524538289863,
kr-vs-kp,GNB,Baseline,Equity,6,,0.3050276000285521,0.0263435000088065,,,1363,707,795,11,0.9449050950019092,0.9431348526760934,0.5339982073889413,150,70,97,3,0.9447771124417832,0.9487073202460532,0.4756301166787617,
kr-vs-kp,GNB,Baseline,Equity,7,,0.3095012999838218,0.0201768999686464,,,1371,682,820,4,0.9499968526812732,0.9462723840282228,0.5288422088517515,152,73,94,0,0.9415379766782224,0.9373618420928356,0.519705645942599,
kr-vs-kp,GNB,Baseline,Equity,8,,0.2798831999534741,0.0216656000120565,,,1375,664,838,0,0.922516402372594,0.9153605816904749,0.5240946367942213,152,75,92,0,0.9148282382603214,0.9067116863273448,0.52893131140828,
kr-vs-kp,GNB,Baseline,Equity,9,,0.3220511999679729,0.0189823999535292,,,1374,705,797,1,0.9518547391356978,0.9523788683195517,0.5440011241947884,152,87,80,0,0.9585171761739678,0.9580416604647548,0.5842237287798752,
kr-vs-kp,GNB,Baseline,Equity,10,,0.2663871000986546,0.0245720000239089,,,1374,688,815,0,0.9561047725025446,0.9543838309326752,0.5360252084751103,152,78,88,1,0.9398377825025592,0.934262684515767,0.5362702857785585,
