Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
madelon,GNB,Baseline,Equality,1,,0.1988623000215739,0.0181006999919191,57.09075927734375,0.0418815612792968,849,808,362,321,0.794821389436774,0.7868481261300884,0.4164951214001599,72,73,57,58,0.608224852071006,0.5822432761805333,0.1153880292821377,
madelon,GNB,Baseline,Equality,2,,0.2466433000518009,0.0426515999715775,,,851,812,358,319,0.7959230038717218,0.7928279699899844,0.4216018096933071,75,74,56,55,0.632603550295858,0.5946663478524219,0.1461581704240411,
madelon,GNB,Baseline,Equality,3,,0.3028507999842986,0.0311704999767243,,,858,793,377,312,0.7893293885601578,0.7812304738566185,0.4117470142152464,76,73,57,54,0.6528402366863905,0.6269092344893907,0.1461927784089988,
madelon,GNB,Baseline,Equality,4,,0.3282050000270828,0.0437223999761045,,,862,798,372,308,0.7925056614800204,0.7832796895312728,0.4194313967651101,70,72,58,60,0.5953254437869823,0.5891992683153613,0.0923186182344995,
madelon,GNB,Baseline,Equality,5,,0.2876363999675959,0.0361031999345868,,,868,794,376,302,0.7889261450799913,0.77889854703501,0.4213564394791244,76,77,53,54,0.651242603550296,0.6402339255447986,0.1769283115659445,
madelon,GNB,Baseline,Equality,6,,0.3471301000099629,0.0212182999821379,,,855,790,380,315,0.7878837022426766,0.7800479121106205,0.406610876823788,79,77,53,51,0.647396449704142,0.6183824175350348,0.2000236728414157,
madelon,GNB,Baseline,Equality,7,,0.3173220999306068,0.0379499000264331,,,842,805,365,328,0.7902556797428593,0.7813894535565526,0.407896321771888,85,80,50,45,0.6920710059171598,0.6538174809689354,0.2694301256218253,
madelon,GNB,Baseline,Equality,8,,0.3247792000183835,0.0331462000031024,,,857,787,383,313,0.7897881510702023,0.7831823617509857,0.4058552390610644,76,79,51,54,0.6320118343195266,0.6124567270855155,0.1923589189592089,
madelon,GNB,Baseline,Equality,9,,0.3415597000857815,0.0274997999658808,,,857,790,380,313,0.7897275184454673,0.7825317440200097,0.4083624239287034,82,77,53,48,0.6540236686390534,0.6395399779188747,0.2232421040866552,
madelon,GNB,Baseline,Equality,10,,0.3470832000020891,0.0307835999410599,,,860,799,371,310,0.7894470012418731,0.7777408940677912,0.4185179212902966,82,69,61,48,0.6250295857988165,0.6282619752183082,0.1623522624649496,
madelon,GNB,Baseline,Equity,1,,1.9789905999787152,0.1554774000542238,57.09216499328613,3.864545822143554,868,817,353,302,0.8046044269121193,0.7921023010407255,0.4405897139016883,75,76,54,55,0.628698224852071,0.5888647636565117,0.1615432409949928,
madelon,GNB,Baseline,Equity,2,,2.6149114000145346,0.2273335999343544,,,858,830,340,312,0.8065695083643801,0.7938481475537464,0.4428618794070244,78,68,62,52,0.6078106508875739,0.5583549216814716,0.1234426799696735,
madelon,GNB,Baseline,Equity,3,,2.3311814001062885,0.1834820000221952,,,861,801,369,309,0.8003645262619621,0.7879764342593931,0.4210668560897393,81,76,54,49,0.6566272189349113,0.6301640244133501,0.2078460969082652,
madelon,GNB,Baseline,Equity,4,,2.439133300096728,0.1763412000145763,,,877,816,354,293,0.802935203448024,0.7879074780779363,0.4476173268605831,70,78,52,60,0.5982248520710058,0.5921198816474665,0.1387244611544569,
madelon,GNB,Baseline,Equity,5,,2.097237900015898,0.254889199975878,,,868,814,356,302,0.7994060924830154,0.789330972086922,0.4380736736950737,76,74,56,54,0.6385798816568048,0.6058304776418537,0.1538643637241659,
madelon,GNB,Baseline,Equity,6,,2.580613399972208,0.1891681000124663,,,874,805,365,296,0.7992037402293813,0.7861895026372963,0.4358012480659737,79,75,55,51,0.6450295857988165,0.6270151278494813,0.184702838615844,
madelon,GNB,Baseline,Equity,7,,2.253771200077608,0.1774720000103116,,,866,821,349,304,0.802573599240266,0.7873481049177671,0.4422075395126467,83,75,55,47,0.6701775147928994,0.6424994034654101,0.2157936062402664,
madelon,GNB,Baseline,Equity,8,,2.585676599992439,0.2252433999674394,,,875,795,375,295,0.8026802542187157,0.7929155611158901,0.4283529368781193,80,81,49,50,0.6286390532544379,0.6003232493464501,0.2384685938497514,
madelon,GNB,Baseline,Equity,9,,2.2575228000059724,0.2531285000732168,,,877,821,349,293,0.8028139381985536,0.7888992509492606,0.4517998600155759,79,77,53,51,0.6438461538461538,0.6338185760606423,0.2000236728414157,
madelon,GNB,Baseline,Equity,10,,2.476837900001556,0.2106408999534323,,,870,804,366,300,0.8007392797136387,0.7872746821069478,0.4314562498883869,80,72,58,50,0.621301775147929,0.6096483707685377,0.1695521191887807,
madelon,GNB,Standard Scaling,Equality,1,,0.2149045000551268,0.0194804999046027,57.09204864501953,0.0536403656005859,849,808,362,321,0.794820658923223,0.7868475732505547,0.4164951214001599,72,73,57,58,0.608224852071006,0.5822432761805333,0.1153880292821377,
madelon,GNB,Standard Scaling,Equality,2,,0.3192021999275312,0.0496998999733477,,,851,812,358,319,0.7959230038717218,0.7928279699899844,0.4216018096933071,75,74,56,55,0.632603550295858,0.5946663478524219,0.1461581704240411,
madelon,GNB,Standard Scaling,Equality,3,,0.3503819999750703,0.0438625999959185,,,858,793,377,312,0.7893293885601578,0.7812304738566185,0.4117470142152464,76,73,57,54,0.6528402366863905,0.6269092344893907,0.1461927784089988,
madelon,GNB,Standard Scaling,Equality,4,,0.3872689999407157,0.0228258999995887,,,862,798,372,308,0.7925056614800203,0.7832796646871366,0.4194313967651101,70,72,58,60,0.5953846153846154,0.5892654775365002,0.0923186182344995,
madelon,GNB,Standard Scaling,Equality,5,,0.4064670999068767,0.0212395000271499,,,868,794,376,302,0.7889254145664403,0.7788983055888394,0.4213564394791244,76,77,53,54,0.651242603550296,0.6402339255447986,0.1769283115659445,
madelon,GNB,Standard Scaling,Equality,6,,0.342676299973391,0.0396120999939739,,,855,790,380,315,0.7878829717291256,0.7800476261278727,0.406610876823788,79,77,53,51,0.647396449704142,0.6183824175350348,0.2000236728414157,
madelon,GNB,Standard Scaling,Equality,7,,0.3630078000715002,0.0266861000563949,,,842,805,365,328,0.7902549492293082,0.7813890551027258,0.407896321771888,85,80,50,45,0.6920710059171598,0.6538174809689354,0.2694301256218253,
madelon,GNB,Standard Scaling,Equality,8,,0.3692221000092104,0.0192902999697253,,,857,787,383,313,0.7897881510702023,0.7831823617509857,0.4058552390610644,76,79,51,54,0.6320118343195266,0.6124567270855155,0.1923589189592089,
madelon,GNB,Standard Scaling,Equality,9,,0.3660637999419123,0.0249787999782711,,,857,790,380,313,0.7897275184454673,0.7825317440200097,0.4083624239287034,82,77,53,48,0.6540236686390534,0.6395399779188747,0.2232421040866552,
madelon,GNB,Standard Scaling,Equality,10,,0.3889557999791577,0.0162841000128537,,,860,799,371,310,0.7894470012418731,0.7777408940677912,0.4185179212902966,82,69,61,48,0.6250295857988165,0.6282619752183082,0.1623522624649496,
madelon,GNB,Standard Scaling,Equity,1,,1.940128599992022,0.1582781999604776,57.09347534179688,3.8762807846069336,868,817,353,302,0.8046044269121193,0.7921023010407255,0.4405897139016883,75,76,54,55,0.628698224852071,0.5888647636565117,0.1615432409949928,
madelon,GNB,Standard Scaling,Equity,2,,2.993927799980156,0.1545551000162959,,,858,830,340,312,0.8065695083643801,0.7938481475537464,0.4428618794070244,78,68,62,52,0.6078106508875739,0.5583549216814716,0.1234426799696735,
madelon,GNB,Standard Scaling,Equity,3,,2.613648600061424,0.2003573001129552,,,861,801,369,309,0.8003645262619621,0.7879764342593931,0.4210668560897393,81,76,54,49,0.6566272189349113,0.6301640244133501,0.2078460969082652,
madelon,GNB,Standard Scaling,Equity,4,,2.257006200030446,0.2516541000222787,,,877,816,354,293,0.802935203448024,0.7879074780779363,0.4476173268605831,70,78,52,60,0.5982248520710058,0.5921198816474665,0.1387244611544569,
madelon,GNB,Standard Scaling,Equity,5,,2.269457199960016,0.266156299971044,,,868,814,356,302,0.7994060924830154,0.789330972086922,0.4380736736950737,76,74,56,54,0.6385798816568048,0.6058304776418537,0.1538643637241659,
madelon,GNB,Standard Scaling,Equity,6,,2.328194999950938,0.2625524000031873,,,874,805,365,296,0.7992037402293813,0.7861895026372963,0.4358012480659737,79,75,55,51,0.6450295857988165,0.6270151278494813,0.184702838615844,
madelon,GNB,Standard Scaling,Equity,7,,2.073248800006695,0.250212800106965,,,866,821,349,304,0.802573599240266,0.7873481049177671,0.4422075395126467,83,75,55,47,0.6701775147928994,0.6424994034654101,0.2157936062402664,
madelon,GNB,Standard Scaling,Equity,8,,2.441031499998644,0.1757444000104442,,,875,795,375,295,0.8026802542187157,0.7929155611158901,0.4283529368781193,80,81,49,50,0.6286390532544379,0.6003232493464501,0.2384685938497514,
madelon,GNB,Standard Scaling,Equity,9,,2.681393100065179,0.1598859000951051,,,877,821,349,293,0.8028139381985536,0.7888992509492606,0.4517998600155759,79,77,53,51,0.6438461538461538,0.6338185760606423,0.2000236728414157,
madelon,GNB,Standard Scaling,Equity,10,,2.3115728000411764,0.2271462000207975,,,870,804,366,300,0.8007392797136387,0.7872746821069478,0.4314562498883869,80,72,58,50,0.621301775147929,0.6096483707685377,0.1695521191887807,
madelon,GNB,MinMax Scaling,Equality,1,,0.2124833998968824,0.0194339000154286,57.09205627441406,0.0613698959350585,849,808,362,321,0.794820658923223,0.7868475732505547,0.4164951214001599,72,73,57,58,0.608224852071006,0.5822432761805333,0.1153880292821377,
madelon,GNB,MinMax Scaling,Equality,2,,0.2604419999988749,0.0248127999948337,,,851,812,358,319,0.7959230038717218,0.7928279699899844,0.4216018096933071,75,74,56,55,0.632603550295858,0.5946663478524219,0.1461581704240411,
madelon,GNB,MinMax Scaling,Equality,3,,0.3288942000363022,0.0289151000324636,,,858,793,377,312,0.7893293885601578,0.7812304738566185,0.4117470142152464,76,73,57,54,0.6528402366863905,0.6269092344893907,0.1461927784089988,
madelon,GNB,MinMax Scaling,Equality,4,,0.2953036000253632,0.0318326000124216,,,862,798,372,308,0.7925056614800203,0.7832796646871366,0.4194313967651101,70,72,58,60,0.5953846153846154,0.5892654775365002,0.0923186182344995,
madelon,GNB,MinMax Scaling,Equality,5,,0.3508393999654799,0.0349565999349579,,,868,794,376,302,0.7889254145664403,0.7788983055888394,0.4213564394791244,76,77,53,54,0.651242603550296,0.6402339255447986,0.1769283115659445,
madelon,GNB,MinMax Scaling,Equality,6,,0.3676910999929532,0.0245884000323712,,,855,790,380,315,0.7878829717291256,0.7800476261278727,0.406610876823788,79,77,53,51,0.647396449704142,0.6183824175350348,0.2000236728414157,
madelon,GNB,MinMax Scaling,Equality,7,,0.2775171000976115,0.028578900033608,,,842,805,365,328,0.7902549492293082,0.7813890551027258,0.407896321771888,85,80,50,45,0.6920710059171598,0.6538174809689354,0.2694301256218253,
madelon,GNB,MinMax Scaling,Equality,8,,0.3331644999561831,0.032687300001271,,,857,787,383,313,0.7897881510702023,0.7831823617509857,0.4058552390610644,76,79,51,54,0.6320118343195266,0.6124567270855155,0.1923589189592089,
madelon,GNB,MinMax Scaling,Equality,9,,0.3737643000204116,0.025139300036244,,,857,790,380,313,0.7897275184454673,0.7825317440200097,0.4083624239287034,82,77,53,48,0.6540236686390534,0.6395399779188747,0.2232421040866552,
madelon,GNB,MinMax Scaling,Equality,10,,0.3759837999241426,0.021037200000137,,,860,799,371,310,0.7894470012418731,0.7777408940677912,0.4185179212902966,82,69,61,48,0.6250295857988165,0.6282619752183082,0.1623522624649496,
madelon,GNB,MinMax Scaling,Equity,1,,1.948607200058177,0.1570325000211596,57.0934944152832,3.8840103149414062,868,817,353,302,0.8046044269121193,0.7921023010407255,0.4405897139016883,75,76,54,55,0.628698224852071,0.5888647636565117,0.1615432409949928,
madelon,GNB,MinMax Scaling,Equity,2,,2.822255600010976,0.2170275999233126,,,858,830,340,312,0.8065695083643801,0.7938481475537464,0.4428618794070244,78,68,62,52,0.6078106508875739,0.5583549216814716,0.1234426799696735,
madelon,GNB,MinMax Scaling,Equity,3,,2.228314600070007,0.2322995000286027,,,861,801,369,309,0.8003645262619621,0.7879764342593931,0.4210668560897393,81,76,54,49,0.6566272189349113,0.6301640244133501,0.2078460969082652,
madelon,GNB,MinMax Scaling,Equity,4,,2.476339300046675,0.2298711999319493,,,877,816,354,293,0.802935203448024,0.7879074780779363,0.4476173268605831,70,78,52,60,0.5982248520710058,0.5921198816474665,0.1387244611544569,
madelon,GNB,MinMax Scaling,Equity,5,,2.40870949998498,0.2038152000168338,,,868,814,356,302,0.7994060924830154,0.789330972086922,0.4380736736950737,76,74,56,54,0.6385798816568048,0.6058304776418537,0.1538643637241659,
madelon,GNB,MinMax Scaling,Equity,6,,2.652796900016256,0.2540099000325426,,,874,805,365,296,0.7992037402293813,0.7861895026372963,0.4358012480659737,79,75,55,51,0.6450295857988165,0.6270151278494813,0.184702838615844,
madelon,GNB,MinMax Scaling,Equity,7,,2.603656099992804,0.1823197000194341,,,866,821,349,304,0.802573599240266,0.7873481049177671,0.4422075395126467,83,75,55,47,0.6701775147928994,0.6424994034654101,0.2157936062402664,
madelon,GNB,MinMax Scaling,Equity,8,,2.121121000032872,0.2194722000276669,,,875,795,375,295,0.8026802542187157,0.7929155611158901,0.4283529368781193,80,81,49,50,0.6286390532544379,0.6003232493464501,0.2384685938497514,
madelon,GNB,MinMax Scaling,Equity,9,,2.247188300010748,0.2506735000060871,,,877,821,349,293,0.8028139381985536,0.7888992509492606,0.4517998600155759,79,77,53,51,0.6438461538461538,0.6338185760606423,0.2000236728414157,
madelon,GNB,MinMax Scaling,Equity,10,,2.221607799991034,0.2588208999950439,,,870,804,366,300,0.8007392797136387,0.7872746821069478,0.4314562498883869,80,72,58,50,0.621301775147929,0.6096483707685377,0.1695521191887807,
madelon,GNB,IQR Capping,Equality,1,,1.7249757000245154,0.3383621999528259,57.09197044372559,0.0575151443481445,844,804,366,326,0.7895237051647308,0.7813147871214152,0.408785977352145,71,73,57,59,0.6079289940828403,0.5782130725489651,0.1077050546069161,
madelon,GNB,IQR Capping,Equality,2,,1.049685800098814,0.5323064000112936,,,842,803,367,328,0.7898546278033458,0.7873225688907624,0.4062086401710363,77,75,55,53,0.6361538461538462,0.5955282150341874,0.1692508000965825,
madelon,GNB,IQR Capping,Equality,3,,1.1202017000177875,0.4347659999039024,,,845,785,385,325,0.7827591496822266,0.7748021181027741,0.3936803939050409,77,74,56,53,0.6544378698224852,0.6277834836899802,0.1615814919257355,
madelon,GNB,IQR Capping,Equality,4,,1.048232600092888,0.4477375999558717,,,856,792,378,314,0.78673314339981,0.7768226987315708,0.4091596074565768,70,73,57,60,0.5932544378698226,0.5858764373711356,0.1000266378587886,
madelon,GNB,IQR Capping,Equality,5,,1.11026980006136,0.4981270999414846,,,857,790,380,313,0.7824881291547957,0.7728225562413917,0.4083624239287034,74,78,52,56,0.6529585798816568,0.6386534833008876,0.169310935397857,
madelon,GNB,IQR Capping,Equality,6,,1.1683315999107435,0.5418656000401825,,,848,783,387,322,0.7818620790415662,0.7731220334674539,0.3946265562437184,79,75,55,51,0.6472781065088757,0.6132913294186464,0.184702838615844,
