Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
nomao,GNB,Baseline,Equality,1,,0.6505411999532953,0.050627899938263,148.15839195251465,0.0140867233276367,3863,20643,1515,4997,0.8903921472445887,0.695097883486926,0.4386578851382957,456,2293,170,528,0.8961004987638184,0.7035492819178444,0.4620302078593387,
nomao,GNB,Baseline,Equality,2,,0.8300045999931172,0.0953580000204965,,,3934,20615,1544,4925,0.8911342152100342,0.6957916584432708,0.44347602395973,429,2287,175,556,0.8841282932039075,0.6836926528915661,0.4331080545819372,
nomao,GNB,Baseline,Equality,3,,0.9610927000176162,0.0667501999996602,,,3899,20622,1537,4960,0.8899784439727979,0.6941101895289332,0.4405016544385967,423,2284,178,562,0.888988565278528,0.6884561170064545,0.4252547853904985,
nomao,GNB,Baseline,Equality,4,,1.0044776999857277,0.0907039999729022,,,3885,20641,1518,4974,0.8898772196536804,0.6942603901261375,0.4406992032133695,424,2287,175,561,0.8907907812970347,0.6861422759597944,0.4284778009770762,
nomao,GNB,Baseline,Equality,5,,0.9919416999910028,0.0680234000319615,,,3893,20651,1508,4966,0.89011688813428,0.6948070269038591,0.4423767823828727,421,2264,198,564,0.877799816087783,0.6603295883766072,0.4084063657912894,
nomao,GNB,Baseline,Equality,6,,1.09169919998385,0.0748468999518081,,,3901,20613,1546,4959,0.8905154538250486,0.6941362486731143,0.4398943419677125,430,2299,163,554,0.884992124190129,0.6907842437189371,0.443696622272498,
nomao,GNB,Baseline,Equality,7,,1.1822223999770358,0.0475376999238505,,,3875,20615,1544,4985,0.8898343334755778,0.6943431761267956,0.437404446870844,441,2309,153,543,0.8942084315745675,0.7030492201502929,0.4616260384938088,
nomao,GNB,Baseline,Equality,8,,1.1710737999528646,0.0605943000409752,,,3885,20599,1560,4975,0.8891705386587823,0.6914886080701192,0.4370634561510857,453,2309,153,531,0.8970640318202532,0.7158068606985185,0.4724659652518719,
nomao,GNB,Baseline,Equality,9,,1.1833684999728575,0.0353181000100448,,,3882,20646,1513,4978,0.8907919339776744,0.6952905654806287,0.4407796566762114,410,2285,177,574,0.8881073619834492,0.6878897099577013,0.4142378914053696,
nomao,GNB,Baseline,Equality,10,,1.0840048000682143,0.0360494999913498,,,3894,20625,1534,4966,0.8897280118030605,0.6934821477557954,0.440204487902008,432,2301,161,552,0.8952467753759585,0.712118375241224,0.4471009037572021,
nomao,GNB,Baseline,Equity,1,,1.0676321999635547,0.1013066000305116,148.15510368347168,0.9222860336303712,7755,18936,3222,1105,0.9051616270344094,0.7417026886148044,0.6894888957501669,874,2093,370,110,0.913101503883492,0.759471090506832,0.6940035018945125,
nomao,GNB,Baseline,Equity,2,,1.6082218999508768,0.1803379000630229,,,7744,18802,3357,1115,0.9047116790241484,0.7411964360703486,0.6809236043930995,869,2055,407,116,0.8972126577789507,0.718906525366523,0.6707768106974823,
nomao,GNB,Baseline,Equity,3,,1.46229110006243,0.1941650999942794,,,7773,18899,3260,1086,0.9055281391712486,0.7421637667619259,0.6890748899092988,868,2082,380,117,0.9042355478398564,0.7293443311594878,0.6832825028557772,
nomao,GNB,Baseline,Equity,4,,1.5606193999992684,0.1359046000288799,,,7786,18858,3301,1073,0.9043585961084004,0.7390655134034658,0.6879644847182839,871,2094,368,114,0.9077849299195488,0.7574585968045059,0.6918172115193778,
nomao,GNB,Baseline,Equity,5,,1.6536317999707535,0.1214049999834969,,,7746,18948,3211,1113,0.905246696747268,0.7429405482049187,0.6893590431826329,841,2098,364,144,0.8991662096351858,0.7201172012221795,0.6688531866840951,
nomao,GNB,Baseline,Equity,6,,1.693155899993144,0.1016969999764114,,,7818,18783,3376,1042,0.9044365307901432,0.7396120260108185,0.6866555724100929,867,2097,365,117,0.9017302840575117,0.7389868440463486,0.6906515839021675,
nomao,GNB,Baseline,Equity,7,,1.5884986000601202,0.1437443000031635,,,7797,18868,3291,1063,0.9057316493754302,0.7433485425080094,0.6894743431812874,855,2108,354,129,0.9032427037308554,0.7400058833899306,0.6862833420063741,
nomao,GNB,Baseline,Equity,8,,1.7998423000099135,0.164718999993056,,,7802,18718,3441,1058,0.9043223371168172,0.7383684429356413,0.6815525623304203,857,2139,323,127,0.9137450218937608,0.7775449440676068,0.704125697707324,
nomao,GNB,Baseline,Equity,9,,1.85175559995696,0.0991289000958204,,,7799,18831,3328,1061,0.9064017830502044,0.7433382090976661,0.687579363681977,882,2096,366,102,0.9094839115531692,0.7411831664680265,0.7026471152160108,
nomao,GNB,Baseline,Equity,10,,1.6515086999861524,0.1281527000246569,,,7763,18947,3212,1097,0.9060811448186344,0.7431193305162226,0.6908012101865894,857,2089,373,127,0.9008516854563348,0.7353547282899096,0.6782564945799425,
nomao,GNB,Standard Scaling,Equality,1,,0.6257701999275014,0.0459858000976964,148.15599060058594,0.0170583724975585,3862,20625,1533,4998,0.8892508644565186,0.6914300424390853,0.4370088942407514,457,2289,174,527,0.8951944056590384,0.7016154294211148,0.4598945832815589,
nomao,GNB,Standard Scaling,Equality,2,,0.9880552000831812,0.1083906999556347,,,3930,20592,1567,4929,0.8900540323709271,0.6929106860090146,0.4411117761888607,429,2285,177,556,0.8832580090471615,0.6805393914369161,0.4315808124011956,
nomao,GNB,Standard Scaling,Equality,3,,1.1007831000024453,0.0844023000681772,,,3893,20594,1565,4966,0.8889208482521531,0.6907202702841171,0.4374997983975216,422,2280,182,563,0.8876760258466766,0.6846536024599357,0.4212838949379728,
nomao,GNB,Standard Scaling,Equality,4,,0.969027299899608,0.0860576999839395,,,3887,20616,1543,4972,0.8888337268733747,0.6911165344212428,0.4387613593647455,422,2285,177,563,0.8896772051940769,0.6826381340364363,0.4250883782605637,
nomao,GNB,Standard Scaling,Equality,5,,1.247169400099665,0.0892105000093579,,,3887,20633,1526,4972,0.8890301492235759,0.6912404812254799,0.4402169261345506,420,2261,201,565,0.8772130289022586,0.6595501272523782,0.4052666160751631,
nomao,GNB,Standard Scaling,Equality,6,,1.1993839000351727,0.0565048999851569,,,3894,20584,1575,4966,0.8894001993798768,0.6903899847558663,0.4367098612097889,430,2295,167,554,0.8836377986038187,0.6868885870894775,0.4405790141227669,
nomao,GNB,Standard Scaling,Equality,7,,1.2540383000159636,0.0591864000307396,,,3872,20593,1566,4988,0.8887517945666029,0.6908530784975597,0.4352200496114247,441,2305,157,543,0.8931440827405838,0.7008601198972185,0.4584647959401766,
nomao,GNB,Standard Scaling,Equality,8,,1.357858199975453,0.0429883999750018,,,3876,20571,1588,4984,0.8880632937388586,0.6877373680704453,0.433762228470201,450,2305,157,534,0.8961466320593345,0.713688625766443,0.4666185486221514,
nomao,GNB,Standard Scaling,Equality,9,,1.331890199915506,0.0385189999360591,,,3881,20625,1534,4979,0.8897513884110905,0.6921657723979928,0.4388746607832598,407,2284,178,577,0.887219475870632,0.6854899673580882,0.4106436416187961,
nomao,GNB,Standard Scaling,Equality,10,,1.204987999983132,0.0358835000079125,,,3888,20604,1555,4972,0.8886524433457883,0.6902721281191999,0.4377967278519075,432,2301,161,552,0.8940707700131427,0.7073697054097982,0.4471009037572021,
nomao,GNB,Standard Scaling,Equity,1,,1.098779899999499,0.1069836999522522,148.15639114379883,0.9252338409423828,7755,18936,3222,1105,0.9051616270344094,0.7417026886148044,0.6894888957501669,874,2093,370,110,0.913101503883492,0.759471090506832,0.6940035018945125,
nomao,GNB,Standard Scaling,Equity,2,,1.4845285000046715,0.1911668999819085,,,7744,18802,3357,1115,0.9047116790241484,0.7411964360703486,0.6809236043930995,869,2055,407,116,0.8972126577789507,0.718906525366523,0.6707768106974823,
nomao,GNB,Standard Scaling,Equity,3,,1.6238300000550223,0.1339789999183267,,,7773,18899,3260,1086,0.9055281391712486,0.7421637667619259,0.6890748899092988,868,2082,380,117,0.9042355478398564,0.7293443311594878,0.6832825028557772,
