Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
numerai28.6,GNB,Baseline,Equality,1,,0.2175754000199958,0.010618699947372,88.65453338623047,0.003702163696289,19089,25859,17934,23806,0.5272056547797944,0.5195044130489712,0.0358810927637715,2172,2912,1953,2595,0.5386141576714355,0.5301954972685927,0.0547573825217439,
numerai28.6,GNB,Baseline,Equality,2,,0.5328664999688044,0.0385567001067101,,,19110,25826,17967,23785,0.527176956361425,0.519726201049628,0.0356076957508849,2158,2932,1933,2609,0.5369828671810372,0.5265510740535546,0.0560031126935281,
numerai28.6,GNB,Baseline,Equality,3,,0.5068715000525117,0.0459323999239131,,,19297,25780,18012,23599,0.5289496314901259,0.5211328848733779,0.0389245533670305,2098,2781,2085,2668,0.5176217811498387,0.5108076722766585,0.0118199851288305,
numerai28.6,GNB,Baseline,Equality,4,,0.5133500000229105,0.0421436999458819,,,19353,25627,18165,23543,0.5286975672960181,0.5203311953783119,0.0366901638801923,2169,2816,2050,2597,0.5216100343593535,0.5199787139164468,0.0340689796821193,
numerai28.6,GNB,Baseline,Equality,5,,0.649449999909848,0.0274495999328792,,,19234,25770,18022,23662,0.5278169814227769,0.5203117577644888,0.037217422240729,2094,2866,2000,2672,0.527625982715284,0.5175021855284065,0.0286694179584357,
numerai28.6,GNB,Baseline,Equality,6,,0.6116922000655904,0.029212599969469,,,19312,25701,18091,23584,0.5285356616607932,0.5206997199088026,0.0374445884827282,2106,2855,2011,2660,0.522493466962432,0.5167061935364947,0.0289087666855471,
numerai28.6,GNB,Baseline,Equality,7,,0.55201169999782,0.0262579000554978,,,19359,25682,18110,23537,0.5288539259570897,0.521042419324251,0.0381046032978834,2128,2788,2078,2638,0.5172062383933048,0.5114778201660453,0.0196080870775757,
numerai28.6,GNB,Baseline,Equality,8,,0.61150630004704,0.0290521000279113,,,19202,25648,18144,23694,0.5272076452473373,0.5189221364454776,0.033640429035099,2202,2862,2004,2564,0.5328560779283453,0.5301120999467785,0.0505901686783505,
numerai28.6,GNB,Baseline,Equality,9,,0.5632320999866351,0.0218975000316277,,,19220,25839,17953,23676,0.5280623828598302,0.5207810313700718,0.0384897568268335,2126,2876,1990,2640,0.5293878029383017,0.5187656408047765,0.0375126086641574,
numerai28.6,GNB,Baseline,Equality,10,,0.6235283999703825,0.0226615000283345,,,19291,25843,17949,23605,0.5284741876657576,0.5208710226645789,0.0402451538345472,2104,2856,2010,2662,0.5258646368069206,0.517230940400051,0.02869501113614,
