Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
ozone-level-8hr,GNB,Baseline,Equality,1,,0.0381456998875364,0.0049137000460177,8.103399276733398,0.0073585510253906,119,1461,675,25,0.8345346311901789,0.2097972280873583,0.2605876711779724,12,177,61,4,0.8103991596638656,0.1837449529997863,0.265038315053777,
ozone-level-8hr,GNB,Baseline,Equality,2,,0.0316483000060543,0.0139046000549569,,,118,1468,668,26,0.8309778792134831,0.2063964042227585,0.2593313877165628,13,164,74,3,0.821953781512605,0.1931182040493701,0.2567834535520873,
ozone-level-8hr,GNB,Baseline,Equality,3,,0.0260367000009864,0.0090401999186724,,,120,1464,672,24,0.8318361813358301,0.2066861304910207,0.2650063776852969,11,168,70,5,0.818014705882353,0.2038860663473799,0.205067946490751,
ozone-level-8hr,GNB,Baseline,Equality,4,,0.0245330999605357,0.0069430000148713,,,120,1460,676,24,0.832556309821057,0.2056081700681933,0.2637401269649223,11,159,79,5,0.7987132352941176,0.1836298296105814,0.180603854846753,
ozone-level-8hr,GNB,Baseline,Equality,5,,0.0260932000819593,0.0047875000163912,,,117,1472,665,27,0.831482673009931,0.2076306729350751,0.2568567388411154,14,151,86,2,0.8239715189873418,0.1892702857380941,0.254958412202435,
ozone-level-8hr,GNB,Baseline,Equality,6,,0.0250551999779418,0.0046731999609619,,,116,1460,677,28,0.8306865153642178,0.2117438834420137,0.2495961143608405,15,161,76,1,0.8285864978902954,0.170574587366905,0.3128368138255523,
ozone-level-8hr,GNB,Baseline,Equality,7,,0.0358405000297352,0.0042704000370576,,,118,1478,659,26,0.8336891670566214,0.2026929448985035,0.262257521255381,14,162,75,2,0.8198839662447257,0.2495748748590663,0.2846917382380123,
ozone-level-8hr,GNB,Baseline,Equality,8,,0.0378848999971523,0.0045682999771088,,,120,1452,685,24,0.8297896194041492,0.198746179567972,0.2609650649608004,12,163,74,4,0.7565928270042195,0.1568993581912803,0.2249398817567801,
ozone-level-8hr,GNB,Baseline,Equality,9,,0.0419600999448448,0.0042293000733479,,,117,1447,690,27,0.8222342458274841,0.1965525598538134,0.2490318469731809,15,159,78,1,0.9009757383966244,0.3199427755929303,0.3071227335590167,
ozone-level-8hr,GNB,Baseline,Equality,10,,0.0406189999775961,0.003915499895811,,,118,1460,677,26,0.828077068060105,0.2034723084938178,0.2565382169030303,14,156,81,2,0.839003164556962,0.2169882605669613,0.2680134818246228,
ozone-level-8hr,GNB,Baseline,Equity,1,,0.2844399000750854,0.0251075000269338,8.104715347290039,0.5645971298217773,114,1597,539,30,0.8553777179567208,0.2773616453123262,0.2901901946814648,11,192,46,5,0.8302258403361344,0.2866791692247428,0.2878065067803689,
ozone-level-8hr,GNB,Baseline,Equity,2,,0.4042913999874145,0.024995999992825,,,112,1608,528,32,0.8508895131086144,0.2692332492414109,0.2872277347801388,11,180,58,5,0.8253676470588235,0.2128866165630871,0.2423973263210935,
ozone-level-8hr,GNB,Baseline,Equity,3,,0.3803488999838009,0.0256975999800488,,,113,1598,538,31,0.8509675405742821,0.2687589464326775,0.2869693062160043,11,182,56,5,0.8387605042016806,0.2770718674430008,0.2493024075919463,
ozone-level-8hr,GNB,Baseline,Equity,4,,0.3122374999802559,0.0366438999772071,,,112,1602,534,32,0.8500295854140657,0.2628944138698341,0.2848988428568896,11,173,65,5,0.8260241596638656,0.2774119655650879,0.2198577259981097,
ozone-level-8hr,GNB,Baseline,Equity,5,,0.3935854999581352,0.0245565000222995,,,113,1606,531,31,0.8507431887901002,0.26712658460841,0.2897196199884851,12,172,65,4,0.8429588607594937,0.2908397535120933,0.2516521657718711,
ozone-level-8hr,GNB,Baseline,Equity,6,,0.3716316999634728,0.0249311999650672,,,110,1608,529,34,0.8490907554723652,0.2684307249153185,0.279632075089666,13,168,69,3,0.8142141350210971,0.1653445783445361,0.2711237255622562,
ozone-level-8hr,GNB,Baseline,Equity,7,,0.3846787000074982,0.0239411999937146,,,111,1612,525,33,0.8483352181146987,0.261565529980216,0.284816504549814,14,176,61,2,0.8798786919831224,0.3539102470432024,0.3291638198583408,
ozone-level-8hr,GNB,Baseline,Equity,8,,0.2507123000686988,0.046146500040777,,,112,1593,544,32,0.8504052279935528,0.266075937027339,0.2811158584061924,11,178,59,5,0.796545358649789,0.2341891298191706,0.2386071865919142,
