Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
pc4,GNB,Baseline,Equality,1,,0.022459500003606,0.0039367000572383,2.480825424194336,0.0048551559448242,44,1104,48,116,0.8276502821180554,0.3668565955772654,0.299012391965323,2,121,7,16,0.7905815972222222,0.2922540126144356,0.0771295107660964,
pc4,GNB,Baseline,Equality,2,,0.0132011000532656,0.0048355999169871,,,63,1078,74,97,0.8261501736111112,0.3784445292331987,0.3525987258962859,8,123,5,10,0.8977864583333334,0.5378248488250984,0.4679593641747767,
pc4,GNB,Baseline,Equality,3,,0.0126382000744342,0.0053319999715313,,,41,1107,45,119,0.8348958333333334,0.3726245726931431,0.2871617533815781,5,120,8,13,0.7799479166666667,0.4257059308665772,0.2485094696260056,
pc4,GNB,Baseline,Equality,4,,0.0141979999607428,0.0033457999816164,,,41,1108,44,119,0.8298909505208333,0.3670430119713765,0.2898822627319539,5,123,5,13,0.8591579861111112,0.4744979322641003,0.3107076869798461,
pc4,GNB,Baseline,Equality,5,,0.0128493000520393,0.0047388999955728,,,42,1116,36,118,0.8372938368055556,0.3967706806230532,0.3200096619910249,6,124,4,12,0.869140625,0.4757015715032303,0.3931864547963143,
pc4,GNB,Baseline,Equality,6,,0.0140818000072613,0.0046443999744951,,,45,1095,57,115,0.8204345703125,0.340573874535061,0.2832384715420293,0,120,8,18,0.7682291666666666,0.271911242456701,-0.0902893898143269,
pc4,GNB,Baseline,Equality,7,,0.0135923000052571,0.003070899983868,,,40,1104,48,120,0.8285454644097222,0.35813093436383,0.2725291417365535,7,121,7,11,0.8355034722222222,0.3763266314855675,0.3731629385452201,
pc4,GNB,Baseline,Equality,8,,0.0141638000495731,0.0031330999918282,,,44,1103,49,116,0.8337185329861112,0.3728576138558114,0.2964155597749398,2,124,4,16,0.7643229166666666,0.2779484913826119,0.1322625655406179,
pc4,GNB,Baseline,Equality,9,,0.0112613999517634,0.0048221000470221,,,41,1106,46,120,0.8306455961007592,0.3771466630390158,0.2831539669721503,5,125,3,12,0.846047794117647,0.3853911627694125,0.3813998976801224,
pc4,GNB,Baseline,Equality,10,,0.00951540004462,0.004674999974668,,,49,1103,49,112,0.8315217391304348,0.3847023868543019,0.3267603707441724,8,122,6,9,0.8678768382352942,0.4471592806795654,0.4615319914579449,
pc4,GNB,Baseline,Equity,1,,0.0984035999281331,0.0141395999817177,2.482166290283203,0.2950649261474609,138,843,309,22,0.8643825954861112,0.4460472222836241,0.4103069102677492,12,98,30,6,0.8537326388888888,0.517693236403812,0.3139617825719412,
pc4,GNB,Baseline,Equity,2,,0.0929263000143691,0.0206947000697255,,,135,838,314,25,0.8617702907986112,0.4573529353075254,0.3939409038751177,15,95,33,3,0.8585069444444445,0.3974073609993847,0.4027806794308649,
pc4,GNB,Baseline,Equity,3,,0.0954979000380262,0.0220699000637978,,,136,836,316,24,0.8632785373263889,0.4588045283913846,0.3964238968208058,16,93,35,2,0.8411458333333333,0.3747465130947607,0.4244124377607173,
pc4,GNB,Baseline,Equity,4,,0.096255199983716,0.0212235000217333,,,138,837,315,22,0.8624837239583334,0.4537120577869356,0.4054169706301612,15,89,39,3,0.85546875,0.4709877574636984,0.3600105744667207,
pc4,GNB,Baseline,Equity,5,,0.0939597999677062,0.0178121000062674,,,134,835,317,26,0.8609239366319444,0.44251992256676,0.3874225085048623,18,86,42,0,0.8923611111111112,0.5399966162924099,0.4489571249016992,
pc4,GNB,Baseline,Equity,6,,0.0952590000815689,0.0169769999338313,,,137,833,319,23,0.8618896484374999,0.4552619312733051,0.398107766789428,15,100,28,3,0.86328125,0.4707816584390772,0.4432708533693905,
pc4,GNB,Baseline,Equity,7,,0.0957955999765545,0.0176759000169113,,,135,831,321,25,0.8589626736111111,0.440193222296623,0.3883250766855223,18,94,34,0,0.9144965277777778,0.5913935436255032,0.5041891815273616,
