Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
phoneme,GNB,Baseline,Equality,1,,0.0165352000622078,0.0030088999774307,1.2933454513549805,0.0025520324707031,1040,2680,756,387,0.8187528399982706,0.5948187227510442,0.4800176144783738,117,293,89,42,0.812950706312358,0.604042063322608,0.4717646927825659,
phoneme,GNB,Baseline,Equality,2,,0.0092216999037191,0.003109100041911,,,1041,2657,779,386,0.8160890541877788,0.5909080786049771,0.4730799039868882,120,307,75,39,0.8339754354769666,0.6439279446362444,0.5297930084345834,
phoneme,GNB,Baseline,Equality,3,,0.0085918999975547,0.003232300048694,,,1039,2659,777,388,0.817365166875647,0.5968806858819792,0.4725182691536273,119,299,83,40,0.8259409266027857,0.5766832048810966,0.5002326651635878,
phoneme,GNB,Baseline,Equality,4,,0.0093739000149071,0.0030143000185489,,,1041,2671,765,386,0.8182959928797113,0.5921050523100247,0.4776610821826295,114,301,81,45,0.8149264052158451,0.6217243336355999,0.4790865922358909,
phoneme,GNB,Baseline,Equality,5,,0.0087832999415695,0.0033396000508219,,,1050,2681,755,378,0.8220781036512393,0.6038730794936935,0.4860076783464658,106,289,93,52,0.7871462654914176,0.5309983240710433,0.4031086206127534,
phoneme,GNB,Baseline,Equality,6,,0.0095021999441087,0.0032928000437095,,,1041,2631,805,387,0.8169668332990939,0.5924076224456946,0.4642626538634258,121,295,87,37,0.8242925309828352,0.6204039099792897,0.5030389325693745,
phoneme,GNB,Baseline,Equality,7,,0.0087736999848857,0.0031869999365881,,,1041,2647,789,387,0.8165690024554642,0.5945226472473832,0.4694341554592882,119,298,84,39,0.8276393399164954,0.5947911383357143,0.5008916738505161,
phoneme,GNB,Baseline,Equality,8,,0.0080854999832808,0.0023346999660134,,,1054,2658,778,374,0.8205269302132959,0.5971686979969019,0.4808975789109128,105,292,90,53,0.7954967194645106,0.5800692909582884,0.4062982692143266,
phoneme,GNB,Baseline,Equality,9,,0.0081446000840514,0.0020872999448329,,,1041,2683,754,386,0.8201041512262266,0.5969412112884815,0.4813353579446354,118,284,97,41,0.8029680252232623,0.5768891282475476,0.453957310925228,
phoneme,GNB,Baseline,Equality,10,,0.0093002000357955,0.0020583000732585,,,1036,2634,803,391,0.813962364711162,0.5879110431423874,0.4623118575612619,122,293,88,37,0.846861123491639,0.6522455861265141,0.5014435437968939,
phoneme,GNB,Baseline,Equity,1,,0.0322321999119594,0.00524760002736,1.2947702407836914,0.0486125946044921,883,2889,547,544,0.8084544046180718,0.5767519680955148,0.4593021382228187,97,315,67,62,0.8018867924528301,0.5881409018873975,0.4308216645527901,
phoneme,GNB,Baseline,Equity,2,,0.0198521999409422,0.0060855000047013,,,861,2887,549,566,0.8057604342658181,0.5738113503001371,0.4451511097272269,104,325,57,55,0.8304191774506899,0.608229992489532,0.5030463348103246,
phoneme,GNB,Baseline,Equity,3,,0.019029900082387,0.0062034999718889,,,877,2870,566,550,0.806171800622128,0.5760606112579166,0.4483938955959932,86,321,61,73,0.8197504033718594,0.563462080641922,0.3903644407638733,
phoneme,GNB,Baseline,Equity,4,,0.0194361999165266,0.0051300000632181,,,871,2881,555,556,0.8081996715595536,0.5744780570137621,0.4489384074938358,98,322,60,61,0.8020020415555336,0.5702982538555479,0.4601334015548579,
phoneme,GNB,Baseline,Equity,5,,0.0191914000315591,0.0049530001124367,,,885,2884,552,543,0.8118881720324915,0.5812169440868599,0.4582566050814751,88,313,69,70,0.7712572072370601,0.5260467921425921,0.3770371841766351,
phoneme,GNB,Baseline,Equity,6,,0.0196881999727338,0.0041235000826418,,,870,2865,571,558,0.8065578093868513,0.5680571352050954,0.4418957595497144,103,323,59,55,0.8130426138246406,0.6469623007593464,0.4938612135842281,
phoneme,GNB,Baseline,Equity,7,,0.0195130000356584,0.0040277000516653,,,861,2868,568,567,0.8056730841347016,0.5723944566594061,0.4375432009829246,102,323,59,56,0.8232155875140832,0.5895087324235522,0.4884439503643283,
phoneme,GNB,Baseline,Equity,8,,0.019869599957019,0.0060429000295698,,,878,2884,552,550,0.8096672895002006,0.5753278323914885,0.454008440283948,93,315,67,65,0.7927298031678708,0.5988564190077317,0.4117033819838159,
phoneme,GNB,Baseline,Equity,9,,0.0193063999759033,0.005356500041671,,,877,2887,550,550,0.8105926702672328,0.5822851753241353,0.4545527575241115,90,311,70,69,0.7845953218111887,0.5206715847230378,0.3816152446308584,
phoneme,GNB,Baseline,Equity,10,,0.0164737999439239,0.0045145999174565,,,860,2868,569,567,0.8040210830691764,0.5688071892365131,0.436932727550301,104,325,56,55,0.8335561828356362,0.6053316352700748,0.5061839514274599,
phoneme,GNB,Standard Scaling,Equality,1,,0.0196349000325426,0.0036332999588921,1.294417381286621,0.002908706665039,1040,2680,756,387,0.8187528399982706,0.5948187227510442,0.4800176144783738,117,293,89,42,0.812950706312358,0.604042063322608,0.4717646927825659,
phoneme,GNB,Standard Scaling,Equality,2,,0.0096373000415042,0.0032049999572336,,,1041,2657,779,386,0.8160890541877788,0.5909080786049771,0.4730799039868882,120,307,75,39,0.8339754354769666,0.6439279446362444,0.5297930084345834,
phoneme,GNB,Standard Scaling,Equality,3,,0.009227699949406,0.0034111000131815,,,1039,2659,777,388,0.817365166875647,0.5968806858819792,0.4725182691536273,119,299,83,40,0.8259409266027857,0.5766832048810966,0.5002326651635878,
phoneme,GNB,Standard Scaling,Equality,4,,0.0099164000712335,0.0023836999898776,,,1041,2671,765,386,0.8182959928797113,0.5921050523100247,0.4776610821826295,114,301,81,45,0.8149264052158451,0.6217243336355999,0.4790865922358909,
phoneme,GNB,Standard Scaling,Equality,5,,0.0091255999868735,0.0025105000240728,,,1050,2681,755,378,0.8220781036512393,0.6038730794936935,0.4860076783464658,106,289,93,52,0.7871462654914176,0.5309983240710433,0.4031086206127534,
phoneme,GNB,Standard Scaling,Equality,6,,0.0093241999857127,0.0035277000861242,,,1041,2631,805,387,0.8169668332990939,0.5924076224456946,0.4642626538634258,121,295,87,37,0.8242925309828352,0.6204039099792897,0.5030389325693745,
phoneme,GNB,Standard Scaling,Equality,7,,0.0096279000863432,0.0034107000101357,,,1041,2647,789,387,0.8165690024554642,0.5945226472473832,0.4694341554592882,119,298,84,39,0.8276393399164954,0.5947911383357143,0.5008916738505161,
phoneme,GNB,Standard Scaling,Equality,8,,0.0100612000096589,0.0032152000349014,,,1054,2658,778,374,0.8205269302132959,0.5971686979969019,0.4808975789109128,105,292,90,53,0.7954967194645106,0.5800692909582884,0.4062982692143266,
