Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
qsar-biodeg,GNB,Baseline,Equality,1,,0.0221018000738695,0.004011399927549,2.01271915435791,0.005141258239746,303,374,255,17,0.9009017289348172,0.7993774172468268,0.5200785092962876,34,44,26,2,0.9125,0.8168047030602601,0.5475356254159257,
qsar-biodeg,GNB,Baseline,Equality,2,,0.0092197000049054,0.0043843999737873,,,301,392,237,19,0.900683127980922,0.7890304622742085,0.5379493766634136,35,39,31,1,0.8888888888888888,0.7896255885487294,0.5171941402798167,
qsar-biodeg,GNB,Baseline,Equality,3,,0.0089683999540284,0.0036461000563576,,,304,381,248,16,0.9007800079491256,0.788505840450789,0.5325914383239966,34,40,30,2,0.8617063492063491,0.7347157795105475,0.4994918998084962,
qsar-biodeg,GNB,Baseline,Equality,4,,0.008984399959445,0.0043324999278411,,,304,389,240,16,0.902685313990461,0.7931645325113746,0.5433247481418638,33,40,30,3,0.8767857142857143,0.7655558136150711,0.4707608502139737,
qsar-biodeg,GNB,Baseline,Equality,5,,0.009119699941948,0.0052807000465691,,,303,373,256,17,0.9011600755166932,0.7997497349352081,0.5187512523736858,35,46,24,1,0.903968253968254,0.7763933616394271,0.599967848601554,
qsar-biodeg,GNB,Baseline,Equality,6,,0.0122981000458821,0.0053240000270307,,,302,373,257,18,0.896374007936508,0.7861769211808557,0.5145938912821652,35,48,21,1,0.9428341384863124,0.878768526585632,0.6354458339366895,
qsar-biodeg,GNB,Baseline,Equality,7,,0.014380200067535,0.0031076999148353,,,307,373,256,14,0.8932761788726604,0.7532544378004709,0.5288709941715882,30,37,33,5,0.8618367346938777,0.759530796055664,0.3711537444790451,
qsar-biodeg,GNB,Baseline,Equality,8,,0.0117834000848233,0.0030328000430017,,,305,370,259,16,0.8949650585164604,0.7841159745170452,0.5184924923267568,33,41,29,2,0.9320408163265308,0.8791098477317035,0.5067067079899185,
qsar-biodeg,GNB,Baseline,Equality,9,,0.0102725999895483,0.0030402999836951,,,307,380,249,14,0.901133679033624,0.791347713689442,0.5381251875377421,32,42,28,3,0.8724489795918368,0.7443743275443893,0.4898979485566356,
qsar-biodeg,GNB,Baseline,Equality,10,,0.0113422999856993,0.0029497999930754,,,303,382,247,18,0.9020524097489464,0.8020773053011117,0.5280876182863623,34,44,26,1,0.8987755102040818,0.7704253233508458,0.5715476066494083,
