Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
sick,GNB,Baseline,Equality,1,,0.0651353999273851,0.0088072000071406,4.409029960632324,0.0064048767089843,196,1403,1783,12,0.8930175286107489,0.4082853287430619,0.1861572173697724,20,165,190,3,0.841090018371096,0.4831334297519311,0.1608497033467837,
sick,GNB,Baseline,Equality,2,,0.0489815000910311,0.0098965000361204,,,194,1448,1739,13,0.8951583198046411,0.4458764777454862,0.1892411477689342,21,158,196,3,0.836217043314501,0.3493787269902659,0.1584574235597058,
sick,GNB,Baseline,Equality,3,,0.0451995000476017,0.0096497000195086,,,194,1492,1695,14,0.8838264222442133,0.4404354266086059,0.1934950283819319,21,179,175,2,0.9093588798820929,0.4551660231875569,0.2005830030421237,
sick,GNB,Baseline,Equality,4,,0.0487474000547081,0.0065517000621184,,,193,1575,1612,15,0.8927539161497431,0.4378265600608821,0.2028523693883526,20,171,183,3,0.8662490788504053,0.4852597975857193,0.1692953386095232,
sick,GNB,Baseline,Equality,5,,0.0467788999667391,0.0072941000107675,,,193,1523,1664,15,0.8912272815041878,0.4454319587878966,0.195484152515065,23,181,173,0,0.9254482928027512,0.4620497372013382,0.2449477974961457,
sick,GNB,Baseline,Equality,6,,0.0483698999742046,0.0063495999202132,,,190,1670,1517,18,0.8898379232941517,0.4587878240526728,0.2098279470279694,21,195,159,2,0.8524932449029722,0.4282420611906813,0.222285979176202,
sick,GNB,Baseline,Equality,7,,0.0473211000207811,0.0096285999752581,,,193,1566,1621,15,0.8949005575535227,0.4613224242779871,0.201565970307318,20,164,190,3,0.8485630066322769,0.418480895815245,0.1603747007119038,
sick,GNB,Baseline,Equality,8,,0.0403771999990567,0.0063546999590471,,,190,1573,1614,18,0.8910779368106008,0.4703624161162772,0.195611716098112,22,164,190,1,0.8773028739867355,0.3956740957116623,0.2025333782524785,
sick,GNB,Baseline,Equality,9,,0.0450358999660238,0.0061439999844878,,,192,1546,1641,16,0.8935066737467114,0.4541626890438027,0.1964015114751244,21,164,190,2,0.8658806190125277,0.4816019262531931,0.181437870606431,
sick,GNB,Baseline,Equality,10,,0.0319099000189453,0.0068140000803396,,,194,1443,1744,14,0.8863637735029327,0.4776291746964771,0.1867694049471246,22,166,188,1,0.9145173176123804,0.5630335982448251,0.2049955584007508,
sick,GNB,Baseline,Equity,1,,0.2258408000925555,0.0168200999032706,4.407587051391602,0.2203235626220703,154,3053,133,54,0.9331269013472404,0.5472616871378502,0.602276755801259,16,339,16,7,0.9344764237599512,0.458109653614411,0.5586848996840968,
sick,GNB,Baseline,Equity,2,,0.3094190000556409,0.0215166000416502,,,144,3072,115,63,0.9321594824384692,0.5314378010109718,0.5945209745377669,10,344,10,14,0.8818267419962336,0.4849212531566928,0.4231069672418834,
sick,GNB,Baseline,Equity,3,,0.2958010999718681,0.023243400035426,,,138,3075,112,70,0.9314990586758708,0.5257510564132768,0.5769290459536869,17,346,8,6,0.9704003930238272,0.6855574147628289,0.6892226474781814,
sick,GNB,Baseline,Equity,4,,0.2035995000042021,0.0137504000449553,,,140,3077,110,68,0.9306195843691922,0.524190882730918,0.5863342180312494,14,343,11,9,0.9416605256693688,0.5360950083360417,0.5556074924734122,
sick,GNB,Baseline,Equity,5,,0.312656500027515,0.0220342999091371,,,135,3092,95,73,0.9282994617556902,0.5129384085706954,0.5909133711685697,17,342,12,6,0.96045197740113,0.6053173683179105,0.6334451542547185,
sick,GNB,Baseline,Equity,6,,0.3173596999840811,0.0218548999400809,,,147,3067,120,61,0.9359356520479832,0.5490751010390356,0.5960879178965667,15,335,19,8,0.8949889462048637,0.4648950919813192,0.5000855938159346,
sick,GNB,Baseline,Equity,7,,0.3012389000505209,0.0228112998884171,,,139,3069,118,69,0.9289194685139148,0.511457043487216,0.5723040296357407,16,340,14,7,0.9460820437239008,0.513755414216459,0.5802470884065313,
sick,GNB,Baseline,Equity,8,,0.2044963999651372,0.0137644000351428,,,135,3085,102,73,0.9348298979025368,0.5375790167502317,0.5806991165970032,16,342,12,7,0.8921640874478015,0.6022714369460004,0.6040464118488793,
sick,GNB,Baseline,Equity,9,,0.3156144000822678,0.0180603000335395,,,138,3079,108,70,0.9298351475947962,0.5254139892773418,0.5823921464211288,16,342,12,7,0.9512404814541882,0.5291164954208432,0.6040464118488793,
sick,GNB,Baseline,Equity,10,,0.1910123000852763,0.0178979000775143,,,136,3069,118,72,0.9350214814993604,0.5298664344931739,0.5622517804789277,17,340,14,6,0.8995332842053549,0.5646779764812732,0.6095165962098543,
sick,GNB,Standard Scaling,Equality,1,,0.070143699995242,0.0094907999737188,4.406414985656738,0.0072765350341796,201,1099,2087,7,0.8884188335989184,0.387832616622106,0.1593008338542964,20,134,221,3,0.8103490508266993,0.4213142989672542,0.1228454282969469,
sick,GNB,Standard Scaling,Equality,2,,0.0477699000621214,0.0109795000171288,,,200,1179,2008,7,0.894119983204716,0.4440782643954957,0.1687072684982521,23,136,218,1,0.835334274952919,0.3140885109381326,0.1737468470399215,
sick,GNB,Standard Scaling,Equality,3,,0.0439220999833196,0.0104856999823823,,,199,1204,1983,9,0.885607998841447,0.4471994674738015,0.1674099232266918,21,153,201,2,0.911078359125522,0.4565901685555787,0.167939540383449,
sick,GNB,Standard Scaling,Equality,4,,0.0475777999963611,0.009980299975723,,,197,1252,1935,11,0.8919423257946949,0.4365493877907165,0.168677413214547,20,129,225,3,0.8660034389584869,0.4844674769766302,0.1173976553167107,
sick,GNB,Standard Scaling,Equality,5,,0.0339557999977842,0.0102859999751672,,,199,1197,1990,9,0.8872515447370326,0.4418312924669683,0.1665257749511523,22,140,214,1,0.9125521984770326,0.4588755283901263,0.1741185649877159,
sick,GNB,Standard Scaling,Equality,6,,0.0473587000742554,0.0106952999485656,,,199,1338,1849,9,0.888097077067896,0.4597668616032058,0.1845906271956321,22,150,204,1,0.8501596659297469,0.420923699762802,0.1857345550687717,
sick,GNB,Standard Scaling,Equality,7,,0.0531677000690251,0.0100759000051766,,,198,1246,1941,10,0.8940150491178103,0.4596702678029066,0.1703227667244146,21,130,224,2,0.8467207074428886,0.4180674088755693,0.1406306821169207,
sick,GNB,Standard Scaling,Equality,8,,0.035177000099793,0.0071651000762358,,,197,1290,1897,11,0.8894057288021047,0.4738136827541869,0.1735785957578,23,126,228,0,0.8766887742569394,0.3943851645245944,0.180597069482982,
sick,GNB,Standard Scaling,Equality,9,,0.0512929999968037,0.0106708001112565,,,200,1235,1952,8,0.8930639195288553,0.4529818996224382,0.1737616482592738,21,132,222,2,0.8634242200933431,0.4805365509673248,0.142975587893662,
sick,GNB,Standard Scaling,Equality,10,,0.0493868000339716,0.0092341999989002,,,199,1175,2012,9,0.8888777425116459,0.4838555088635549,0.1637538238846766,22,133,221,1,0.9145173176123802,0.5616450364970587,0.1661292806066821,
sick,GNB,Standard Scaling,Equity,1,,0.2304060999304056,0.0176133000059053,4.408055305480957,0.2211713790893554,151,3057,129,57,0.933083140180598,0.5472619409902196,0.5975935305606301,16,340,15,7,0.93423147581139,0.4580301085580373,0.5692601002102993,
sick,GNB,Standard Scaling,Equity,2,,0.292955300072208,0.0215118000051006,,,144,3071,116,63,0.9321594824384692,0.5314378010109718,0.5931888929601143,10,344,10,14,0.8818267419962336,0.4849212531566928,0.4231069672418834,
sick,GNB,Standard Scaling,Equity,3,,0.1960182000184431,0.0146690000547096,,,138,3075,112,70,0.9314990586758708,0.5257510564132768,0.5769290459536869,17,346,8,6,0.9704003930238272,0.6855574147628289,0.6892226474781814,
sick,GNB,Standard Scaling,Equity,4,,0.227562400046736,0.0142234000377357,,,140,3077,110,68,0.9306195843691922,0.524190882730918,0.5863342180312494,14,343,11,9,0.9416605256693688,0.5360950083360417,0.5556074924734122,
sick,GNB,Standard Scaling,Equity,5,,0.3000262000132352,0.0144327000016346,,,135,3092,95,73,0.9282994617556902,0.5129384085706954,0.5909133711685697,17,342,12,6,0.96045197740113,0.6053173683179105,0.6334451542547185,
sick,GNB,Standard Scaling,Equity,6,,0.3109075999818742,0.0139243000885471,,,147,3067,120,61,0.9359356520479832,0.5490751010390356,0.5960879178965667,15,335,19,8,0.8949889462048637,0.4648950919813192,0.5000855938159346,
sick,GNB,Standard Scaling,Equity,7,,0.3143468999769538,0.0237555999774485,,,139,3069,118,69,0.9289194685139148,0.511457043487216,0.5723040296357407,16,340,14,7,0.9460820437239008,0.513755414216459,0.5802470884065313,
sick,GNB,Standard Scaling,Equity,8,,0.1711987000890076,0.0140726000536233,,,135,3085,102,73,0.9348298979025368,0.5375790167502317,0.5806991165970032,16,342,12,7,0.8921640874478015,0.6022714369460004,0.6040464118488793,
sick,GNB,Standard Scaling,Equity,9,,0.3157288000220433,0.0182941000675782,,,138,3079,108,70,0.9298351475947962,0.5254139892773418,0.5823921464211288,16,342,12,7,0.9512404814541882,0.5291164954208432,0.6040464118488793,
sick,GNB,Standard Scaling,Equity,10,,0.2490418000379577,0.0203693000366911,,,136,3069,118,72,0.9350214814993604,0.5298664344931739,0.5622517804789277,17,340,14,6,0.8995332842053549,0.5646779764812732,0.6095165962098543,
sick,GNB,MinMax Scaling,Equality,1,,0.0702586000552401,0.0098853999515995,4.406309127807617,0.0077581405639648,201,1099,2087,7,0.888355455357574,0.3825801457948445,0.1593008338542964,20,134,221,3,0.810287813839559,0.4147925598368195,0.1228454282969469,
