Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
spambase,GNB,Baseline,Equality,1,,0.0386520000174641,0.0050039000343531,11.599061965942385,0.0062856674194335,1566,1853,656,65,0.9489485919359832,0.8996196531951034,0.6846435415520785,173,207,72,9,0.942356926227894,0.8887160458813081,0.6783255994286473,
spambase,GNB,Baseline,Equality,2,,0.0429685999406501,0.008661700063385,,,1564,1836,674,67,0.9488205363707646,0.9011255150596884,0.6768805741143054,174,203,75,8,0.9368329512214404,0.872226917270766,0.673450592895609,
spambase,GNB,Baseline,Equality,3,,0.0490563999628648,0.005918400012888,,,1565,1840,670,66,0.9489695418204556,0.9016146091836152,0.678964735951732,174,196,82,8,0.9406870108308956,0.8889040490230674,0.650694290765023,
spambase,GNB,Baseline,Equality,4,,0.0481496000429615,0.0064618999604135,,,1560,1852,657,72,0.9460816062176164,0.8953872446065143,0.6799863061961472,175,203,76,6,0.9571080615457732,0.9157112934317704,0.6813527124749589,
spambase,GNB,Baseline,Equality,5,,0.0463257000083103,0.0069890999002382,,,1565,1835,674,67,0.9501162237513578,0.9045570091223448,0.6768995971506555,175,201,78,6,0.9463949781183786,0.8900890545626261,0.6748857424762318,
spambase,GNB,Baseline,Equality,6,,0.0490273999748751,0.0081308999797329,,,1562,1857,652,70,0.9476541314014646,0.8974621233992052,0.6830698656750488,173,190,89,8,0.936266064674548,0.877365361364044,0.628296153625887,
spambase,GNB,Baseline,Equality,7,,0.0514903999865055,0.004691999987699,,,1566,1841,668,66,0.94859706038653,0.9000038491700441,0.6797128958650615,173,216,63,8,0.9473553931761024,0.895516520909134,0.7134787745018886,
spambase,GNB,Baseline,Equality,8,,0.0547266999492421,0.0050934000173583,,,1565,1830,679,67,0.9483689599793684,0.9000322738857408,0.6750810446365969,170,210,69,11,0.9463949781183788,0.8969412152193998,0.6765483727469954,
spambase,GNB,Baseline,Equality,9,,0.0559469000436365,0.0045631999382749,,,1567,1837,672,65,0.9483351356684564,0.8998046296053676,0.6788829158894877,175,212,67,6,0.9652765401295076,0.9430211054960164,0.7109925948365617,
spambase,GNB,Baseline,Equality,10,,0.0445958999916911,0.0040743000572547,,,1565,1855,654,67,0.9502669067826413,0.9032797392630462,0.6842068886265783,174,200,79,7,0.9341670132081824,0.8782591221466743,0.6659409347562022,
spambase,GNB,Baseline,Equity,1,,0.1503520999103784,0.0206493999576196,11.600372314453123,0.4490833282470703,1525,2120,389,106,0.9547723841014776,0.9231218928007254,0.7643991337763593,170,234,45,12,0.95616211745244,0.9325922730204016,0.7571892151614864,
spambase,GNB,Baseline,Equity,2,,0.134494400001131,0.0233475000131875,,,1527,2105,405,104,0.9550940322096042,0.924413251857061,0.7589223697590577,167,236,42,15,0.9480393707012412,0.913603086176971,0.7527696591742021,
spambase,GNB,Baseline,Equity,3,,0.1077989999903366,0.0348731999984011,,,1525,2109,401,106,0.9547508311328566,0.923565744235078,0.7594332781843799,172,228,50,10,0.9512609692465808,0.9229153523994388,0.7488027375669911,
spambase,GNB,Baseline,Equity,4,,0.1359059000387787,0.0338015999877825,,,1547,1902,607,85,0.9542178793597952,0.9183526487006016,0.69053501442987,169,210,69,12,0.9397017762727976,0.8861351673813487,0.6710382297736038,
spambase,GNB,Baseline,Equity,5,,0.1387748999986797,0.0326384999789297,,,1521,2117,392,111,0.9555246944333732,0.926559053096074,0.7603540329763244,171,231,48,10,0.9540485950216836,0.9077177314349352,0.7558340054173306,
