Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
wdbc,GNB,Baseline,Equality,1,,0.0192023999989032,0.0035458999918773,0.8613319396972656,0.0043458938598632,167,312,10,23,0.98796992481203,0.9816440157640498,0.861263345896579,21,35,0,1,0.9987012987012986,0.9980237154150198,0.9633432944855655,
wdbc,GNB,Baseline,Equality,2,,0.0077879000455141,0.0040254000341519,,,169,313,9,21,0.9889669826740763,0.983297069300838,0.8739539838047078,21,33,2,1,0.9935064935064934,0.9897087760724124,0.8904905361044291,
wdbc,GNB,Baseline,Equality,3,,0.0103383000241592,0.0039865999715402,,,170,310,11,21,0.987783595113438,0.9817468178827,0.8657256855616671,19,34,2,2,0.9629629629629628,0.8829940459183002,0.8492063492063492,
wdbc,GNB,Baseline,Equality,4,,0.0102343999315053,0.0034841999877244,,,172,313,8,19,0.990833618763354,0.9859846938789923,0.8868912566509795,16,35,1,5,0.9814814814814816,0.9704562021512484,0.7740653530990438,
wdbc,GNB,Baseline,Equality,5,,0.007236500037834,0.0042902000714093,,,170,311,10,21,0.9899854838446608,0.9846447089616304,0.8699741743394788,19,36,0,2,0.9814814814814816,0.9761904761904762,0.9258200997725514,
wdbc,GNB,Baseline,Equality,6,,0.0072847000556066,0.0026023000245913,,,173,311,10,18,0.9894472443770286,0.9843667260346898,0.8825888036302548,15,36,0,6,0.9947089947089948,0.991780045351474,0.7824607964359516,
wdbc,GNB,Baseline,Equality,7,,0.0073868000181391,0.0040851000230759,,,170,313,8,21,0.9895287958115184,0.9845793622811368,0.8785519697947769,18,34,2,3,0.9708994708994708,0.9232981382229984,0.810206767705014,
wdbc,GNB,Baseline,Equality,8,,0.0073089000070467,0.0041407999815419,,,169,312,9,22,0.989047642348029,0.9833508942839094,0.8700715465728975,21,32,4,0,0.9986772486772486,0.997835497835498,0.8640987597877147,
wdbc,GNB,Baseline,Equality,9,,0.0079757999628782,0.0031335999956354,,,172,312,9,19,0.9899691735577628,0.9846050490622348,0.882621435471426,18,35,1,3,0.9814814814814816,0.9749679581977718,0.8486684247915055,
wdbc,GNB,Baseline,Equality,10,,0.0099714000243693,0.0025385000044479,,,169,312,10,22,0.987658937920718,0.9815492886193478,0.8659266547582967,20,35,0,1,1.0,1.0,0.9622504486493764,
wdbc,GNB,Baseline,Equity,1,,0.0616153000155463,0.0117736998945474,0.8627529144287109,0.125732421875,177,304,18,13,0.9865315462569468,0.9812651496567056,0.8711689745379567,22,33,2,0,1.0,1.0,0.9296696802013684,
wdbc,GNB,Baseline,Equity,2,,0.0299069000175222,0.0178096999879926,,,175,308,14,15,0.9872343903236352,0.9824834060048796,0.8785298139653683,21,31,4,1,0.9870129870129872,0.983346394984326,0.8243543321503594,
wdbc,GNB,Baseline,Equity,3,,0.0380677999928593,0.0144688999280333,,,177,304,17,14,0.9864787721616024,0.9815861531790258,0.8710398443660893,21,36,0,0,1.0,1.0,1.0,
wdbc,GNB,Baseline,Equity,4,,0.0299486999865621,0.0169847001088783,,,180,304,17,11,0.989055797491478,0.985161446160942,0.8841008338789158,17,36,0,4,0.9722222222222222,0.9616817964644052,0.8535639569308375,
wdbc,GNB,Baseline,Equity,5,,0.037701699999161,0.0103269999381154,,,179,303,18,12,0.9903279998695178,0.9856456131155746,0.8758001787353146,19,34,2,2,0.9642857142857144,0.9632436528988252,0.8492063492063492,
wdbc,GNB,Baseline,Equity,6,,0.0297634999733418,0.016675499966368,,,179,305,16,12,0.9872616659327038,0.983071587781566,0.8837037796209574,18,35,1,3,0.9854497354497354,0.9764828565547756,0.8486684247915055,
wdbc,GNB,Baseline,Equity,7,,0.0388454999774694,0.0111983000533655,,,179,306,15,12,0.9879140774086216,0.9839093530597482,0.8876899246466731,18,33,3,3,0.98015873015873,0.9693601498570444,0.7738095238095238,
wdbc,GNB,Baseline,Equity,8,,0.0354646000778302,0.0157522000372409,,,178,305,16,13,0.987816215687234,0.98372820903745,0.8793648845063812,20,32,4,1,0.9867724867724867,0.9808258569128134,0.8219277191853159,
wdbc,GNB,Baseline,Equity,9,,0.0236678000073879,0.0102894000010564,,,177,305,16,14,0.9874410790885813,0.9824546260382035,0.8750324170805924,20,35,1,1,0.9867724867724867,0.9834467120181408,0.9246031746031746,
wdbc,GNB,Baseline,Equity,10,,0.023630499956198,0.0164170000934973,,,177,305,17,14,0.9863744268479074,0.9813891946044336,0.8711910442167935,20,35,0,1,0.9972789115646258,0.9958592132505176,0.9622504486493764,
wdbc,GNB,Standard Scaling,Equality,1,,0.0227921000914648,0.0042210000101476,0.8626251220703125,0.0052747726440429,170,310,12,20,0.9882804838182412,0.982885820833802,0.8654278879566483,21,35,0,1,0.9987012987012986,0.9980237154150198,0.9633432944855655,
wdbc,GNB,Standard Scaling,Equality,2,,0.0080885998904705,0.0033898999681696,,,169,310,12,21,0.988705459300425,0.98363329779412,0.8611847825613314,21,33,2,1,0.9935064935064934,0.9909408773045136,0.8904905361044291,
wdbc,GNB,Standard Scaling,Equality,3,,0.0108281000284478,0.0044882000656798,,,170,305,16,21,0.984382900295216,0.9738704221895114,0.8448717749512473,19,34,2,2,0.9642857142857144,0.887896006702614,0.8492063492063492,
wdbc,GNB,Standard Scaling,Equality,4,,0.0076632000273093,0.0043663999531418,,,174,310,11,17,0.9912739965095986,0.9871521011762214,0.8826200060824873,16,35,1,5,0.9748677248677248,0.9653606033056495,0.7740653530990438,
wdbc,GNB,Standard Scaling,Equality,5,,0.0100029999157413,0.0046387000475078,,,172,311,10,19,0.9901485867136404,0.9856263102937776,0.8783783870336165,19,35,1,2,0.9867724867724867,0.9825347066726378,0.8864143349643965,
wdbc,GNB,Standard Scaling,Equality,6,,0.0104151999112218,0.0028661000542342,,,175,309,12,16,0.9896918986804976,0.985483105857838,0.8827141409999614,16,36,0,5,0.9867724867724867,0.977776059918917,0.8179178119091964,
wdbc,GNB,Standard Scaling,Equality,7,,0.0100735999876633,0.0043785000452771,,,172,311,10,19,0.9889742460569882,0.9843123990224882,0.8783783870336165,19,33,3,2,0.9788359788359788,0.9665047749446728,0.8139267835041308,
wdbc,GNB,Standard Scaling,Equality,8,,0.0094661000184714,0.0043909000232815,,,170,309,12,21,0.9881587317120908,0.9828899843550414,0.8615036080699299,21,30,6,0,0.9973544973544972,0.9955679241393528,0.8050764858994133,
wdbc,GNB,Standard Scaling,Equality,9,,0.010118699981831,0.0042911999626085,,,173,310,11,18,0.989952863270865,0.9852644204738268,0.8783880064499645,18,34,2,3,0.9761904761904762,0.969200937950938,0.810206767705014,
wdbc,GNB,Standard Scaling,Equality,10,,0.0083656000206246,0.0043137999018654,,,170,310,12,21,0.9872036681733928,0.9816344335568564,0.8616573988270126,20,35,0,1,0.998639455782313,0.997835497835498,0.9622504486493764,
wdbc,GNB,Standard Scaling,Equity,1,,0.0660552999470382,0.0123785000760108,0.8640537261962891,0.1266345977783203,177,304,18,13,0.9865315462569468,0.9812651496567056,0.8711689745379567,22,33,2,0,1.0,1.0,0.9296696802013684,
wdbc,GNB,Standard Scaling,Equity,2,,0.0305236999411135,0.0171949000796303,,,175,308,14,15,0.9872343903236352,0.9824834060048796,0.8785298139653683,21,31,4,1,0.9870129870129872,0.983346394984326,0.8243543321503594,
wdbc,GNB,Standard Scaling,Equity,3,,0.0379706999519839,0.0169017999432981,,,177,304,17,14,0.9864787721616024,0.9815861531790258,0.8710398443660893,21,36,0,0,1.0,1.0,1.0,
wdbc,GNB,Standard Scaling,Equity,4,,0.0331633000168949,0.0174963999306783,,,180,304,17,11,0.989055797491478,0.985161446160942,0.8841008338789158,17,36,0,4,0.9722222222222222,0.9616817964644052,0.8535639569308375,
wdbc,GNB,Standard Scaling,Equity,5,,0.0392652000300586,0.0106887998990714,,,179,303,18,12,0.9903116895826196,0.985621695335336,0.8758001787353146,19,34,2,2,0.9642857142857144,0.9632436528988252,0.8492063492063492,
wdbc,GNB,Standard Scaling,Equity,6,,0.0389516999712213,0.011004599975422,,,179,305,16,12,0.9872616659327038,0.9830715877815658,0.8837037796209574,18,35,1,3,0.9854497354497354,0.9764828565547756,0.8486684247915055,
