Dataset,Model,Preprocessor,Perspective,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
wilt,GNB,Baseline,Equality,1,,0.0160888999234884,0.0030126998899504,1.1698484420776367,0.0025520324707031,134,3753,368,100,0.8491663503796482,0.4543068326772421,0.3412874884575447,14,420,37,13,0.8430180727773725,0.4359474111750829,0.3270727098258619,
wilt,GNB,Baseline,Equality,2,,0.0087812000419944,0.0031194000039249,,,134,3735,385,101,0.8466339599256352,0.4334008365130345,0.3324795874754445,17,406,52,9,0.8518642929123278,0.5745293452934734,0.3484280014482181,
wilt,GNB,Baseline,Equality,3,,0.0084394000004976,0.0031911999685689,,,132,3770,350,103,0.8505236521379881,0.4471278805991619,0.3433417250392598,14,408,50,12,0.8126469600268726,0.4045259989432522,0.2857306308007618,
wilt,GNB,Baseline,Equality,4,,0.009119699941948,0.002960400073789,,,134,3736,384,101,0.8462652344556909,0.447055885327802,0.3329263932379958,16,409,49,10,0.8368323815922069,0.3984581778991833,0.3361702784139824,
wilt,GNB,Baseline,Equality,5,,0.0086684999987483,0.0031811000080779,,,135,3764,356,100,0.8457994216071059,0.4383563621614005,0.3486556704636516,13,423,35,13,0.8527880416526704,0.4671982501705213,0.3195154047613132,
wilt,GNB,Baseline,Equality,6,,0.0090301999589428,0.003125499933958,,,132,3764,356,103,0.8402137988019004,0.4298757294539035,0.3404459746630389,15,424,34,11,0.9082969432314412,0.5810043893507787,0.3757289259361439,
wilt,GNB,Baseline,Equality,7,,0.0074430999811738,0.0026995999505743,,,132,3746,374,103,0.8476616401569923,0.4511520072133117,0.3320362244702118,14,421,37,12,0.8337252267383272,0.4299105935766281,0.3360841668623106,
wilt,GNB,Baseline,Equality,8,,0.0071375999832525,0.0032485999399796,,,131,3779,341,104,0.8446178475521586,0.4452944601823621,0.3450075602047027,15,420,38,11,0.8710110849848841,0.4421356703833611,0.356639167447271,
wilt,GNB,Baseline,Equality,9,,0.0093796000583097,0.0030389000894501,,,127,3784,336,108,0.845617640983268,0.4440332447982482,0.3363545544962876,15,425,33,11,0.8302821632515957,0.4111225178281477,0.3808339836290672,
wilt,GNB,Baseline,Equality,10,,0.0068735999520868,0.0031119999475777,,,132,3768,353,103,0.851667897174307,0.447908474412902,0.3419001150467864,13,418,39,13,0.799781181619256,0.4349536840519336,0.3019238921076379,
wilt,GNB,Baseline,Equity,1,,0.0319205000996589,0.0052070999518036,1.1711835861206057,0.0486125946044921,0,4121,0,234,0.9036869733302636,0.593610321893846,0.0,0,457,0,27,0.8907528973174487,0.5995003600541557,0.0,
wilt,GNB,Baseline,Equity,2,,0.0172336000250652,0.0056400999892503,,,0,4120,0,235,0.9005308820491634,0.5795854386144533,0.0,0,458,0,26,0.9190460194827008,0.7246599111443254,0.0,
