NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,CAT_00,CAT_01,CAT_02,target
128,1,25,2845.0,16,110,45.07,265.1,99,16.78,197.4,3,2.7,10.0,91,11.01,244.7,415,0,1,0
107,1,26,2301.0,35,123,27.47,161.6,103,16.62,195.5,3,3.7,13.7,103,11.45,254.4,415,0,1,0
137,0,0,1616.0,31,114,41.38,243.4,110,10.3,121.2,5,3.29,12.2,104,7.32,162.6,415,0,0,0
84,2,0,2510.0,35,71,50.9,299.4,88,5.26,61.9,7,1.78,6.6,89,8.86,196.9,408,1,0,0
75,3,0,155.0,36,113,28.34,166.7,122,12.61,148.3,3,2.73,10.1,121,8.41,186.9,415,1,0,0
118,0,0,3355.0,1,98,37.98,223.4,101,18.75,220.6,6,1.7,6.3,118,9.18,203.9,510,1,0,0
121,3,24,1516.0,19,88,37.09,218.2,108,29.62,348.5,7,2.03,7.5,118,9.57,212.6,510,0,1,0
147,0,0,116.0,24,79,26.69,157.0,94,8.76,103.1,6,1.92,7.1,96,9.53,211.8,415,1,0,0
117,1,0,425.0,18,97,31.37,184.5,80,29.89,351.6,4,2.35,8.7,90,9.71,215.8,408,0,0,0
141,0,37,163.0,49,84,43.96,258.6,111,18.87,222.0,5,3.02,11.2,97,14.69,326.4,415,1,1,0
65,4,0,100.0,15,137,21.95,129.1,83,19.42,228.5,6,3.43,12.7,111,9.4,208.8,415,0,0,1
74,0,0,916.0,39,127,31.91,187.7,148,13.89,163.4,5,2.46,9.1,94,8.82,196.0,415,0,0,0
168,1,0,1854.0,12,96,21.9,128.8,71,8.92,104.9,2,3.02,11.2,128,6.35,141.1,408,0,0,0
95,3,0,3509.0,26,88,26.62,156.6,75,21.05,247.6,5,3.32,12.3,115,8.65,192.3,510,0,0,0
62,4,0,2065.0,12,70,20.52,120.7,76,26.11,307.2,6,3.54,13.1,99,9.14,203.0,415,0,0,0
161,4,0,1268.0,34,67,56.59,332.9,97,27.01,317.8,9,1.46,5.4,128,7.23,160.6,415,0,0,1
85,1,27,1218.0,13,139,33.39,196.4,90,23.88,280.9,4,3.73,13.8,75,4.02,89.3,408,0,1,0
93,3,0,3052.0,46,114,32.42,190.7,111,18.55,218.2,3,2.19,8.1,121,5.83,129.6,510,0,0,0
76,1,33,1530.0,45,66,32.25,189.7,65,18.09,212.8,5,2.7,10.0,108,7.46,165.7,510,0,1,0
73,1,0,2374.0,43,90,38.15,224.4,88,13.56,159.5,2,3.51,13.0,74,8.68,192.8,415,0,0,0
147,0,0,3606.0,9,117,26.37,155.1,93,20.37,239.7,4,2.86,10.6,133,9.4,208.8,415,0,0,0
77,5,0,3452.0,5,89,10.61,62.4,121,14.44,169.9,6,1.54,5.7,64,9.43,209.6,408,0,0,1
130,0,0,1618.0,3,112,31.11,183.0,99,6.2,72.9,19,2.57,9.5,78,8.18,181.8,415,0,0,0
111,2,0,1186.0,40,103,18.77,110.4,102,11.67,137.3,6,2.08,7.7,105,8.53,189.6,415,0,0,0
132,0,0,845.0,45,86,13.79,81.1,72,20.84,245.2,2,2.78,10.3,115,10.67,237.0,510,0,0,0
174,3,0,182.0,29,76,21.13,124.3,112,23.55,277.1,5,4.19,15.5,115,11.28,250.7,415,0,0,0
57,0,39,1584.0,50,115,36.21,213.0,112,16.24,191.1,3,2.57,9.5,115,8.22,182.7,408,0,1,0
54,3,0,4803.0,26,73,22.83,134.3,100,13.22,155.5,4,3.97,14.7,68,4.59,102.1,408,0,0,0
20,0,0,1355.0,24,109,32.3,190.0,84,21.95,258.2,6,1.7,6.3,102,8.17,181.5,415,0,0,0
49,1,0,4399.0,11,117,20.28,119.3,109,18.28,215.1,1,3.0,11.1,90,8.04,178.7,510,0,0,0
142,2,0,4702.0,14,95,14.42,84.8,63,11.62,136.7,6,3.83,14.2,148,11.27,250.5,415,0,0,0
75,1,0,2238.0,30,105,38.44,226.1,107,17.13,201.5,5,2.78,10.3,98,11.08,246.2,510,0,0,0
172,3,0,2875.0,18,121,36.04,212.0,115,2.65,31.2,10,3.4,12.6,78,13.2,293.3,408,0,0,0
12,1,0,1723.0,3,118,42.43,249.6,119,21.45,252.4,3,3.19,11.8,90,12.61,280.2,408,0,0,1
57,0,25,3541.0,36,94,30.06,176.8,75,16.58,195.0,4,2.24,8.3,116,9.61,213.5,408,0,1,0
72,3,37,1814.0,10,80,37.4,220.0,102,18.47,217.3,6,3.97,14.7,71,6.88,152.8,415,0,1,0
36,0,30,758.0,0,128,24.87,146.3,80,13.81,162.5,6,3.92,14.5,109,5.82,129.3,408,0,1,0
78,1,0,1361.0,19,64,22.24,130.8,116,19.01,223.7,5,2.7,10.0,108,10.25,227.8,415,0,0,0
136,3,33,3901.0,0,106,34.66,203.9,99,15.95,187.6,6,2.84,10.5,107,4.58,101.7,415,1,1,0
149,1,0,270.0,31,94,23.87,140.4,92,23.1,271.8,9,3.0,11.1,108,8.47,188.3,408,0,0,0
98,3,0,2360.0,10,102,21.47,126.3,85,14.18,166.8,2,2.54,9.4,135,8.45,187.8,408,0,0,0
135,0,41,2906.0,20,85,29.43,173.1,107,17.33,203.9,15,3.94,14.6,78,5.5,122.2,408,1,1,1
34,2,0,1386.0,2,82,21.22,124.8,98,23.99,282.2,4,2.7,10.0,78,14.02,311.5,510,0,0,0
160,3,0,3296.0,13,77,14.59,85.8,110,14.05,165.3,4,2.48,9.2,92,8.03,178.5,415,0,0,0
64,1,0,1283.0,48,67,26.18,154.0,118,19.19,225.8,3,0.95,3.5,86,11.94,265.3,510,0,0,0
59,2,28,1357.0,37,97,20.55,120.9,92,18.11,213.0,5,2.3,8.5,116,7.34,163.1,408,0,1,0
65,3,0,1883.0,22,120,35.92,211.3,122,13.82,162.6,5,3.56,13.2,118,6.06,134.7,415,0,0,0
142,2,0,1912.0,8,133,31.79,187.0,74,11.44,134.6,5,2.0,7.4,127,10.9,242.2,408,0,0,0
119,5,0,3685.0,13,114,27.05,159.1,117,19.66,231.3,3,2.38,8.8,91,6.44,143.2,415,0,0,1
97,1,24,4109.0,50,135,22.64,133.2,58,18.46,217.2,3,2.97,11.0,79,3.18,70.6,415,0,1,0
52,3,0,4537.0,12,108,32.62,191.9,96,22.93,269.8,5,2.11,7.8,87,10.66,236.8,408,0,0,0
60,1,0,4899.0,15,57,37.5,220.6,115,17.94,211.1,3,1.84,6.8,129,11.21,249.0,408,0,0,0
10,2,0,1146.0,45,112,31.64,186.1,66,16.17,190.2,6,3.08,11.4,57,12.73,282.8,408,0,0,0
96,2,0,4028.0,44,117,27.23,160.2,67,22.74,267.5,5,2.51,9.3,68,10.28,228.5,415,0,0,0
87,5,0,1365.0,50,83,25.67,151.0,116,18.67,219.7,3,2.62,9.7,127,9.18,203.9,415,0,0,1
81,1,0,1886.0,15,67,29.84,175.5,85,21.19,249.3,3,2.75,10.2,98,12.16,270.2,408,0,0,0
141,1,0,684.0,5,98,21.57,126.9,62,15.3,180.0,2,2.16,8.0,128,6.34,140.8,415,0,0,0
121,3,30,2254.0,5,129,33.73,198.4,77,6.4,75.3,3,1.57,5.8,77,8.15,181.2,408,0,1,1
