NUM_00,NUM_01,NUM_02,CAT_00,CAT_01,target
113.0,3,2,1,1,0
101.0,7,2,1,0,0
110.0,10,25,1,1,1
121.0,5,18,1,1,0
82.0,6,0,1,2,0
85.0,6,2,1,2,0
84.0,7,28,1,0,0
98.0,4,12,1,2,0
92.0,6,5,1,2,0
90.0,7,0,1,0,0
88.0,6,2,1,2,0
84.0,6,0,1,2,0
114.0,0,0,1,1,1
70.0,6,18,1,2,0
109.0,10,10,1,1,1
83.0,6,12,1,2,0
108.0,6,25,1,2,0
95.0,3,12,1,1,0
90.0,6,2,1,2,0
107.0,10,2,1,1,1
86.0,7,0,1,0,0
70.0,4,12,1,2,0
114.0,10,28,1,1,1
117.0,10,11,1,1,1
112.0,10,12,1,1,1
88.0,0,28,1,1,1
106.0,0,11,1,1,1
125.0,0,2,1,1,1
94.0,10,28,1,1,1
103.0,5,28,1,1,0
123.0,10,13,1,1,1
100.0,6,6,1,2,0
90.0,3,1,1,1,0
70.0,6,16,1,2,0
90.0,3,13,1,1,0
99.0,3,28,1,1,0
123.0,3,12,1,1,0
127.0,10,12,1,1,1
124.0,10,21,1,1,1
110.0,9,1,1,2,0
94.0,10,12,1,1,1
112.0,10,10,1,1,1
123.0,10,6,1,1,1
70.0,3,0,1,1,0
102.0,6,12,1,2,0
126.0,0,1,1,1,1
121.0,10,10,1,1,1
100.0,4,12,1,2,0
85.0,4,4,1,2,0
86.0,6,4,1,2,0
101.0,4,2,1,2,0
91.0,5,10,1,1,0
113.0,10,12,1,1,1
103.0,6,5,1,2,0
117.0,8,0,1,1,0
72.0,4,12,1,2,0
70.0,7,0,1,0,0
112.0,3,0,1,1,0
65.0,7,0,1,0,0
97.0,5,6,1,1,0
100.0,6,12,1,2,0
99.0,6,0,1,2,0
91.0,4,2,1,2,0
107.0,2,12,1,1,0
94.0,4,12,1,2,0
104.0,5,7,1,1,0
117.0,10,28,1,1,1
104.0,5,12,1,1,0
115.0,2,24,1,1,0
123.0,8,6,0,1,0
103.0,5,12,0,1,0
109.0,6,12,0,2,0
99.0,5,20,0,1,0
100.0,0,14,0,1,1
100.0,5,21,0,1,0
107.0,10,10,0,1,1
70.0,7,0,0,0,0
91.0,5,3,0,1,0
117.0,10,12,0,1,1
115.0,10,18,0,1,1
93.0,5,12,0,1,0
103.0,10,3,0,1,1
99.0,5,18,0,1,0
115.0,3,7,0,1,0
104.0,10,9,0,1,1
116.0,5,14,0,1,0
94.0,3,16,0,1,0
114.0,0,12,0,1,1
113.0,5,0,0,1,0
106.0,4,28,0,2,0
119.0,10,18,0,1,1
114.0,10,15,0,1,1
108.0,10,1,0,1,1
97.0,3,13,0,1,0
83.0,7,2,0,0,0
103.0,5,12,0,1,0
104.0,5,22,0,1,0
97.0,5,0,0,1,0
109.0,5,25,0,1,0
90.0,5,5,0,1,0
114.0,6,2,0,2,0
99.0,5,9,0,1,0
94.0,10,6,0,1,1
86.0,5,2,0,1,0
93.0,10,6,0,1,1
91.0,6,2,0,2,0
109.0,8,10,0,1,0
91.0,5,2,0,1,0
106.0,6,2,0,2,0
109.0,10,12,0,1,1
111.0,5,16,0,1,0
111.0,5,28,0,1,0
106.0,6,28,0,2,0
86.0,6,10,0,2,0
107.0,3,0,0,1,0
103.0,7,2,0,0,0
100.0,3,0,0,1,0
101.0,5,9,0,1,0
97.0,4,7,0,2,0
105.0,6,13,0,2,0
98.0,4,8,0,2,0
111.0,5,0,0,1,0
88.0,3,18,0,1,0
123.0,5,2,0,1,0
