NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,target
0.01,1.0,2.5,60.0,1.0,9.6,1.0,0.4,0.0,2.0,0.0,4.0,0,8.0,3.33,5.0,3.0,5.0,3.0,24.0,1.0,False
0.06,3.0,8.59,1670.82,1.0,22.64,2.0,0.12,4.0,14.0,0.0,20.0,0,45.0,92.82,24.0,21.0,9.0,11.0,194.49,2.0,True
0.0,17.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,80.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,False
0.0,21.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,False
0.07,3.0,8.25,1791.33,1.0,26.32,2.0,0.12,2.0,10.0,1.0,16.0,0,48.0,99.52,30.0,18.0,11.0,12.0,217.13,2.0,False
0.15,11.0,27.77,12496.15,6.0,16.2,5.0,0.04,1.0,15.0,0.0,18.0,0,90.0,694.23,52.0,38.0,19.0,13.0,450.0,6.0,False
0.52,18.0,30.64,47424.91,1.0,50.52,14.0,0.03,8.0,59.0,3.0,79.0,7,247.0,2634.72,151.0,96.0,30.0,47.0,1547.9,14.0,True
0.06,1.0,6.86,1141.85,1.0,24.28,1.0,0.15,0.0,5.0,0.0,7.0,0,45.0,63.44,29.0,16.0,6.0,7.0,166.52,1.0,True
0.02,1.0,5.0,364.54,1.0,14.58,1.0,0.2,0.0,5.0,0.0,7.0,0,23.0,20.25,15.0,8.0,5.0,4.0,72.91,1.0,False
0.14,15.0,18.0,7330.89,7.0,22.63,2.0,0.06,3.0,13.0,1.0,23.0,4,83.0,407.27,47.0,36.0,15.0,15.0,407.27,8.0,False
0.0,1.0,1.5,17.41,1.0,7.74,1.0,0.67,0.0,2.0,0.0,4.0,0,5.0,0.97,3.0,2.0,3.0,2.0,11.61,1.0,False
0.03,5.0,11.0,1144.0,3.0,9.45,1.0,0.09,1.0,10.0,0.0,13.0,0,26.0,63.56,16.0,10.0,11.0,5.0,104.0,3.0,False
0.21,21.0,30.84,19763.53,9.0,20.77,3.0,0.03,4.0,41.0,9.0,56.0,0,123.0,1097.97,76.0,47.0,21.0,16.0,640.76,11.0,False
0.19,7.0,18.13,10080.24,1.0,30.65,5.0,0.06,0.0,35.0,0.0,35.0,0,99.0,560.01,58.0,41.0,23.0,26.0,555.86,6.0,False
0.01,1.0,2.0,86.37,1.0,21.59,1.0,0.5,0.0,3.0,0.0,7.0,0,13.0,4.8,7.0,6.0,4.0,6.0,43.19,1.0,False
0.03,3.0,5.0,456.88,1.0,18.28,1.0,0.2,1.0,10.0,0.0,13.0,0,24.0,25.38,14.0,10.0,7.0,7.0,91.38,2.0,False
0.08,3.0,8.31,1998.64,1.0,28.92,2.0,0.12,3.0,15.0,2.0,22.0,0,49.0,111.04,30.0,19.0,14.0,16.0,240.44,2.0,False
0.0,7.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,False
0.63,61.0,37.73,71326.03,28.0,50.09,28.0,0.03,4.0,44.0,1.0,51.0,0,330.0,3962.56,215.0,115.0,21.0,32.0,1890.21,31.0,True
0.06,5.0,6.68,1209.56,1.0,27.12,2.0,0.15,2.0,12.0,0.0,16.0,0,39.0,67.2,22.0,17.0,11.0,14.0,181.11,3.0,False
0.01,1.0,2.5,79.25,1.0,12.68,1.0,0.4,0.0,2.0,0.0,4.0,0,10.0,4.4,6.0,4.0,5.0,4.0,31.7,1.0,False
0.0,23.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,False
0.37,15.0,34.0,37951.13,4.0,32.83,4.0,0.03,3.0,11.0,0.0,19.0,3,207.0,2108.4,156.0,51.0,24.0,18.0,1116.21,8.0,False
0.06,3.0,11.43,2187.86,1.0,16.75,1.0,0.09,1.0,8.0,0.0,11.0,0,49.0,121.55,29.0,20.0,8.0,7.0,191.44,2.0,False
0.09,11.0,11.2,3101.34,5.0,24.72,3.0,0.09,2.0,22.0,0.0,26.0,0,57.0,172.3,33.0,24.0,14.0,15.0,276.9,6.0,False
0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False
0.45,37.0,52.5,71083.18,16.0,25.79,6.0,0.02,40.0,70.0,39.0,163.0,12,258.0,3949.07,153.0,105.0,19.0,19.0,1353.97,19.0,False
0.03,1.0,2.18,213.1,1.0,44.77,1.0,0.46,0.0,5.0,0.0,7.0,0,25.0,11.84,13.0,12.0,4.0,11.0,97.67,1.0,False
0.1,3.0,11.0,3154.0,1.0,26.07,2.0,0.09,1.0,13.0,0.0,16.0,0,61.0,175.22,39.0,22.0,13.0,13.0,286.73,2.0,False
0.01,1.0,2.5,49.13,1.0,7.86,1.0,0.4,0.0,2.0,0.0,4.0,0,7.0,2.73,5.0,2.0,5.0,2.0,19.65,1.0,False
