NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,target
1.3,1.4,1.3,1.3,1.4,1.3,1.4,1.3,2,2.0,2,1.1,2,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.4,False
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
0.31,21.0,23.04,21378.61,1.0,40.27,11.0,0.04,6,65.0,10,83.0,0,171.0,1187.7,107.0,64.0,18.0,25.0,927.89,11.0,True
0.26,15.0,14.86,11436.73,6.0,51.81,8.0,0.07,5,37.0,2,46.0,0,141.0,635.37,89.0,52.0,16.0,28.0,769.78,8.0,True
0.08,5.0,9.35,2381.95,1.0,27.25,3.0,0.11,2,21.0,0,25.0,0,58.0,132.33,41.0,17.0,11.0,10.0,254.75,3.0,True
0.19,5.0,11.27,6423.73,1.0,50.53,3.0,0.09,4,35.0,2,43.0,0,115.0,356.87,74.0,41.0,11.0,20.0,569.73,3.0,True
0.25,11.0,15.43,11596.34,1.0,48.72,6.0,0.06,2,41.0,2,48.0,0,149.0,644.24,95.0,54.0,12.0,21.0,751.61,6.0,True
0.4,23.0,27.27,33061.94,1.0,44.45,12.0,0.04,2,62.0,3,69.0,0,231.0,1836.77,156.0,75.0,16.0,22.0,1212.27,12.0,True
0.25,11.0,16.2,12069.0,1.0,45.99,6.0,0.06,1,41.0,2,47.0,0,149.0,670.5,95.0,54.0,12.0,20.0,745.0,6.0,True
0.27,13.0,17.82,14278.39,1.0,44.97,7.0,0.06,1,42.0,2,48.0,0,155.0,793.24,99.0,56.0,14.0,22.0,801.34,7.0,True
0.34,17.0,20.7,21261.63,1.0,49.62,9.0,0.05,2,50.0,2,58.0,0,193.0,1181.2,124.0,69.0,15.0,25.0,1027.13,9.0,True
0.27,11.0,19.73,15808.22,1.0,40.62,5.0,0.05,5,54.0,4,65.0,0,155.0,878.23,93.0,62.0,14.0,22.0,801.34,6.0,True
0.57,21.0,26.6,45222.23,4.0,63.91,8.0,0.04,12,88.0,14,116.0,0,289.0,2512.35,177.0,112.0,19.0,40.0,1700.08,11.0,True
0.12,7.0,11.37,3953.7,1.0,30.6,4.0,0.09,0,20.0,0,24.0,0,74.0,219.65,43.0,31.0,11.0,15.0,347.83,4.0,True
0.42,37.0,29.25,36434.54,12.0,42.59,19.0,0.03,7,61.0,7,77.0,0,231.0,2024.14,153.0,78.0,18.0,24.0,1245.63,19.0,True
0.02,1.0,3.5,163.12,1.0,13.32,1.0,0.29,0,5.0,0,9.0,0,13.0,9.06,8.0,5.0,7.0,5.0,46.6,1.0,True
0.06,3.0,5.43,1040.96,1.0,35.32,2.0,0.18,1,13.0,0,16.0,0,43.0,57.83,24.0,19.0,8.0,14.0,191.76,2.0,True
0.5,12.0,29.86,44757.43,3.0,50.21,6.0,0.03,15,71.0,4,93.0,0,257.0,2486.52,162.0,95.0,22.0,35.0,1499.05,7.0,True
0.1,1.0,4.74,1454.65,1.0,64.87,1.0,0.21,1,18.0,0,23.0,0,67.0,80.81,44.0,23.0,7.0,17.0,307.19,1.0,True
