NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,CAT_00,target
1.3,1.4,1.3,1.3,1.4,1.3,1.4,1.3,2,2.0,2,1.1,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.4,2,no
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,yes
2.8,106.0,103.53,870848.58,50.0,81.24,51.0,0.01,9,359.0,35,415.0,1159.0,48380.48,692.0,467.0,47.0,106.0,8411.31,59.0,10,yes
1.24,65.0,39.82,148644.06,10.0,93.74,16.0,0.03,34,174.0,15,230.0,575.0,8258.0,343.0,232.0,23.0,67.0,3732.82,33.0,5,yes
1.04,51.0,29.48,92103.07,12.0,105.96,13.0,0.03,19,142.0,7,175.0,500.0,5116.84,310.0,190.0,18.0,58.0,3123.96,26.0,4,yes
0.9,31.0,32.25,87589.65,13.0,84.14,11.0,0.03,20,139.0,2,163.0,440.0,4866.09,260.0,180.0,19.0,53.0,2714.77,16.0,0,yes
0.88,21.0,31.68,83311.56,6.0,83.01,11.0,0.03,17,114.0,18,152.0,432.0,4628.42,256.0,176.0,18.0,50.0,2629.78,11.0,0,yes
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1.0,0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,no
0.03,3.0,5.79,509.14,1.0,15.21,2.0,0.17,1,8.0,0,14.0,22.0,28.29,13.0,9.0,9.0,7.0,88.0,2.0,0,no
0.02,3.0,7.0,451.71,1.0,9.22,2.0,0.14,0,8.0,0,10.0,18.0,25.09,11.0,7.0,8.0,4.0,64.53,2.0,0,no
0.01,1.0,2.0,63.4,1.0,15.85,1.0,0.5,0,3.0,0,8.0,10.0,3.52,5.0,5.0,4.0,5.0,31.7,1.0,1,no
0.0,1.0,1.5,17.41,1.0,7.74,1.0,0.67,2,2.0,0,6.0,5.0,0.97,3.0,2.0,3.0,2.0,11.61,1.0,0,no
0.01,3.0,3.75,137.03,1.0,9.74,1.0,0.27,0,3.0,9,14.0,11.0,7.61,6.0,5.0,6.0,4.0,36.54,2.0,0,no
0.01,1.0,1.5,37.9,1.0,16.84,1.0,0.67,0,2.0,0,4.0,9.0,2.11,5.0,4.0,3.0,4.0,25.27,1.0,0,no
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,0,no
0.0,1.0,1.5,17.41,1.0,7.74,1.0,0.67,0,0.0,0,2.0,5.0,0.97,1.0,0.0,1.0,0.0,11.61,1.0,0,no
0.14,7.0,19.0,8152.97,1.0,22.58,2.0,0.05,7,29.0,1,39.0,83.0,452.94,49.0,34.0,19.0,17.0,429.1,4.0,0,no
0.01,1.0,2.5,49.13,1.0,7.86,1.0,0.4,0,2.0,1,5.0,7.0,2.73,5.0,2.0,5.0,2.0,19.65,1.0,0,no
0.03,3.0,4.0,350.27,1.0,21.89,1.0,0.25,0,8.0,0,9.0,21.0,19.46,11.0,10.0,8.0,10.0,87.57,2.0,0,no
0.03,3.0,4.0,350.27,1.0,21.89,1.0,0.25,0,8.0,0,9.0,21.0,19.46,11.0,10.0,8.0,10.0,87.57,2.0,0,no
0.02,1.0,2.86,163.88,1.0,20.08,1.0,0.35,0,5.0,0,6.0,16.0,9.1,8.0,8.0,5.0,7.0,57.36,1.0,0,no
0.02,1.0,2.86,163.88,1.0,20.08,1.0,0.35,0,5.0,0,6.0,16.0,9.1,8.0,8.0,5.0,7.0,57.36,1.0,0,no
0.04,1.0,3.77,407.26,1.0,28.67,1.0,0.27,1,8.0,0,11.0,25.0,22.63,11.0,14.0,7.0,13.0,108.05,1.0,0,no
0.05,3.0,8.0,1177.29,1.0,18.4,2.0,0.13,0,11.0,1,14.0,33.0,65.4,17.0,16.0,11.0,11.0,147.16,2.0,0,no
0.28,19.0,18.2,15102.51,4.0,45.59,5.0,0.05,4,55.0,2,63.0,157.0,839.03,92.0,65.0,14.0,25.0,829.81,10.0,0,no
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1.0,0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,no
0.38,19.0,19.92,22614.95,4.0,57.0,5.0,0.05,8,56.0,5,74.0,193.0,1256.39,126.0,67.0,22.0,37.0,1135.35,12.0,0,no
0.02,1.0,2.0,107.78,1.0,26.94,1.0,0.5,0,5.0,0,10.0,17.0,5.99,9.0,8.0,3.0,8.0,53.89,1.0,0,no
0.02,1.0,1.5,88.22,1.0,39.21,1.0,0.67,0,5.0,0,7.0,17.0,4.9,9.0,8.0,3.0,6.0,58.81,1.0,0,no
0.01,1.0,2.5,38.77,1.0,6.2,1.0,0.4,0,2.0,0,4.0,6.0,2.15,5.0,1.0,5.0,1.0,15.51,1.0,0,no
0.0,1.0,1.5,17.41,1.0,7.74,1.0,0.67,0,2.0,0,5.0,5.0,0.97,3.0,2.0,3.0,2.0,11.61,1.0,0,no
0.16,17.0,13.68,6705.26,5.0,35.81,5.0,0.07,1,34.0,1,38.0,98.0,372.51,58.0,40.0,13.0,19.0,490.0,9.0,0,no
0.05,5.0,6.5,898.96,1.0,21.28,2.0,0.15,1,12.0,0,15.0,32.0,49.94,19.0,13.0,10.0,10.0,138.3,3.0,0,no
0.18,11.0,14.61,8030.13,1.0,37.63,3.0,0.07,5,35.0,1,45.0,104.0,446.12,62.0,42.0,16.0,23.0,549.68,6.0,1,no
0.17,7.0,13.89,7227.91,1.0,37.44,2.0,0.07,4,29.0,1,39.0,105.0,401.55,61.0,44.0,12.0,19.0,520.19,4.0,2,no
0.01,3.0,4.5,135.0,1.0,6.67,2.0,0.22,0,5.0,0,7.0,10.0,7.5,7.0,3.0,6.0,2.0,30.0,2.0,0,no
0.39,19.0,15.03,17719.21,1.0,78.4,10.0,0.07,7,73.0,0,82.0,220.0,984.4,138.0,82.0,11.0,30.0,1178.66,10.0,0,no
0.02,3.0,5.6,373.0,1.0,11.89,2.0,0.18,1,8.0,0,13.0,18.0,20.72,11.0,7.0,8.0,5.0,66.61,2.0,0,no
0.04,5.0,6.0,725.57,1.0,20.15,2.0,0.17,1,9.0,0,12.0,29.0,40.31,17.0,12.0,9.0,9.0,120.93,3.0,0,no
0.15,7.0,7.13,3306.6,1.0,65.12,3.0,0.14,5,28.0,28,64.0,92.0,183.7,54.0,38.0,9.0,24.0,464.08,4.0,0,no
0.0,1.0,1.5,12.0,1.0,5.33,1.0,0.67,0,2.0,0,4.0,4.0,0.67,3.0,1.0,3.0,1.0,8.0,1.0,0,no
0.0,1.0,1.5,12.0,1.0,5.33,1.0,0.67,0,2.0,0,4.0,4.0,0.67,3.0,1.0,3.0,1.0,8.0,1.0,0,no
0.0,1.0,1.5,12.0,1.0,5.33,1.0,0.67,0,2.0,0,4.0,4.0,0.67,3.0,1.0,3.0,1.0,8.0,1.0,0,no
0.0,1.0,1.5,12.0,1.0,5.33,1.0,0.67,0,2.0,0,4.0,4.0,0.67,3.0,1.0,3.0,1.0,8.0,1.0,0,no
0.0,1.0,1.5,12.0,1.0,5.33,1.0,0.67,0,2.0,0,4.0,4.0,0.67,3.0,1.0,3.0,1.0,8.0,1.0,0,no
0.0,1.0,1.5,12.0,1.0,5.33,1.0,0.67,0,2.0,0,4.0,4.0,0.67,3.0,1.0,3.0,1.0,8.0,1.0,0,no
0.0,1.0,1.5,12.0,1.0,5.33,1.0,0.67,0,2.0,0,4.0,4.0,0.67,3.0,1.0,3.0,1.0,8.0,1.0,0,no
