NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,target
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,2,2.0,2,1.1,2,1.2,1.2,1.2,1.2,1.4,False
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,True
0.7,27.68,57833.24,75.47,0.04,318.0,3212.96,2089.21,17.0,3.0,2.0,31,80.0,44,91.0,11,192.0,126.0,29.0,66.0,9.0,True
0.85,28.37,72282.68,89.79,0.04,381.0,4015.7,2547.56,38.0,5.0,18.0,24,97.0,41,109.0,12,229.0,152.0,28.0,75.0,21.0,True
6.9,75.93,1571506.88,272.58,0.01,2339.0,87305.94,20696.93,178.0,41.0,82.0,49,457.0,71,505.0,48,1397.0,942.0,64.0,397.0,106.0,True
1.43,52.91,226588.75,80.95,0.02,619.0,12588.26,4282.78,40.0,7.0,14.0,39,103.0,32,107.0,4,359.0,260.0,35.0,86.0,25.0,True
0.64,28.77,55178.46,66.66,0.03,294.0,3065.47,1917.93,21.0,1.0,8.0,49,60.0,71,74.0,14,169.0,125.0,29.0,63.0,11.0,True
8.65,105.26,2730637.23,246.47,0.01,2785.0,151702.06,25942.69,236.0,123.0,123.0,225,600.0,40,602.0,2,1641.0,1144.0,99.0,538.0,136.0,True
0.24,9.93,7127.8,72.35,0.1,140.0,395.99,718.1,3.0,1.0,2.0,8,28.0,3,29.0,1,73.0,67.0,8.0,27.0,2.0,True
0.48,23.72,34338.99,61.05,0.04,254.0,1907.72,1447.91,5.0,1.0,1.0,10,34.0,2,36.0,2,137.0,117.0,15.0,37.0,3.0,True
1.02,26.63,81152.69,114.46,0.04,434.0,4508.48,3047.71,21.0,1.0,6.0,18,57.0,14,70.0,13,240.0,194.0,28.0,102.0,11.0,True
0.44,23.91,31619.49,55.32,0.04,223.0,1756.64,1322.55,39.0,12.0,4.0,17,89.0,32,109.0,20,144.0,79.0,23.0,38.0,20.0,True
0.37,24.97,27356.45,43.87,0.04,187.0,1519.8,1095.44,5.0,1.0,3.0,24,35.0,15,37.0,2,99.0,88.0,21.0,37.0,3.0,True
1.13,20.69,70100.61,163.74,0.05,488.0,3894.48,3387.95,57.0,8.0,9.0,17,66.0,38,90.0,24,287.0,201.0,21.0,102.0,29.0,True
0.12,12.66,4451.81,27.79,0.08,71.0,247.32,351.75,3.0,1.0,2.0,9,18.0,25,19.0,1,44.0,27.0,15.0,16.0,2.0,True
0.95,33.3,94929.66,85.6,0.03,430.0,5273.87,2850.62,41.0,4.0,5.0,39,150.0,62,152.0,2,243.0,187.0,26.0,73.0,21.0,True
0.18,13.94,7516.89,38.68,0.07,100.0,417.61,539.23,9.0,5.0,4.0,12,22.0,0,22.0,0,59.0,41.0,17.0,25.0,5.0,True
1.25,23.38,87570.07,160.24,0.04,536.0,4865.0,3745.93,23.0,1.0,1.0,17,68.0,15,69.0,1,300.0,236.0,21.0,106.0,12.0,True
0.39,21.31,24859.27,54.76,0.05,191.0,1381.07,1166.73,12.0,1.0,8.0,10,46.0,1,49.0,3,116.0,75.0,25.0,44.0,9.0,True
