NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,NUM_21,NUM_22,NUM_23,NUM_24,NUM_25,NUM_26,NUM_27,NUM_28,NUM_29,NUM_30,NUM_31,NUM_32,NUM_33,NUM_34,NUM_35,CAT_00,target
1.0,0,0.0,1.0,0.1,0.0,0.0,1,1.0,1.0,1,0.0,27.9,7.78,1687.93,0.07,57.0,0.13,93.77,217.02,2,0,0,10.0,10.0,1.0,0.0,0.0,2.0,0.08,13.0,28.0,29.0,9.0,5,0.0,0,False
1.0,4,0.0,1.0,0.07,0.0,0.0,1,1.0,5.0,1,0.0,40.67,14.0,7972.25,0.19,107.0,0.07,442.9,569.45,1,0,0,14.0,14.0,1.0,0.0,0.0,6.0,0.06,16.0,52.0,55.0,26.0,14,0.0,2,False
19.0,1,26.0,11.0,0.26,12.0,2.17,2,0.18,34.0,1,0.0,33.74,23.2,18157.82,0.26,136.0,0.04,1008.77,782.66,27,4,13,38.0,42.0,0.09,7.0,13.0,25.0,0.13,83.0,58.0,78.0,30.0,24,30.91,0,False
17.0,2,24.0,9.0,0.47,8.0,3.0,4,0.44,32.0,6,0.63,26.33,31.74,26522.64,0.28,154.0,0.03,1473.48,835.64,2,0,0,19.0,19.0,0.67,8.0,14.0,25.0,0.41,22.0,73.0,81.0,23.0,20,0.0,2,False
1.0,1,0.0,1.0,0.11,0.0,0.0,1,1.0,2.0,1,0.0,42.25,4.43,830.35,0.06,42.0,0.23,46.13,187.3,6,0,2,9.0,9.0,1.0,0.0,0.0,3.0,0.06,18.0,19.0,23.0,15.0,7,18.18,0,False
15.0,3,28.0,8.0,0.28,14.0,2.0,6,0.75,32.0,6,0.71,25.81,30.07,23331.58,0.26,143.0,0.03,1296.2,775.96,1,0,0,29.0,29.0,0.75,7.0,14.0,26.0,0.26,31.0,63.0,80.0,22.0,21,0.0,2,False
1.0,0,0.0,1.0,0.33,0.0,0.0,1,1.0,1.0,1,0.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,0,0,1,3.0,3.0,1.0,0.0,0.0,2.0,0.2,5.0,2.0,6.0,2.0,6,25.0,1,False
5.0,4,8.0,3.0,0.07,4.0,2.0,3,1.0,15.0,1,0.0,46.77,30.69,44054.95,0.48,243.0,0.03,2447.5,1435.37,26,0,4,41.0,41.0,0.33,2.0,4.0,14.0,0.04,72.0,114.0,129.0,39.0,21,8.89,1,True
9.0,3,16.0,5.0,0.21,8.0,2.0,4,0.8,21.0,1,0.0,33.71,14.84,7426.6,0.17,101.0,0.07,412.59,500.37,3,0,0,24.0,24.0,0.2,4.0,8.0,18.0,0.18,28.0,47.0,54.0,19.0,12,0.0,3,False
37.0,2,60.0,19.0,0.23,24.0,2.5,2,0.11,63.0,18,0.94,60.94,26.48,42724.78,0.54,266.0,0.04,2373.6,1613.58,6,5,4,77.0,82.0,0.95,18.0,30.0,46.0,0.2,93.0,116.0,150.0,46.0,21,10.47,1,False
