NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,CAT_00,CAT_01,CAT_02,target
1,27.0,4.0,24.0,14,1.0,0,0,89.0,1
2,17.0,3.0,14.0,3,1.0,0,0,89.0,0
4,51.0,2.5,0.0,22,1.0,0,0,89.0,1
17,28.0,5.5,0.0,5,1.0,0,0,89.0,0
15,38.0,5.5,7.0,9,1.0,0,0,89.0,0
6,34.0,6.0,20.0,11,1.0,0,0,89.0,0
13,31.0,6.0,21.0,0,1.0,0,0,89.0,1
19,24.0,2.5,27.0,16,1.0,0,0,89.0,0
21,16.0,1.5,13.0,7,1.0,0,0,89.0,1
12,40.0,3.5,14.0,23,1.0,0,0,89.0,0
25,30.0,3.0,24.0,10,1.0,0,0,89.0,1
20,31.0,5.5,7.0,24,1.0,0,0,89.0,0
8,21.0,3.0,23.0,26,1.0,0,0,89.0,0
27,24.0,4.0,27.0,18,1.0,0,0,89.0,0
0,27.0,1.5,21.0,5,2.0,0,0,89.0,0
18,24.0,11.0,14.0,7,2.0,0,0,89.0,0
9,34.0,4.0,27.0,23,2.0,0,0,89.0,1
13,31.0,6.0,17.0,10,2.0,0,0,89.0,0
11,24.0,2.0,19.0,12,2.0,0,0,89.0,0
16,10.0,6.0,24.0,14,2.0,0,0,89.0,0
2,38.0,0.0,7.0,15,2.0,0,0,89.0,0
17,34.0,4.5,35.0,8,2.0,0,0,89.0,1
4,38.0,7.0,24.0,19,2.0,0,0,89.0,0
27,37.0,3.0,42.0,20,2.0,0,0,89.0,0
24,24.0,7.0,34.0,21,2.0,0,0,89.0,0
3,41.0,10.0,10.0,22,2.0,0,0,89.0,0
25,20.0,7.5,16.0,26,2.0,0,0,89.0,1
1,14.0,6.5,28.0,6,2.0,0,0,89.0,0
10,13.0,7.5,9.0,0,3.0,0,0,89.0,0
9,41.0,3.5,47.0,1,3.0,1,0,89.0,0
2,47.0,7.0,27.0,7,3.0,0,0,89.0,1
13,41.0,10.0,38.0,8,3.0,0,0,89.0,0
23,21.0,2.5,6.0,11,3.0,0,0,89.0,0
6,31.0,6.5,21.0,12,3.0,0,0,89.0,0
15,14.0,8.5,27.0,22,3.0,0,0,89.0,1
17,10.0,2.5,20.0,26,3.0,0,0,89.0,1
14,33.0,4.0,40.0,19,3.0,0,0,89.0,0
18,35.0,7.5,7.0,21,3.0,0,0,89.0,0
20,28.0,1.5,38.0,25,3.0,0,0,89.0,0
16,3.0,3.5,24.0,24,3.0,0,0,89.0,0
27,30.0,4.5,7.0,5,3.0,0,0,89.0,1
3,21.0,4.0,14.0,4,3.0,0,0,89.0,0
8,23.0,7.0,21.0,0,4.0,0,0,89.0,0
3,21.0,5.0,17.0,11,4.0,0,0,89.0,1
4,16.0,5.5,13.0,6,4.0,0,0,89.0,0
19,10.0,3.0,17.0,10,4.0,0,0,89.0,0
25,12.0,5.0,13.0,13,4.0,0,0,89.0,0
9,39.0,7.0,7.0,14,4.0,0,0,89.0,0
1,31.0,7.0,10.0,16,4.0,0,0,89.0,0
18,30.0,7.0,13.0,5,4.0,0,0,89.0,1
7,3.0,2.5,23.0,22,4.0,0,0,89.0,0
21,13.0,4.0,24.0,23,4.0,0,0,89.0,0
12,20.0,1.0,24.0,24,4.0,0,0,89.0,0
15,17.0,8.0,3.0,26,4.0,0,0,89.0,0
27,16.0,1.5,14.0,17,4.0,0,0,89.0,1
2,27.0,3.5,13.0,20,4.0,0,0,89.0,0
13,26.0,10.5,14.0,0,5.0,0,0,89.0,0
1,14.0,0.0,37.0,10,5.0,0,0,89.0,1
2,35.0,4.5,42.0,26,5.0,0,0,89.0,1
3,26.0,4.0,16.0,22,5.0,0,0,89.0,1
4,10.0,3.5,13.0,14,5.0,0,0,89.0,1
8,31.0,7.0,13.0,5,5.0,0,0,89.0,0
15,24.0,12.0,17.0,7,5.0,0,0,89.0,0
9,13.0,4.0,23.0,16,5.0,0,0,89.0,1
24,16.0,7.0,20.0,11,5.0,0,0,89.0,0
25,24.0,4.0,20.0,17,5.0,0,0,89.0,1
20,21.0,3.0,19.0,18,5.0,0,0,89.0,0
27,30.0,9.5,28.0,21,5.0,0,0,89.0,0
6,16.0,7.0,10.0,23,5.0,0,0,89.0,0
19,7.0,3.0,14.0,12,5.0,0,0,89.0,0
26,16.0,6.0,17.0,7,6.0,0,0,89.0,0
15,26.0,6.5,14.0,8,6.0,0,0,89.0,0
2,28.0,7.0,33.0,9,6.0,0,0,89.0,0
6,14.0,5.0,3.0,10,6.0,0,0,89.0,0
12,20.0,3.0,14.0,11,6.0,0,0,89.0,0
3,13.0,7.5,20.0,14,6.0,0,0,89.0,0
0,16.0,2.5,15.0,16,6.0,0,0,89.0,0
17,29.0,5.5,14.0,19,6.0,0,0,89.0,0
20,17.0,3.5,5.0,21,6.0,0,0,89.0,1
4,7.0,9.0,17.0,22,6.0,0,0,89.0,0
25,31.0,14.0,14.0,5,6.0,0,0,89.0,1
23,16.0,0.0,17.0,24,6.0,0,0,89.0,0
18,20.0,3.0,17.0,27,6.0,0,0,89.0,0
13,20.0,3.5,23.0,1,6.0,0,0,89.0,1
21,34.0,2.0,20.0,0,7.0,0,0,89.0,0
11,36.0,9.0,28.0,5,7.0,0,0,89.0,0
24,21.0,3.0,24.0,6,7.0,0,0,89.0,0
14,23.0,3.0,20.0,8,7.0,0,0,89.0,0
3,12.0,6.5,23.0,10,7.0,0,0,89.0,0
20,10.0,6.5,7.0,12,7.0,0,0,89.0,0
15,20.0,7.5,7.0,7,7.0,0,0,89.0,1
25,37.0,11.0,20.0,16,7.0,0,0,89.0,0
13,21.0,7.0,40.0,17,7.0,0,0,89.0,0
18,20.0,4.0,13.0,23,7.0,0,0,89.0,1
1,34.0,7.0,3.0,19,7.0,0,0,89.0,0
9,27.0,10.0,0.0,22,7.0,0,0,89.0,0
27,32.0,8.0,28.0,26,7.0,0,0,89.0,0
4,27.0,1.0,7.0,2,7.0,0,0,89.0,0
17,20.0,7.0,13.0,0,8.0,0,0,89.0,0
8,23.0,6.5,20.0,7,8.0,1,0,89.0,0
4,28.0,2.5,17.0,9,8.0,0,0,89.0,0
22,23.0,2.0,17.0,11,8.0,0,0,89.0,0
2,20.0,2.5,10.0,13,8.0,0,0,89.0,0
1,31.0,4.0,17.0,14,8.0,0,0,89.0,0
10,20.0,6.0,23.0,16,8.0,1,0,89.0,0
6,24.0,3.0,28.0,20,8.0,0,0,89.0,0
21,19.0,4.0,10.0,5,8.0,0,0,89.0,1
