Original_Name,Standard_Name
aa_000,NUM_00
ac_000,NUM_01
ad_000,NUM_02
ae_000,NUM_03
af_000,NUM_04
ag_000,NUM_05
ag_001,NUM_06
ag_002,NUM_07
ag_003,NUM_08
ag_004,NUM_09
ag_005,NUM_10
ag_006,NUM_11
ag_007,NUM_12
ag_008,NUM_13
ag_009,NUM_14
ah_000,NUM_15
ai_000,NUM_16
aj_000,NUM_17
ak_000,NUM_18
al_000,NUM_19
am_0,NUM_20
an_000,NUM_21
ao_000,NUM_22
ap_000,NUM_23
aq_000,NUM_24
ar_000,NUM_25
at_000,NUM_26
au_000,NUM_27
av_000,NUM_28
ax_000,NUM_29
ay_000,NUM_30
ay_001,NUM_31
ay_002,NUM_32
ay_003,NUM_33
ay_004,NUM_34
ay_005,NUM_35
ay_006,NUM_36
ay_007,NUM_37
ay_008,NUM_38
ay_009,NUM_39
az_000,NUM_40
az_001,NUM_41
az_002,NUM_42
az_003,NUM_43
az_004,NUM_44
az_005,NUM_45
az_006,NUM_46
az_007,NUM_47
az_008,NUM_48
az_009,NUM_49
ba_000,NUM_50
ba_001,NUM_51
ba_002,NUM_52
ba_003,NUM_53
ba_004,NUM_54
ba_005,NUM_55
ba_006,NUM_56
ba_007,NUM_57
ba_008,NUM_58
ba_009,NUM_59
bb_000,NUM_60
bc_000,NUM_61
bd_000,NUM_62
be_000,NUM_63
bf_000,NUM_64
bg_000,NUM_65
bh_000,NUM_66
bi_000,NUM_67
bj_000,NUM_68
bk_000,NUM_69
bl_000,NUM_70
bs_000,NUM_71
bt_000,NUM_72
bu_000,NUM_73
bv_000,NUM_74
bx_000,NUM_75
by_000,NUM_76
bz_000,NUM_77
ca_000,NUM_78
cb_000,NUM_79
cc_000,NUM_80
ce_000,NUM_81
cf_000,NUM_82
cg_000,NUM_83
ci_000,NUM_84
cj_000,NUM_85
ck_000,NUM_86
cl_000,NUM_87
cm_000,NUM_88
cn_000,NUM_89
cn_001,NUM_90
cn_002,NUM_91
cn_003,NUM_92
cn_004,NUM_93
cn_005,NUM_94
cn_006,NUM_95
cn_007,NUM_96
cn_008,NUM_97
cn_009,NUM_98
co_000,NUM_99
cp_000,NUM_100
cq_000,NUM_101
cs_000,NUM_102
cs_001,NUM_103
cs_002,NUM_104
cs_003,NUM_105
cs_004,NUM_106
cs_005,NUM_107
cs_006,NUM_108
cs_007,NUM_109
cs_008,NUM_110
cs_009,NUM_111
ct_000,NUM_112
cu_000,NUM_113
cv_000,NUM_114
cx_000,NUM_115
cy_000,NUM_116
cz_000,NUM_117
da_000,NUM_118
db_000,NUM_119
dc_000,NUM_120
dd_000,NUM_121
de_000,NUM_122
df_000,NUM_123
dg_000,NUM_124
dh_000,NUM_125
di_000,NUM_126
dj_000,NUM_127
dk_000,NUM_128
dl_000,NUM_129
dm_000,NUM_130
dn_000,NUM_131
do_000,NUM_132
dp_000,NUM_133
dq_000,NUM_134
dr_000,NUM_135
ds_000,NUM_136
dt_000,NUM_137
du_000,NUM_138
dv_000,NUM_139
dx_000,NUM_140
dy_000,NUM_141
dz_000,NUM_142
ea_000,NUM_143
eb_000,NUM_144
ec_00,NUM_145
ed_000,NUM_146
ee_000,NUM_147
ee_001,NUM_148
ee_002,NUM_149
ee_003,NUM_150
ee_004,NUM_151
ee_005,NUM_152
ee_006,NUM_153
ee_007,NUM_154
ee_008,NUM_155
ee_009,NUM_156
ef_000,NUM_157
eg_000,NUM_158
as_000,CAT_00
cd_000,CAT_01
ch_000,CAT_02
