Original_Name,Standard_Name
ParticleID_0,NUM_00
ParticleID_1,NUM_01
ParticleID_10,NUM_02
ParticleID_11,NUM_03
ParticleID_12,NUM_04
ParticleID_13,NUM_05
ParticleID_14,NUM_06
ParticleID_15,NUM_07
ParticleID_16,NUM_08
ParticleID_17,NUM_09
ParticleID_18,NUM_10
ParticleID_19,NUM_11
ParticleID_2,NUM_12
ParticleID_20,NUM_13
ParticleID_21,NUM_14
ParticleID_22,NUM_15
ParticleID_23,NUM_16
ParticleID_24,NUM_17
ParticleID_25,NUM_18
ParticleID_26,NUM_19
ParticleID_27,NUM_20
ParticleID_28,NUM_21
ParticleID_29,NUM_22
ParticleID_3,NUM_23
ParticleID_30,NUM_24
ParticleID_31,NUM_25
ParticleID_32,NUM_26
ParticleID_33,NUM_27
ParticleID_34,NUM_28
ParticleID_35,NUM_29
ParticleID_36,NUM_30
ParticleID_37,NUM_31
ParticleID_38,NUM_32
ParticleID_39,NUM_33
ParticleID_4,NUM_34
ParticleID_40,NUM_35
ParticleID_41,NUM_36
ParticleID_42,NUM_37
ParticleID_43,NUM_38
ParticleID_44,NUM_39
ParticleID_45,NUM_40
ParticleID_46,NUM_41
ParticleID_47,NUM_42
ParticleID_48,NUM_43
ParticleID_49,NUM_44
ParticleID_5,NUM_45
ParticleID_6,NUM_46
ParticleID_7,NUM_47
ParticleID_8,NUM_48
ParticleID_9,NUM_49
