Original_Name,Standard_Name
account_length,NUM_00
number_customer_service_calls,NUM_01
number_vmail_messages,NUM_02
phone_number,NUM_03
state,NUM_04
total_day_calls,NUM_05
total_day_charge,NUM_06
total_day_minutes,NUM_07
total_eve_calls,NUM_08
total_eve_charge,NUM_09
total_eve_minutes,NUM_10
total_intl_calls,NUM_11
total_intl_charge,NUM_12
total_intl_minutes,NUM_13
total_night_calls,NUM_14
total_night_charge,NUM_15
total_night_minutes,NUM_16
area_code,CAT_00
international_plan,CAT_01
voice_mail_plan,CAT_02
