Original_Name,Standard_Name
conformation_name,NUM_00
f1,NUM_01
f10,NUM_02
f100,NUM_03
f101,NUM_04
f102,NUM_05
f103,NUM_06
f104,NUM_07
f105,NUM_08
f106,NUM_09
f107,NUM_10
f108,NUM_11
f109,NUM_12
f11,NUM_13
f110,NUM_14
f111,NUM_15
f112,NUM_16
f113,NUM_17
f114,NUM_18
f115,NUM_19
f116,NUM_20
f117,NUM_21
f118,NUM_22
f119,NUM_23
f12,NUM_24
f120,NUM_25
f121,NUM_26
f122,NUM_27
f123,NUM_28
f124,NUM_29
f125,NUM_30
f126,NUM_31
f127,NUM_32
f128,NUM_33
f129,NUM_34
f13,NUM_35
f130,NUM_36
f131,NUM_37
f132,NUM_38
f133,NUM_39
f134,NUM_40
f135,NUM_41
f136,NUM_42
f137,NUM_43
f138,NUM_44
f139,NUM_45
f14,NUM_46
f140,NUM_47
f141,NUM_48
f142,NUM_49
f143,NUM_50
f144,NUM_51
f145,NUM_52
f146,NUM_53
f147,NUM_54
f148,NUM_55
f149,NUM_56
f15,NUM_57
f150,NUM_58
f151,NUM_59
f152,NUM_60
f153,NUM_61
f154,NUM_62
f155,NUM_63
f156,NUM_64
f157,NUM_65
f158,NUM_66
f159,NUM_67
f16,NUM_68
f160,NUM_69
f161,NUM_70
f162,NUM_71
f163,NUM_72
f164,NUM_73
f165,NUM_74
f166,NUM_75
f17,NUM_76
f18,NUM_77
f19,NUM_78
f2,NUM_79
f20,NUM_80
f21,NUM_81
f22,NUM_82
f23,NUM_83
f24,NUM_84
f25,NUM_85
f26,NUM_86
f27,NUM_87
f28,NUM_88
f29,NUM_89
f3,NUM_90
f30,NUM_91
f31,NUM_92
f32,NUM_93
f33,NUM_94
f34,NUM_95
f35,NUM_96
f36,NUM_97
f37,NUM_98
f38,NUM_99
f39,NUM_100
f4,NUM_101
f40,NUM_102
f41,NUM_103
f42,NUM_104
f43,NUM_105
f44,NUM_106
f45,NUM_107
f46,NUM_108
f47,NUM_109
f48,NUM_110
f49,NUM_111
f5,NUM_112
f50,NUM_113
f51,NUM_114
f52,NUM_115
f53,NUM_116
f54,NUM_117
f55,NUM_118
f56,NUM_119
f57,NUM_120
f58,NUM_121
f59,NUM_122
f6,NUM_123
f60,NUM_124
f61,NUM_125
f62,NUM_126
f63,NUM_127
f64,NUM_128
f65,NUM_129
f66,NUM_130
f67,NUM_131
f68,NUM_132
f69,NUM_133
f7,NUM_134
f70,NUM_135
f71,NUM_136
f72,NUM_137
f73,NUM_138
f74,NUM_139
f75,NUM_140
f76,NUM_141
f77,NUM_142
f78,NUM_143
f79,NUM_144
f8,NUM_145
f80,NUM_146
f81,NUM_147
f82,NUM_148
f83,NUM_149
f84,NUM_150
f85,NUM_151
f86,NUM_152
f87,NUM_153
f88,NUM_154
f89,NUM_155
f9,NUM_156
f90,NUM_157
f91,NUM_158
f92,NUM_159
f93,NUM_160
f94,NUM_161
f95,NUM_162
f96,NUM_163
f97,NUM_164
f98,NUM_165
f99,NUM_166
molecule_name,NUM_167
