Original_Name,Standard_Name
capital_run_length_average,NUM_00
capital_run_length_longest,NUM_01
capital_run_length_total,NUM_02
char_freq_%21,NUM_03
char_freq_%23,NUM_04
char_freq_%24,NUM_05
char_freq_%28,NUM_06
char_freq_%3B,NUM_07
char_freq_%5B,NUM_08
word_freq_000,NUM_09
word_freq_1999,NUM_10
word_freq_3d,NUM_11
word_freq_415,NUM_12
word_freq_650,NUM_13
word_freq_85,NUM_14
word_freq_857,NUM_15
word_freq_address,NUM_16
word_freq_addresses,NUM_17
word_freq_all,NUM_18
word_freq_business,NUM_19
word_freq_conference,NUM_20
word_freq_credit,NUM_21
word_freq_cs,NUM_22
word_freq_data,NUM_23
word_freq_direct,NUM_24
word_freq_edu,NUM_25
word_freq_email,NUM_26
word_freq_font,NUM_27
word_freq_free,NUM_28
word_freq_george,NUM_29
word_freq_hp,NUM_30
word_freq_hpl,NUM_31
word_freq_internet,NUM_32
word_freq_lab,NUM_33
word_freq_labs,NUM_34
word_freq_mail,NUM_35
word_freq_make,NUM_36
word_freq_meeting,NUM_37
word_freq_money,NUM_38
word_freq_order,NUM_39
word_freq_original,NUM_40
word_freq_our,NUM_41
word_freq_over,NUM_42
word_freq_parts,NUM_43
word_freq_people,NUM_44
word_freq_pm,NUM_45
word_freq_project,NUM_46
word_freq_re,NUM_47
word_freq_receive,NUM_48
word_freq_remove,NUM_49
word_freq_report,NUM_50
word_freq_table,NUM_51
word_freq_technology,NUM_52
word_freq_telnet,NUM_53
word_freq_will,NUM_54
word_freq_you,NUM_55
word_freq_your,NUM_56
