Original_Name,Standard_Name
cpu_avg_busy,NUM_00
cpu_avg_idle,NUM_01
cpu_avg_sys,NUM_02
cpu_avg_user,NUM_03
cpu_avg_wait,NUM_04
cpu_avg_waste,NUM_05
cpu_max_busy,NUM_06
cpu_max_idle,NUM_07
cpu_max_sys,NUM_08
cpu_max_user,NUM_09
cpu_max_wait,NUM_10
cpu_max_waste,NUM_11
disk_avg_active,NUM_12
disk_avg_read,NUM_13
disk_avg_total,NUM_14
disk_avg_write,NUM_15
disk_frac_active,NUM_16
disk_frac_busy,NUM_17
disk_max_read,NUM_18
disk_max_write,NUM_19
io_bread,NUM_20
io_bwrite,NUM_21
io_dirblk,NUM_22
io_iget,NUM_23
io_lread,NUM_24
io_phread,NUM_25
io_phwrite,NUM_26
io_wcancel,NUM_27
mem_fault,NUM_28
mem_swap,NUM_29
mem_tlbflush,NUM_30
net_avg_read,NUM_31
net_avg_total,NUM_32
net_avg_write,NUM_33
net_max_read,NUM_34
net_max_write,NUM_35
syscall_total,NUM_36
cpu_frac_busy,CAT_00
disk_max_active,CAT_01
disk_max_total,CAT_02
io_lwrite,CAT_03
io_namei,CAT_04
net_frac_busy,CAT_05
net_max_total,CAT_06
