NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,NUM_21,NUM_22,NUM_23,NUM_24,NUM_25,NUM_26,NUM_27,NUM_28,NUM_29,NUM_30,NUM_31,NUM_32,NUM_33,NUM_34,NUM_35,NUM_36,NUM_37,NUM_38,NUM_39,NUM_40,NUM_41,NUM_42,NUM_43,NUM_44,NUM_45,NUM_46,NUM_47,NUM_48,NUM_49,NUM_50,NUM_51,NUM_52,NUM_53,NUM_54,NUM_55,NUM_56,target
3.756,61,278,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.93,0.96,1
5.114,101,1028,0.372,0.048,0.18,0.132,0.0,0.0,0.43,0.07,0.0,0.0,0.0,0.0,0.0,0.28,0.14,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.14,0.0,0.0,0.0,0.07,0.0,0.0,0.94,0.21,0.0,0.43,0.0,0.0,0.14,0.28,0.0,0.65,0.0,0.0,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.79,3.47,1.59,1
9.821,485,2259,0.276,0.01,0.184,0.143,0.01,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.71,0.06,0.0,0.32,0.0,0.0,0.06,0.06,1.03,0.0,0.06,0.0,0.0,0.0,0.12,0.0,0.0,0.25,0.06,0.0,0.06,0.64,0.12,1.23,0.19,0.0,0.12,0.0,0.0,0.06,0.38,0.19,0.0,0.0,0.0,0.0,0.45,1.36,0.51,1
3.537,40,191,0.137,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.63,0.0,0.0,0.63,0.0,0.0,0.0,0.31,0.0,0.63,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.31,3.18,0.31,1
3.537,40,191,0.135,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.63,0.0,0.0,0.63,0.0,0.0,0.0,0.31,0.0,0.63,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.31,3.18,0.31,1
3.0,15,54,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.671,4,112,0.164,0.0,0.054,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,1.28,3.85,0.64,1
2.45,11,49,0.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.744,445,1257,0.181,0.022,0.203,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,3.53,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.15,0.0,0.15,0.92,0.3,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.3,0.0,0.0,0.0,0.0,0.92,1.23,2.0,1
1.729,43,749,0.244,0.0,0.081,0.03,0.04,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.77,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.19,0.32,0.0,0.25,0.0,0.06,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.64,1.67,0.71,1
