NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,NUM_17,NUM_18,NUM_19,NUM_20,NUM_21,NUM_22,NUM_23,CAT_00,CAT_01,CAT_02,CAT_03,CAT_04,CAT_05,CAT_06,CAT_07,CAT_08,target
42.0,108,1687.0,80.0,0.0498,0.2415,0.1818,0.0047,0.4706,50.0,1.0,2.4265,0.9031,1.6435,0.8182,-0.2913,0.5822,270900.0,270944.0,267.0,17.0,44.0,24220.0,76,1,0,1.0,1,0,0,0,0,0,1
645.0,123,1687.0,80.0,0.7647,0.3793,0.2069,0.0036,0.6,651.0,0.9667,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,2538079.0,2538108.0,108.0,10.0,30.0,11397.0,84,1,0,1.0,1,0,0,0,0,0,1
829.0,125,1623.0,100.0,0.971,0.3426,0.3333,0.0037,0.75,835.0,0.9474,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,1553913.0,1553931.0,71.0,8.0,19.0,7972.0,99,1,0,1.0,1,0,0,0,0,0,1
853.0,126,1353.0,290.0,0.7287,0.4413,0.1556,0.0052,0.5385,860.0,1.0,2.2455,0.8451,1.6532,0.8444,-0.1568,0.5212,369370.0,369415.0,176.0,13.0,45.0,18996.0,99,0,1,1.0,1,0,0,0,0,0,1
1289.0,126,1353.0,185.0,0.0695,0.4486,0.0662,0.0126,0.2833,1306.0,0.9885,3.3818,1.2305,2.4099,0.9338,-0.1992,1.0,498078.0,498335.0,2409.0,60.0,260.0,246930.0,37,0,1,1.0,1,0,0,0,0,0,1
430.0,127,1387.0,40.0,0.62,0.3417,0.1264,0.0079,0.55,441.0,1.0,2.7993,1.0414,1.9395,0.8736,-0.2267,0.9874,100250.0,100337.0,630.0,20.0,87.0,62357.0,64,0,1,1.0,1,0,0,0,0,0,1
413.0,199,1687.0,150.0,0.4896,0.339,0.0795,0.0196,0.1435,446.0,0.9607,3.9567,1.5185,2.6181,0.9205,0.2791,1.0,138468.0,138883.0,9052.0,230.0,432.0,1481991.0,23,0,1,1.0,1,0,0,0,0,0,1
190.0,172,1687.0,150.0,0.2253,0.34,0.5,0.0059,0.9091,200.0,1.0,2.1206,1.0,1.301,0.5,0.1841,0.3359,210936.0,210956.0,132.0,11.0,20.0,20007.0,124,0,1,1.0,1,0,0,0,0,0,1
330.0,148,1687.0,150.0,0.3912,0.2189,0.5,0.0077,0.8667,343.0,1.0,2.4216,1.1139,1.415,0.5,-0.1197,0.5593,429227.0,429253.0,264.0,15.0,26.0,29748.0,53,0,1,1.0,1,0,0,0,0,0,1
74.0,143,1687.0,150.0,0.0877,0.4261,0.0976,0.0095,0.3478,90.0,0.982,3.1778,1.2041,2.2148,0.9024,-0.0651,1.0,779144.0,779308.0,1506.0,46.0,167.0,180215.0,53,0,1,1.0,1,0,0,0,0,0,1
106.0,143,1687.0,150.0,0.1257,0.2326,0.25,0.0071,0.9231,118.0,1.0,2.6454,1.0792,1.6812,0.75,-0.1093,0.8612,813452.0,813500.0,442.0,13.0,48.0,50393.0,76,0,1,1.0,1,0,0,0,0,0,1
505.0,119,1687.0,150.0,0.5987,0.5562,0.1563,0.0059,0.2381,515.0,0.9275,2.4533,1.0,1.8062,0.8438,-0.1455,0.9048,106604.0,106668.0,284.0,42.0,69.0,31062.0,97,0,1,1.0,1,0,0,0,0,0,1
46.0,158,1687.0,150.0,0.0545,0.2593,0.2222,0.0071,0.8,58.0,1.0,2.6812,1.0792,1.7324,0.7778,0.0086,0.9093,179258.0,179312.0,480.0,15.0,54.0,61966.0,102,0,1,1.0,1,0,0,0,0,0,1
581.0,111,1687.0,150.0,0.6888,0.1981,0.15,0.0053,0.4091,590.0,1.0,2.6365,0.9542,1.7781,0.85,-0.2978,0.8299,230644.0,230704.0,433.0,22.0,60.0,38917.0,62,0,1,1.0,1,0,0,0,0,0,1
451.0,133,1687.0,150.0,0.5347,0.2533,0.2308,0.0089,0.5,466.0,0.9559,2.8621,1.1761,1.8129,0.7692,-0.2568,0.9888,368143.0,368208.0,728.0,30.0,68.0,69258.0,36,0,1,1.0,1,0,0,0,0,0,1
669.0,134,1687.0,150.0,0.7931,0.446,0.1136,0.0089,0.2542,684.0,0.9925,3.0402,1.1761,2.1206,0.8864,-0.1487,1.0,491552.0,491684.0,1097.0,59.0,133.0,119540.0,50,0,1,1.0,1,0,0,0,0,0,1
156.0,143,1687.0,150.0,0.1849,0.4772,0.1343,0.0213,0.2156,192.0,0.9503,3.7028,1.5563,2.4281,0.8657,-0.1157,1.0,713788.0,714056.0,5044.0,167.0,282.0,570911.0,11,0,1,1.0,1,0,0,0,0,0,1
90.0,134,1687.0,150.0,0.1067,0.4599,0.1918,0.0083,0.3684,104.0,0.9605,2.7419,1.1461,1.8633,0.8082,-0.1543,0.9918,751059.0,751132.0,552.0,38.0,76.0,59750.0,79,0,1,1.0,1,0,0,0,0,0,1
82.0,126,1687.0,150.0,0.0972,0.2171,0.28,0.0041,0.875,89.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1499,0.2998,844704.0,844729.0,137.0,8.0,25.0,14907.0,92,0,1,1.0,1,0,0,0,0,0,1
1601.0,141,1687.0,200.0,0.0877,0.3549,0.4444,0.0071,0.8,1613.0,1.0,2.3201,1.0792,1.4314,0.5556,-0.0727,0.5362,21349.0,21376.0,209.0,15.0,27.0,24807.0,96,0,1,1.0,1,0,0,0,0,0,1
17.0,141,1687.0,200.0,0.0202,0.2406,0.3235,0.0065,0.6111,28.0,1.0,2.4533,1.0414,1.5315,0.6765,-0.1031,0.6173,42683.0,42717.0,284.0,18.0,34.0,32604.0,87,0,1,1.0,1,0,0,0,0,0,1
43.0,134,1687.0,200.0,0.051,0.4138,0.3103,0.0053,0.6923,52.0,1.0,2.1847,0.9542,1.4624,0.6897,-0.0935,0.4317,86284.0,86313.0,153.0,13.0,29.0,17753.0,101,0,1,1.0,1,0,0,0,0,0,1
63.0,150,1687.0,200.0,0.0747,0.3801,0.4737,0.0053,0.9,72.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,115485.0,115504.0,106.0,10.0,19.0,13829.0,107,0,1,1.0,1,0,0,0,0,0,1
82.0,141,1687.0,200.0,0.0972,0.3231,0.2564,0.0059,0.6667,92.0,1.0,2.4216,1.0,1.5911,0.7436,-0.0479,0.6422,149044.0,149083.0,264.0,15.0,39.0,32175.0,92,0,1,1.0,1,0,0,0,0,0,1
75.0,148,1687.0,200.0,0.0889,0.3232,0.2727,0.0053,0.5294,84.0,0.9429,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,184350.0,184383.0,201.0,17.0,35.0,27349.0,123,0,1,1.0,1,0,0,0,0,0,1
1363.0,111,1373.0,40.0,0.0015,0.1739,0.3913,0.0066,1.0,1372.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,2128884.0,2128907.0,171.0,9.0,23.0,16645.0,77,0,1,1.0,1,0,0,0,0,0,1
1358.0,118,1373.0,40.0,0.0015,0.2766,0.359,0.0102,0.7368,1372.0,1.0,2.5966,1.1461,1.5911,0.641,-0.2341,0.8355,2356396.0,2356435.0,395.0,19.0,39.0,38722.0,75,0,1,1.0,1,0,0,0,0,0,1
1404.0,119,1627.0,40.0,0.2668,0.213,0.3333,0.0037,0.6667,1410.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,5202306.0,5202324.0,85.0,9.0,18.0,8948.0,97,0,1,1.0,1,0,0,0,0,0,1
1281.0,140,1373.0,40.0,0.1034,0.3902,0.0837,0.0153,0.2283,1302.0,0.9921,3.5071,1.3222,2.3997,0.9163,-0.1045,1.0,4332564.0,4332815.0,3214.0,92.0,253.0,368381.0,33,0,1,1.0,1,0,0,0,0,0,1
49.0,124,1373.0,40.0,0.0714,0.2186,0.3421,0.0095,0.8667,62.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,4822354.0,4822392.0,386.0,15.0,38.0,36875.0,51,0,1,1.0,1,0,0,0,0,0,1
830.0,132,1373.0,40.0,0.7808,0.2121,0.2121,0.0051,0.7778,837.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,1874382.0,1874415.0,182.0,9.0,33.0,20751.0,99,0,1,1.0,1,0,0,0,0,0,1
91.0,125,1387.0,40.0,0.1312,0.3565,0.2063,0.0094,0.6842,104.0,1.0,2.7218,1.1139,1.7993,0.7936,-0.2767,0.9691,2378173.0,2378236.0,527.0,19.0,63.0,48793.0,47,0,1,1.0,1,0,0,0,0,0,1
161.0,119,1387.0,40.0,0.2322,0.0595,0.2917,0.005,0.7778,168.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,2891780.0,2891804.0,158.0,9.0,24.0,16680.0,80,0,1,1.0,1,0,0,0,0,0,1
1328.0,111,1387.0,50.0,0.0707,0.2357,0.3571,0.0072,1.0,1338.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.463,2691161.0,2691189.0,214.0,10.0,28.0,19762.0,70,0,1,1.0,1,0,0,0,0,0,1
1251.0,119,1387.0,50.0,0.1629,0.3029,0.371,0.0166,0.7931,1274.0,1.0,2.9974,1.3617,1.7924,0.629,-0.4588,0.9994,3874199.0,3874261.0,994.0,29.0,62.0,68851.0,15,0,1,1.0,1,0,0,0,0,0,1
733.0,127,1387.0,50.0,0.9257,0.2888,0.2791,0.0087,0.75,745.0,1.0,2.5647,1.0792,1.6335,0.7209,-0.2367,0.8061,3957796.0,3957839.0,367.0,16.0,43.0,35856.0,55,0,1,1.0,1,0,0,0,0,0,1
12.0,125,1353.0,70.0,0.0177,0.3162,0.3077,0.0089,0.8,24.0,1.0,2.5052,1.0792,1.5911,0.6923,-0.2015,0.7512,304433.0,304472.0,320.0,15.0,39.0,32705.0,55,0,1,1.0,1,0,0,0,0,0,1
162.0,135,1353.0,70.0,0.2395,0.4676,0.1408,0.0074,0.2941,172.0,0.9861,2.5775,1.0,1.8513,0.8591,-0.1046,0.9381,505964.0,506035.0,378.0,34.0,72.0,43323.0,77,0,1,1.0,1,0,0,0,0,0,1
0.0,100,1333.0,40.0,0.0,0.5625,0.2083,0.0075,0.2778,10.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,1701480.0,1701528.0,210.0,36.0,48.0,17413.0,73,0,1,1.0,1,0,0,0,0,0,1
1617.0,126,1633.0,250.0,0.0049,0.2717,0.5217,0.0074,0.5454,1629.0,1.0,2.3032,1.0792,1.3617,0.4783,-0.184,0.4564,183688.0,183711.0,201.0,22.0,23.0,20993.0,79,0,1,1.0,1,0,0,0,0,0,1
1152.0,132,1687.0,200.0,0.6224,0.2852,0.1852,0.0059,0.2857,1162.0,1.0,2.5866,1.0,1.7324,0.8148,-0.095,0.8299,284144.0,284198.0,386.0,35.0,54.0,44712.0,90,0,1,1.0,1,0,0,0,0,0,1
1259.0,124,1353.0,70.0,0.1212,0.25,0.3333,0.0089,0.4,1271.0,1.0,2.5106,1.0792,1.5563,0.6667,-0.2701,0.7037,1918092.0,1918128.0,324.0,30.0,36.0,30269.0,65,0,1,1.0,1,0,0,0,0,0,1
1545.0,124,1627.0,40.0,0.086,0.25,0.4615,0.0074,0.6,1557.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,19815.0,19841.0,234.0,20.0,26.0,23207.0,66,0,1,1.0,1,0,0,0,0,0,1
1580.0,116,1627.0,40.0,0.0455,0.32,0.2,0.0061,0.3333,1590.0,1.0,2.5315,1.0,1.699,0.8,-0.2037,0.7889,3884411.0,3884461.0,340.0,30.0,50.0,34655.0,88,0,1,1.0,1,0,0,0,0,0,1
450.0,132,1690.0,60.0,0.5325,0.4167,0.381,0.0047,0.5,458.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,1009978.0,1009999.0,98.0,16.0,21.0,10784.0,96,1,0,1.0,1,0,0,0,0,0,1
1625.0,110,1690.0,60.0,0.0663,0.3946,0.1837,0.0053,0.2093,1634.0,1.0,2.4265,0.9542,1.6902,0.8163,-0.3333,0.7161,1702442.0,1702491.0,267.0,43.0,49.0,22785.0,67,1,0,1.0,1,0,0,0,0,0,1
1495.0,116,1686.0,60.0,0.2183,0.3846,0.5385,0.0041,0.5833,1502.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,3509718.0,3509731.0,56.0,12.0,13.0,5587.0,85,1,0,1.0,1,0,0,0,0,0,1
958.0,124,1682.0,60.0,0.8537,0.3039,0.3529,0.0036,0.5454,964.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,3550754.0,3550771.0,71.0,11.0,17.0,7502.0,91,1,0,1.0,1,0,0,0,0,0,1
1536.0,100,1688.0,60.0,0.1659,0.375,1.0,0.0071,0.8571,1548.0,1.0,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,43036.0,43048.0,90.0,14.0,12.0,7525.0,67,1,0,0.5,1,0,0,0,0,0,1
780.0,125,1690.0,60.0,0.9231,0.2857,0.6364,0.0041,0.7778,787.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,1686880.0,1686891.0,55.0,9.0,11.0,6124.0,95,1,0,1.0,1,0,0,0,0,0,1
