Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
MagicTelescope,GaussianNB,Baseline,1,0.015625,0.0,1.679459571838379,0.0019292831420898438,0.998080400196238,877,5723,113,2287,0.7529580932769184,0.3934192507594455,100,630,18,252,0.7602128051346801,0.37944985812311544,
MagicTelescope,GaussianNB,Baseline,2,0.015625,0.0,1.666041374206543,0.0019292831420898438,0.9977005325105348,875,5721,115,2289,0.7549475215520043,0.3919317309063018,106,627,21,246,0.7727075441919193,0.38544668741569643,
MagicTelescope,GaussianNB,Baseline,3,0.0,0.0,1.6657285690307617,0.0019292831420898438,0.9982794607830986,878,5724,112,2286,0.7553880281421648,0.39416301068601733,88,639,9,264,0.7668591294893379,0.38101802131112894,
MagicTelescope,GaussianNB,Baseline,4,0.0,0.0,1.6654958724975586,0.0019292831420898438,0.9982366996856178,875,5721,115,2289,0.7562611345162205,0.3919317309063018,95,638,10,257,0.744741249298541,0.39642624783419095,
MagicTelescope,GaussianNB,Baseline,5,0.0,0.0,1.665390968322754,0.0019292831420898438,0.9980839448477115,877,5723,113,2287,0.7559377678024451,0.3934192507594455,93,637,11,259,0.7426302960157127,0.38680135644165864,
MagicTelescope,GaussianNB,Baseline,6,0.015625,0.0,1.6653146743774414,0.0019292831420898438,0.9984518390197,872,5718,118,2292,0.7550041418667341,0.38970045112658624,102,639,9,250,0.7472182765151515,0.41944278131634183,
MagicTelescope,GaussianNB,Baseline,7,0.015625,0.0,1.6650972366333008,0.0019292831420898438,0.9977881135725631,873,5718,117,2292,0.7584505442588508,0.3903341673234321,100,640,9,251,0.7469611367916453,0.4150932313798513,
MagicTelescope,GaussianNB,Baseline,8,0.0,0.0,1.6651639938354492,0.0019292831420898438,0.9981509733786186,881,5726,109,2284,0.7566393352745525,0.39628381643953664,88,636,13,263,0.7556573997251963,0.36538273011516775,
MagicTelescope,GaussianNB,Baseline,9,0.0,0.0,1.6650266647338867,0.0019292831420898438,0.9977658560428376,872,5717,118,2293,0.7541049205981771,0.38959046118391905,103,640,9,248,0.7736030447894855,0.42312258771006817,
MagicTelescope,GaussianNB,Baseline,10,0.0,0.0,1.6651029586791992,0.0019292831420898438,0.9981172744046332,879,5724,111,2286,0.754713385884331,0.3947964041605105,99,629,20,252,0.7419962335216572,0.37033434693905787,
MagicTelescope,GaussianNB,Standard Scaler,1,0.015625,0.0,1.670802116394043,0.0022115707397460938,0.9980804682340048,877,5723,113,2287,0.7529560894972485,0.3934192507594455,100,630,18,252,0.7602084210157126,0.37944985812311544,
MagicTelescope,GaussianNB,Standard Scaler,2,0.015625,0.0,1.6693201065063477,0.0022115707397460938,0.9977005350165352,875,5721,115,2289,0.7549462759592365,0.3919317309063018,106,627,21,246,0.7726987759539843,0.38544668741569643,
MagicTelescope,GaussianNB,Standard Scaler,3,0.015625,0.0,1.669285774230957,0.0022115707397460938,0.9982795305736567,878,5724,112,2286,0.7553868096275006,0.39416301068601733,88,639,9,264,0.7668635136083053,0.38101802131112894,
MagicTelescope,GaussianNB,Standard Scaler,4,0.0,0.0,1.6692399978637695,0.0022115707397460938,0.9982372645345795,875,5721,115,2289,0.7562598076891416,0.3919317309063018,95,638,10,257,0.744741249298541,0.39642624783419095,
