Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
MiniBooNE,GaussianNB,Baseline,1,0.015625,0.0,8.4639310836792,0.0037279129028320312,1.0,2525,54,6420,1,0.5039721588100377,0.04580732178172236,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,Baseline,2,0.015625,0.0,8.462536811828613,0.0037279129028320312,1.0,2525,54,6420,1,0.5039721588100377,0.04580732178172236,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,Baseline,3,0.015625,0.015625,8.462492942810059,0.0037279129028320312,1.0,2525,60,6414,1,0.5044353062411042,0.04858621869210295,280,7,713,0,0.5048611111111111,0.052358496034273366,
MiniBooNE,GaussianNB,Baseline,4,0.015625,0.0,8.462492942810059,0.0037279129028320312,1.0,2525,56,6418,1,0.5041265616702757,0.04675131110606747,280,6,714,0,0.5041666666666667,0.048450158311150925,
MiniBooNE,GaussianNB,Baseline,5,0.0,0.0,8.463120460510254,0.0037279129028320312,1.0,2524,53,6422,1,0.5038942773041782,0.045314484611231436,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,Baseline,6,0.0,0.0,8.463299751281738,0.0037279129028320312,1.0,2524,57,6418,1,0.5042031270308498,0.04720226481300655,281,2,717,0,0.5013908205841446,0.02798584612721586,
MiniBooNE,GaussianNB,Baseline,7,0.015625,0.0,8.463080406188965,0.0037279129028320312,1.0,2523,56,6419,2,0.503929355097672,0.04411153812463217,281,10,709,0,0.5069541029207232,0.06283058704267955,
MiniBooNE,GaussianNB,Baseline,8,0.015625,0.0,8.463168144226074,0.0037279129028320312,1.0,2524,56,6419,1,0.5041258152070034,0.04673721242209266,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,Baseline,9,0.015625,0.0,8.463299751281738,0.0037279129028320312,1.0,2522,229,6246,3,0.5171028250315379,0.09689727345498826,280,22,697,1,0.513475121139978,0.08107788207866057,
MiniBooNE,GaussianNB,Baseline,10,0.0,0.0,8.463080406188965,0.0037279129028320312,1.0,2524,57,6418,1,0.5042030352842235,0.04720226481300655,281,5,714,0,0.5034770514603616,0.04431616559891184,
MiniBooNE,GaussianNB,Standard Scaler,1,0.015625,0.0,8.467494010925293,0.0049343109130859375,1.0,2524,61,6413,2,0.5043162478771899,0.04651304637864915,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,Standard Scaler,2,0.015625,0.0,8.467392921447754,0.0049343109130859375,1.0,2525,60,6414,1,0.5044353673907519,0.04858621869210295,280,9,711,0,0.50625,0.05942883201504173,
MiniBooNE,GaussianNB,Standard Scaler,3,0.03125,0.015625,8.4672212600708,0.0049343109130859375,1.0,2524,62,6412,2,0.5043936633310757,0.04697679314938623,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,Standard Scaler,4,0.015625,0.0,8.46717357635498,0.0049343109130859375,1.0,2524,62,6412,2,0.5043935716066043,0.04697679314938623,280,7,713,0,0.5048611111111111,0.052358496034273366,
MiniBooNE,GaussianNB,Standard Scaler,5,0.015625,0.0,8.467984199523926,0.0049343109130859375,1.0,2524,61,6414,1,0.5045117932642685,0.04901992205068409,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,Standard Scaler,6,0.015625,0.0,8.467940330505371,0.0049343109130859375,1.0,2523,61,6414,2,0.5043154860659811,0.046497898768327835,280,2,717,1,0.499616410692985,-0.006386660647960865,
MiniBooNE,GaussianNB,Standard Scaler,7,0.03125,0.0,8.468071937561035,0.0049343109130859375,1.0,2523,59,6416,2,0.504160893000497,0.045557383244887874,281,10,709,0,0.5069541029207232,0.06283058704267955,
MiniBooNE,GaussianNB,Standard Scaler,8,0.015625,0.0,8.468111991882324,0.0049343109130859375,1.0,2524,63,6412,1,0.5046661416720823,0.04990480799003985,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,Standard Scaler,9,0.015625,0.0,8.468071937561035,0.0049343109130859375,1.0,2520,308,6167,5,0.522808180740854,0.11178615840355224,280,29,690,1,0.5183306193358708,0.09690020908038978,
MiniBooNE,GaussianNB,Standard Scaler,10,0.015625,0.0,8.468071937561035,0.0049343109130859375,1.0,2524,63,6412,1,0.5046661722542911,0.04990480799003985,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,MinMax Scaler,1,0.015625,0.0,8.468363761901855,0.005785942077636719,1.0,2525,57,6417,1,0.5042037631003947,0.047216480879821596,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,MinMax Scaler,2,0.0,0.0,8.4685640335083,0.005785942077636719,1.0,2525,59,6415,1,0.5043581659606329,0.04813381466921841,280,8,712,0,0.5055555555555555,0.05600179208602059,
MiniBooNE,GaussianNB,MinMax Scaler,3,0.015625,0.0,8.468428611755371,0.005785942077636719,1.0,2524,62,6412,2,0.504393602181428,0.04697679314938623,280,7,713,0,0.5048611111111111,0.052358496034273366,
MiniBooNE,GaussianNB,MinMax Scaler,4,0.015625,0.0,8.468520164489746,0.005785942077636719,1.0,2525,60,6414,1,0.5044353673907519,0.04858621869210295,280,7,713,0,0.5048611111111111,0.052358496034273366,
MiniBooNE,GaussianNB,MinMax Scaler,5,0.015625,0.015625,8.46923542022705,0.005785942077636719,1.0,2524,56,6419,1,0.5041258457892122,0.04673721242209266,281,6,713,0,0.5041724617524339,0.048570340463127255,
MiniBooNE,GaussianNB,MinMax Scaler,6,0.015625,0.0,8.469107627868652,0.005785942077636719,1.0,2524,57,6418,1,0.5042031270308499,0.04720226481300655,280,2,717,1,0.499616410692985,-0.006386660647960865,
MiniBooNE,GaussianNB,MinMax Scaler,7,0.015625,0.0,8.469151496887207,0.005785942077636719,1.0,2523,57,6418,2,0.5040066363393096,0.04459834843787445,281,10,709,0,0.5069541029207232,0.06283058704267955,
