Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
blood-transfusion-service-center,GaussianNB,Baseline,1,0.015625,0.0,0.0953378677368164,0.0016603469848632812,0.10212724150889352,135,258,255,25,0.7171722709551657,0.29896090174136425,15,22,35,3,0.6418128654970761,0.19867985355975656,
blood-transfusion-service-center,GaussianNB,Baseline,2,0.015625,0.0,0.09376239776611328,0.0016603469848632812,0.2510852789416786,87,405,108,73,0.7176169590643274,0.31269668822480023,11,47,10,7,0.8294346978557504,0.41440722207745595,
blood-transfusion-service-center,GaussianNB,Baseline,3,0.0,0.0,0.09372234344482422,0.0016603469848632812,0.18528211901864874,123,293,220,37,0.7117202729044836,0.28944492086708024,15,37,20,3,0.7339181286549707,0.4130165938154511,
blood-transfusion-service-center,GaussianNB,Baseline,4,0.0,0.0,0.09372234344482422,0.0016603469848632812,0.1637468208303759,123,299,214,37,0.7095821150097466,0.2993491402511454,14,29,28,4,0.7270955165692008,0.2465426358859398,
blood-transfusion-service-center,GaussianNB,Baseline,5,0.015625,0.0,0.09385395050048828,0.0016603469848632812,0.172868197096671,128,291,222,32,0.7048245614035088,0.3129298009599608,11,35,22,7,0.7797270955165693,0.19371207105323843,
blood-transfusion-service-center,GaussianNB,Baseline,6,0.0,0.0,0.09385395050048828,0.0016603469848632812,0.14291739405910164,130,280,233,30,0.7217288011695907,0.3060146309758331,13,32,25,5,0.6189083820662767,0.2422850673368221,
blood-transfusion-service-center,GaussianNB,Baseline,7,0.0,0.0,0.0938100814819336,0.0016603469848632812,0.19713669411502155,87,405,108,73,0.7269066764132553,0.31269668822480023,8,41,16,10,0.6447368421052632,0.1499149321140883,
blood-transfusion-service-center,GaussianNB,Baseline,8,0.0,0.0,0.09363460540771484,0.0016603469848632812,0.16871405924882493,118,308,205,42,0.7023940058479532,0.2879111962521083,13,39,18,5,0.7529239766081871,0.35249680864214433,
blood-transfusion-service-center,GaussianNB,Baseline,9,0.015625,0.0,0.09370899200439453,0.0016603469848632812,0.14826148695707267,117,320,193,44,0.7145641882483988,0.2998578374971852,16,27,30,1,0.6604747162022704,0.3598373444311241,
blood-transfusion-service-center,GaussianNB,Baseline,10,0.0,0.015625,0.09366130828857422,0.0016603469848632812,0.16391696581905893,117,320,193,44,0.7164469143874178,0.2998578374971852,10,37,20,7,0.6666666666666666,0.20336629749143334,
blood-transfusion-service-center,GaussianNB,Standard Scaler,1,0.015625,0.0,0.12226390838623047,0.0018053054809570312,0.10212457015867936,135,258,255,25,0.7171722709551657,0.29896090174136425,15,22,35,3,0.6418128654970761,0.19867985355975656,
blood-transfusion-service-center,GaussianNB,Standard Scaler,2,0.0,0.0,0.12198734283447266,0.0018053054809570312,0.2510867933431223,87,405,108,73,0.7176169590643274,0.31269668822480023,11,47,10,7,0.8294346978557504,0.41440722207745595,
blood-transfusion-service-center,GaussianNB,Standard Scaler,3,0.0,0.0,0.12203502655029297,0.0018053054809570312,0.18527935583004643,123,293,220,37,0.7117202729044836,0.28944492086708024,15,37,20,3,0.7339181286549707,0.4130165938154511,
blood-transfusion-service-center,GaussianNB,Standard Scaler,4,0.0,0.0,0.12203502655029297,0.0018053054809570312,0.16374680185615512,123,299,214,37,0.7095942982456142,0.2993491402511454,14,29,28,4,0.7270955165692008,0.2465426358859398,
blood-transfusion-service-center,GaussianNB,Standard Scaler,5,0.0,0.0,0.12203502655029297,0.0018053054809570312,0.17286898813812346,128,291,222,32,0.7048245614035088,0.3129298009599608,11,35,22,7,0.7797270955165693,0.19371207105323843,
blood-transfusion-service-center,GaussianNB,Standard Scaler,6,0.0,0.0,0.12203502655029297,0.0018053054809570312,0.14291631197118576,130,280,233,30,0.7217288011695907,0.3060146309758331,13,32,25,5,0.6189083820662767,0.2422850673368221,
blood-transfusion-service-center,GaussianNB,Standard Scaler,7,0.015625,0.0,0.12203502655029297,0.0018053054809570312,0.19713704450054917,87,405,108,73,0.7269066764132553,0.31269668822480023,8,41,16,10,0.6447368421052632,0.1499149321140883,
blood-transfusion-service-center,GaussianNB,Standard Scaler,8,0.015625,0.0,0.12198734283447266,0.0018053054809570312,0.1687126184136462,118,308,205,42,0.7023940058479532,0.2879111962521083,13,39,18,5,0.7529239766081871,0.35249680864214433,
