Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
breast-w,GaussianNB,Baseline,1,0.0,0.0,0.27405643463134766,0.0027523040771484375,1.1098835631484884e-08,208,380,19,7,0.9887218045112782,0.9089530330356903,23,41,4,1,0.9712962962962963,0.8484908967580302,
breast-w,GaussianNB,Baseline,2,0.0,0.0,0.26656055450439453,0.0027523040771484375,3.0628931826603015e-06,205,383,16,10,0.9869091332983622,0.907754948560634,24,43,2,0,0.986111111111111,0.9391758525703704,
breast-w,GaussianNB,Baseline,3,0.0,0.0,0.26645755767822266,0.0027523040771484375,0.017135497929811276,206,384,15,9,0.9850673194614443,0.914868234737856,21,44,1,3,0.9935185185185186,0.8715403188617704,
breast-w,GaussianNB,Baseline,4,0.0,0.0,0.2666044235229492,0.0027523040771484375,0.015039002355630856,207,384,15,9,0.9860588972431077,0.9151183509828649,22,44,1,1,0.9971014492753623,0.9342995169082126,
breast-w,GaussianNB,Baseline,5,0.015625,0.0,0.26706504821777344,0.0027523040771484375,7.760246862750428e-11,209,381,19,6,0.9882267441860465,0.912802732849113,24,39,5,0,0.9668560606060606,0.8564708516635089,
breast-w,GaussianNB,Baseline,6,0.0,0.0,0.26714229583740234,0.0027523040771484375,0.004577757568097434,206,384,16,9,0.9858255813953488,0.9115597731002896,23,43,1,1,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,Baseline,7,0.015625,0.0,0.26703548431396484,0.0027523040771484375,0.9993428305918126,200,390,10,15,0.9853953488372094,0.9102741971868863,21,43,1,3,0.9943181818181818,0.8706032700941747,
breast-w,GaussianNB,Baseline,8,0.0,0.0,0.26711082458496094,0.0027523040771484375,0.8787876536763414,202,387,13,13,0.9878720930232558,0.9070348837209302,24,42,2,0,0.9725378787878787,0.9386793281621159,
breast-w,GaussianNB,Baseline,9,0.015625,0.0,0.26711559295654297,0.0027523040771484375,0.12606957036217406,207,385,15,8,0.9870523255813953,0.9186596877463975,22,42,2,2,0.96875,0.8712121212121212,
breast-w,GaussianNB,Baseline,10,0.0,0.0,0.2665414810180664,0.0027523040771484375,0.001079387754745051,205,383,17,10,0.9857558139534883,0.9044598584541818,24,43,1,0,1.0,0.9685978619539785,
breast-w,GaussianNB,Standard Scaler,1,0.015625,0.0,0.26860904693603516,0.0029888153076171875,6.248382869528758e-11,208,380,19,7,0.9886635192632744,0.9089530330356903,23,41,4,1,0.9703703703703703,0.8484908967580302,
breast-w,GaussianNB,Standard Scaler,2,0.015625,0.0,0.26859092712402344,0.0029888153076171875,1.785657573651278e-08,205,383,16,10,0.9876027277496066,0.907754948560634,24,43,2,0,0.986111111111111,0.9391758525703704,
breast-w,GaussianNB,Standard Scaler,3,0.015625,0.0,0.2685995101928711,0.0029888153076171875,0.00035396721892196536,206,384,15,9,0.9860115404791048,0.914868234737856,21,44,1,3,0.9935185185185186,0.8715403188617704,
breast-w,GaussianNB,Standard Scaler,4,0.015625,0.0,0.2687644958496094,0.0029888153076171875,0.0003222593112341901,207,384,15,9,0.9859776756706581,0.9151183509828649,22,44,1,1,0.9971014492753623,0.9342995169082126,
breast-w,GaussianNB,Standard Scaler,5,0.015625,0.0,0.26889896392822266,0.0029888153076171875,4.422710187973357e-13,209,381,19,6,0.9889883720930231,0.912802732849113,24,39,5,0,0.9668560606060606,0.8564708516635089,
breast-w,GaussianNB,Standard Scaler,6,0.015625,0.0,0.2691059112548828,0.0029888153076171875,9.402770696460669e-05,206,384,16,9,0.9857848837209302,0.9115597731002896,23,43,1,1,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,Standard Scaler,7,0.015625,0.0,0.2689790725708008,0.0029888153076171875,0.968983251677503,200,390,10,15,0.9862034883720929,0.9102741971868863,21,43,1,3,0.9943181818181818,0.8706032700941747,
breast-w,GaussianNB,Standard Scaler,8,0.0,0.0,0.26911449432373047,0.0029888153076171875,0.13251614552109128,202,387,13,13,0.9876627906976744,0.9070348837209302,24,42,2,0,0.9725378787878787,0.9386793281621159,
breast-w,GaussianNB,Standard Scaler,9,0.015625,0.0,0.26906585693359375,0.0029888153076171875,0.002971863186193048,207,385,15,8,0.9869709302325582,0.9186596877463975,22,42,2,2,0.9767992424242424,0.8712121212121212,
breast-w,GaussianNB,Standard Scaler,10,0.015625,0.015625,0.26920127868652344,0.0029888153076171875,2.2700904178512152e-05,205,383,17,10,0.9857151162790698,0.9044598584541818,24,43,1,0,1.0,0.9685978619539785,
breast-w,GaussianNB,MinMax Scaler,1,0.015625,0.015625,0.26905345916748047,0.0031938552856445312,1.6916282753500631e-12,208,380,19,7,0.989485341260127,0.9089530330356903,23,41,4,1,0.9703703703703703,0.8484908967580302,
breast-w,GaussianNB,MinMax Scaler,2,0.0,0.0,0.2689027786254883,0.0031938552856445312,4.668372058555479e-10,205,383,16,10,0.9874745002039983,0.907754948560634,24,43,2,0,0.986111111111111,0.9391758525703704,
breast-w,GaussianNB,MinMax Scaler,3,0.015625,0.0,0.2688102722167969,0.0031938552856445312,2.391635350370069e-05,206,384,15,9,0.985889141458297,0.914868234737856,21,44,1,3,0.9935185185185186,0.8715403188617704,
breast-w,GaussianNB,MinMax Scaler,4,0.015625,0.015625,0.26903247833251953,0.0031938552856445312,2.0944536478155917e-05,207,384,15,9,0.9858964540982085,0.9151183509828649,22,44,1,1,0.9971014492753623,0.9342995169082126,
breast-w,GaussianNB,MinMax Scaler,5,0.0,0.0,0.2691059112548828,0.0031938552856445312,1.1827761737520966e-14,209,381,19,6,0.9889186046511628,0.912802732849113,24,39,5,0,0.9668560606060606,0.8564708516635089,
breast-w,GaussianNB,MinMax Scaler,6,0.015625,0.015625,0.2692375183105469,0.0031938552856445312,6.309063124787678e-06,206,384,16,9,0.9856220930232558,0.9115597731002896,23,43,1,1,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.2692422866821289,0.0031938552856445312,0.6759517412337824,200,390,10,15,0.9861627906976744,0.9102741971868863,21,43,1,3,0.9943181818181818,0.8706032700941747,
breast-w,GaussianNB,MinMax Scaler,8,0.015625,0.0,0.2693338394165039,0.0031938552856445312,0.010001451473444788,202,387,13,13,0.9886511627906976,0.9070348837209302,24,42,2,0,0.9725378787878787,0.9386793281621159,
breast-w,GaussianNB,MinMax Scaler,9,0.0,0.0,0.26918888092041016,0.0031938552856445312,0.00019874421614210432,207,385,15,8,0.9869302325581395,0.9186596877463975,22,42,2,2,0.9767992424242424,0.8712121212121212,
breast-w,GaussianNB,MinMax Scaler,10,0.0,0.0,0.2693338394165039,0.0031938552856445312,1.4822314451084564e-06,205,383,17,10,0.9855930232558139,0.9044598584541818,24,43,1,0,1.0,0.9685978619539785,
breast-w,GaussianNB,IQR Capping,1,0.046875,0.0,0.2835826873779297,0.0030431747436523438,8.686348476696306e-13,211,377,22,4,0.9886227195896719,0.9105356807362235,23,41,4,1,0.9722222222222222,0.8484908967580302,
breast-w,GaussianNB,IQR Capping,2,0.046875,0.0,0.2829580307006836,0.0030431747436523438,0.003302757880126111,203,387,12,12,0.9866759923063473,0.914110858541703,23,43,2,1,0.986111111111111,0.9055426968164315,
breast-w,GaussianNB,IQR Capping,3,0.046875,0.0,0.28318309783935547,0.0030431747436523438,0.013562199236660874,207,385,14,8,0.9849274348662354,0.921981520915078,21,44,1,3,0.9925925925925926,0.8715403188617704,
breast-w,GaussianNB,IQR Capping,4,0.046875,0.0,0.28318119049072266,0.0030431747436523438,0.01657056312339119,207,384,15,9,0.9861285157337789,0.9151183509828649,22,44,1,1,0.9971014492753623,0.9342995169082126,
breast-w,GaussianNB,IQR Capping,5,0.046875,0.0,0.2838449478149414,0.0030431747436523438,6.862982396014758e-11,209,381,19,6,0.9880348837209302,0.912802732849113,24,39,5,0,0.9678030303030303,0.8564708516635089,
breast-w,GaussianNB,IQR Capping,6,0.046875,0.015625,0.28343772888183594,0.0030431747436523438,0.0027370107507798305,206,384,16,9,0.9858313953488372,0.9115597731002896,23,43,1,1,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,IQR Capping,7,0.046875,0.015625,0.2833395004272461,0.0030431747436523438,0.9568237113730031,203,388,12,12,0.9852441860465116,0.9141860465116279,20,43,1,4,0.9924242424242424,0.8384616998807747,
breast-w,GaussianNB,IQR Capping,8,0.03125,0.015625,0.28337764739990234,0.0030431747436523438,0.0847729243094493,206,384,16,9,0.9878604651162791,0.9115597731002896,24,41,3,0,0.9725378787878788,0.9101004495564368,
breast-w,GaussianNB,IQR Capping,9,0.03125,0.0,0.28348350524902344,0.0030431747436523438,0.019073385723735133,207,385,15,8,0.9870930232558139,0.9186596877463975,22,42,2,2,0.9706439393939393,0.8712121212121212,
breast-w,GaussianNB,IQR Capping,10,0.046875,0.0,0.2835702896118164,0.0030431747436523438,0.000691651706901659,206,384,16,9,0.9855813953488372,0.9115597731002896,24,43,1,0,1.0,0.9685978619539785,
breast-w,GaussianNB,IQR Removal,1,0.015625,0.0,0.28057098388671875,0.0029296875,1.1098835631484884e-08,208,380,19,7,0.9887218045112782,0.9089530330356903,23,41,4,1,0.9712962962962963,0.8484908967580302,
breast-w,GaussianNB,IQR Removal,2,0.03125,0.015625,0.28168392181396484,0.0029296875,3.0628931826603015e-06,205,383,16,10,0.9869091332983622,0.907754948560634,24,43,2,0,0.986111111111111,0.9391758525703704,
breast-w,GaussianNB,IQR Removal,3,0.015625,0.0,0.2815284729003906,0.0029296875,0.017135497929811276,206,384,15,9,0.9850673194614443,0.914868234737856,21,44,1,3,0.9935185185185186,0.8715403188617704,
breast-w,GaussianNB,IQR Removal,4,0.03125,0.0,0.28188228607177734,0.0029296875,0.015039002355630856,207,384,15,9,0.9860588972431077,0.9151183509828649,22,44,1,1,0.9971014492753623,0.9342995169082126,
breast-w,GaussianNB,IQR Removal,5,0.03125,0.0,0.2817392349243164,0.0029296875,7.760246862750428e-11,209,381,19,6,0.9882267441860465,0.912802732849113,24,39,5,0,0.9668560606060606,0.8564708516635089,
breast-w,GaussianNB,IQR Removal,6,0.03125,0.0,0.28186702728271484,0.0029296875,0.004577757568097434,206,384,16,9,0.9858255813953488,0.9115597731002896,23,43,1,1,0.9981060606060606,0.9356060606060606,
breast-w,GaussianNB,IQR Removal,7,0.015625,0.0,0.28181934356689453,0.0029296875,0.9993428305918126,200,390,10,15,0.9853953488372094,0.9102741971868863,21,43,1,3,0.9943181818181818,0.8706032700941747,
breast-w,GaussianNB,IQR Removal,8,0.03125,0.0,0.2821016311645508,0.0029296875,0.8787876536763414,202,387,13,13,0.9878720930232558,0.9070348837209302,24,42,2,0,0.9725378787878787,0.9386793281621159,
breast-w,GaussianNB,IQR Removal,9,0.03125,0.015625,0.2819232940673828,0.0029296875,0.12606957036217406,207,385,15,8,0.9870523255813953,0.9186596877463975,22,42,2,2,0.96875,0.8712121212121212,
breast-w,GaussianNB,IQR Removal,10,0.03125,0.0,0.28181934356689453,0.0029296875,0.001079387754745051,205,383,17,10,0.9857558139534883,0.9044598584541818,24,43,1,0,1.0,0.9685978619539785,
breast-w,GaussianNB,Yeo-Johnson,1,0.078125,0.0,0.2695646286010742,0.0027818679809570312,1.4747719872272563e-17,213,379,20,2,0.9844961240310077,0.9246075645498139,23,42,3,1,0.950925925925926,0.8763821182415374,
breast-w,GaussianNB,Yeo-Johnson,2,0.078125,0.0,0.2695169448852539,0.0027818679809570312,2.182990927842236e-17,213,379,20,2,0.9830623069301161,0.9246075645498139,23,44,1,1,0.9796296296296296,0.9361111111111111,
