Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
bupa,GaussianNB,Baseline,1,0.015625,0.0,0.06074047088623047,0.001705169677734375,0.6302754517020683,44,143,9,114,0.6543137908061293,0.29115618542952887,5,16,1,13,0.7156862745098039,0.2903617901832253,
bupa,GaussianNB,Baseline,2,0.0,0.0,0.05962657928466797,0.001705169677734375,0.6225568850757556,41,143,9,117,0.6388657561625581,0.272221901196443,7,17,0,11,0.8594771241830066,0.485912657903775,
bupa,GaussianNB,Baseline,3,0.0,0.0,0.05962657928466797,0.001705169677734375,0.6247635277791054,51,141,11,107,0.6573534310459693,0.3129618505825483,5,14,3,13,0.5653594771241831,0.12057967390241195,
bupa,GaussianNB,Baseline,4,0.015625,0.0,0.05962657928466797,0.001705169677734375,0.3482886514490705,78,121,31,80,0.6650358094603597,0.30333519937612685,6,11,6,12,0.545751633986928,-0.020646003475383347,
bupa,GaussianNB,Baseline,5,0.0,0.0,0.05962657928466797,0.001705169677734375,0.35074374255848745,74,120,32,84,0.6576240839440373,0.27171436160054074,8,12,5,10,0.5718954248366013,0.1554941669103437,
bupa,GaussianNB,Baseline,6,0.0,0.0,0.05956554412841797,0.001705169677734375,0.6402452326484035,50,143,9,109,0.6779212181396888,0.3254379068058616,5,15,2,12,0.5397923875432526,0.2182178902359924,
bupa,GaussianNB,Baseline,7,0.015625,0.0,0.059609413146972656,0.001705169677734375,0.6329237972807031,45,144,8,114,0.6675769612711022,0.3062887762671437,4,15,2,13,0.57439446366782,0.1543033499620919,
bupa,GaussianNB,Baseline,8,0.0,0.0,0.05974102020263672,0.001705169677734375,0.6897408515647403,42,144,8,117,0.6426679907315458,0.2878493367969591,5,16,1,12,0.71280276816609,0.3086066999241838,
bupa,GaussianNB,Baseline,9,0.015625,0.0,0.05974102020263672,0.001705169677734375,0.7169679937405038,38,146,6,121,0.6602946044356174,0.2861705123035716,3,16,1,14,0.671280276816609,0.18257418583505536,
bupa,GaussianNB,Baseline,10,0.015625,0.0,0.05974102020263672,0.001705169677734375,0.663461838531126,44,144,9,114,0.6617440225035162,0.2920602646529833,4,16,0,14,0.59375,0.34426518632954817,
bupa,GaussianNB,Standard Scaler,1,0.015625,0.0,0.07267475128173828,0.001873016357421875,0.6302754629764119,44,143,9,114,0.6543137908061293,0.29115618542952887,5,16,1,13,0.7156862745098039,0.2903617901832253,
bupa,GaussianNB,Standard Scaler,2,0.0,0.0,0.07244586944580078,0.001873016357421875,0.622556887814916,41,143,9,117,0.6388657561625581,0.272221901196443,7,17,0,11,0.8594771241830066,0.485912657903775,
bupa,GaussianNB,Standard Scaler,3,0.0,0.015625,0.07244586944580078,0.001873016357421875,0.6247635290167868,51,141,11,107,0.6573534310459693,0.3129618505825483,5,14,3,13,0.5653594771241831,0.12057967390241195,
bupa,GaussianNB,Standard Scaler,4,0.015625,0.0,0.07244586944580078,0.001873016357421875,0.3482886443038585,78,121,31,80,0.6650358094603597,0.30333519937612685,6,11,6,12,0.545751633986928,-0.020646003475383347,
bupa,GaussianNB,Standard Scaler,5,0.0,0.0,0.07239818572998047,0.001873016357421875,0.35074374127650976,74,120,32,84,0.6576240839440373,0.27171436160054074,8,12,5,10,0.5718954248366013,0.1554941669103437,
bupa,GaussianNB,Standard Scaler,6,0.015625,0.0,0.07251739501953125,0.001873016357421875,0.6402452599588673,50,143,9,109,0.6779212181396888,0.3254379068058616,5,15,2,12,0.5397923875432526,0.2182178902359924,
bupa,GaussianNB,Standard Scaler,7,0.015625,0.0,0.07256507873535156,0.001873016357421875,0.6329238013514717,45,144,8,114,0.6675769612711022,0.3062887762671437,4,15,2,13,0.57439446366782,0.1543033499620919,
bupa,GaussianNB,Standard Scaler,8,0.0,0.0,0.07251739501953125,0.001873016357421875,0.6897408500753408,42,144,8,117,0.6426679907315458,0.2878493367969591,5,16,1,12,0.71280276816609,0.3086066999241838,
bupa,GaussianNB,Standard Scaler,9,0.0,0.0,0.07256507873535156,0.001873016357421875,0.7169679884267074,38,146,6,121,0.6602946044356174,0.2861705123035716,3,16,1,14,0.671280276816609,0.18257418583505536,
bupa,GaussianNB,Standard Scaler,10,0.0,0.0,0.07251739501953125,0.001873016357421875,0.6634618457952347,44,144,9,114,0.6617440225035162,0.2920602646529833,4,16,0,14,0.59375,0.34426518632954817,
bupa,GaussianNB,MinMax Scaler,1,0.0,0.0,0.0708150863647461,0.0020322799682617188,0.6302754628987663,44,143,9,114,0.6543137908061293,0.29115618542952887,5,16,1,13,0.7156862745098039,0.2903617901832253,
bupa,GaussianNB,MinMax Scaler,2,0.015625,0.0,0.07039737701416016,0.0020322799682617188,0.6225568877044275,41,143,9,117,0.6388657561625581,0.272221901196443,7,17,0,11,0.8594771241830066,0.485912657903775,
bupa,GaussianNB,MinMax Scaler,3,0.0,0.0,0.0706167221069336,0.0020322799682617188,0.6247635286440669,51,141,11,107,0.6573534310459693,0.3129618505825483,5,14,3,13,0.5653594771241831,0.12057967390241195,
bupa,GaussianNB,MinMax Scaler,4,0.015625,0.0,0.07062053680419922,0.0020322799682617188,0.34828864452018793,78,121,31,80,0.6650358094603597,0.30333519937612685,6,11,6,12,0.545751633986928,-0.020646003475383347,
bupa,GaussianNB,MinMax Scaler,5,0.0,0.0,0.0706644058227539,0.0020322799682617188,0.3507437413349005,74,120,32,84,0.6576240839440373,0.27171436160054074,8,12,5,10,0.5718954248366013,0.1554941669103437,
bupa,GaussianNB,MinMax Scaler,6,0.015625,0.0,0.07068729400634766,0.0020322799682617188,0.6402452596909561,50,143,9,109,0.6779212181396888,0.3254379068058616,5,15,2,12,0.5397923875432526,0.2182178902359924,
bupa,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.07077503204345703,0.0020322799682617188,0.6329238013044503,45,144,8,114,0.6675769612711022,0.3062887762671437,4,15,2,13,0.57439446366782,0.1543033499620919,
bupa,GaussianNB,MinMax Scaler,8,0.015625,0.0,0.07077503204345703,0.0020322799682617188,0.6897408498751451,42,144,8,117,0.6426679907315458,0.2878493367969591,5,16,1,12,0.71280276816609,0.3086066999241838,
bupa,GaussianNB,MinMax Scaler,9,0.015625,0.0,0.07082271575927734,0.0020322799682617188,0.7169679882673995,38,146,6,121,0.6602946044356174,0.2861705123035716,3,16,1,14,0.671280276816609,0.18257418583505536,
bupa,GaussianNB,MinMax Scaler,10,0.0,0.0,0.07073497772216797,0.0020322799682617188,0.6634618456899398,44,144,9,114,0.6617440225035162,0.2920602646529833,4,16,0,14,0.59375,0.34426518632954817,
bupa,GaussianNB,IQR Capping,1,0.03125,0.0,0.0973520278930664,0.0019273757934570312,0.9630728038005528,34,148,4,124,0.6429880079946702,0.28790317751910155,1,16,1,17,0.7058823529411764,-0.007036672182012485,
bupa,GaussianNB,IQR Capping,2,0.03125,0.0,0.0971384048461914,0.0019273757934570312,0.5748753890103321,65,127,25,93,0.6272068620919387,0.27193916568077564,8,16,1,10,0.8464052287581699,0.4409743871753604,
bupa,GaussianNB,IQR Capping,3,0.03125,0.015625,0.0970907211303711,0.0019273757934570312,0.6382784602871601,65,130,22,93,0.6515656229180546,0.2966804492439989,6,14,3,12,0.5882352941176471,0.17937941173235,
bupa,GaussianNB,IQR Capping,4,0.015625,0.0,0.0970907211303711,0.0019273757934570312,0.5513760923383241,68,127,25,90,0.6588524317121919,0.29007295258239113,6,12,5,12,0.5130718954248366,0.04222003309207491,
bupa,GaussianNB,IQR Capping,5,0.03125,0.0,0.0970907211303711,0.0019273757934570312,0.975953930842381,31,149,3,127,0.6534393737508327,0.2823037293340076,3,16,1,15,0.5522875816993464,0.16941130349926678,
bupa,GaussianNB,IQR Capping,6,0.015625,0.0,0.09720134735107422,0.0019273757934570312,0.6046785617945176,68,130,22,91,0.6640599139357828,0.3118827455799002,7,11,6,10,0.5432525951557092,0.06052275326688024,
bupa,GaussianNB,IQR Capping,7,0.015625,0.0,0.09720134735107422,0.0019273757934570312,0.5898540615323037,65,127,25,94,0.6562396557431314,0.2693284019668486,7,15,2,10,0.5778546712802768,0.3333333333333333,
bupa,GaussianNB,IQR Capping,8,0.03125,0.0,0.09720039367675781,0.0019273757934570312,0.8733599588788745,41,143,9,118,0.6346408474015226,0.2703373759706965,4,16,1,13,0.7577854671280276,0.24913643956121992,
bupa,GaussianNB,IQR Capping,9,0.03125,0.0,0.09724807739257812,0.0019273757934570312,0.976586333622436,32,149,3,127,0.6523915921880171,0.2871168727555084,1,16,1,16,0.6228373702422145,0.0,
bupa,GaussianNB,IQR Capping,10,0.03125,0.0,0.09724807739257812,0.0019273757934570312,0.606540202896224,64,130,23,94,0.6506163646893357,0.2837146685734296,6,14,2,12,0.6041666666666667,0.24514516892273003,
bupa,GaussianNB,IQR Removal,1,0.015625,0.0,0.0856027603149414,0.0018873214721679688,0.8539360964250754,49,139,13,109,0.6601848767488341,0.2806977422750691,3,15,2,15,0.630718954248366,0.07001400420140048,
bupa,GaussianNB,IQR Removal,2,0.03125,0.0,0.0864410400390625,0.0018873214721679688,0.8441517480215741,33,144,8,125,0.6349933377748167,0.2305390100277911,5,17,0,13,0.9084967320261437,0.3967460238079361,
bupa,GaussianNB,IQR Removal,3,0.03125,0.0,0.08633708953857422,0.0018873214721679688,0.7093677182635508,61,132,20,97,0.6626832111925385,0.28958279632112716,6,13,4,12,0.6013071895424836,0.1084652289093281,
bupa,GaussianNB,IQR Removal,4,0.015625,0.0,0.08632183074951172,0.0018873214721679688,0.7966674540918776,54,138,14,104,0.6658894070619586,0.30161236870910574,4,14,3,14,0.5686274509803921,0.05716619504750295,
bupa,GaussianNB,IQR Removal,5,0.015625,0.0,0.07262992858886719,0.0018873214721679688,0.35074374255848745,74,120,32,84,0.6576240839440373,0.27171436160054074,8,12,5,10,0.5718954248366013,0.1554941669103437,
bupa,GaussianNB,IQR Removal,6,0.03125,0.0,0.08619976043701172,0.0018873214721679688,0.7776175623571652,55,138,14,104,0.6796383647798742,0.30534526316569194,5,11,6,12,0.5294117647058825,-0.06286946134619316,
bupa,GaussianNB,IQR Removal,7,0.015625,0.0,0.08647441864013672,0.0018873214721679688,0.46159238996076474,94,106,46,65,0.6607911287653095,0.2899342447787805,7,7,10,10,0.5916955017301038,-0.17647058823529413,
bupa,GaussianNB,IQR Removal,8,0.03125,0.0,0.0862884521484375,0.0018873214721679688,0.714480636282706,42,138,14,117,0.6273584905660378,0.22382058428962587,6,15,2,11,0.6401384083044983,0.2773500981126146,
bupa,GaussianNB,IQR Removal,9,0.03125,0.0,0.07260894775390625,0.0018873214721679688,0.7169679937405038,38,146,6,121,0.6602946044356174,0.2861705123035716,3,16,1,14,0.671280276816609,0.18257418583505536,
bupa,GaussianNB,IQR Removal,10,0.015625,0.0,0.0862894058227539,0.0018873214721679688,0.8140329100026861,54,137,16,104,0.6545462066683213,0.28393954916335506,5,16,0,13,0.6493055555555556,0.39148014634313566,
bupa,GaussianNB,Yeo-Johnson,1,0.03125,0.0,0.08189868927001953,0.0017118453979492188,0.5057541978862236,83,114,38,75,0.6615589606928713,0.2821362698550706,8,14,3,10,0.6830065359477124,0.2885035594625119,
bupa,GaussianNB,Yeo-Johnson,2,0.046875,0.0,0.08172321319580078,0.0017118453979492188,0.5719376031606619,67,129,23,91,0.6548967355096602,0.3003712538295245,9,17,0,9,0.8856209150326797,0.5717718748968657,
bupa,GaussianNB,Yeo-Johnson,3,0.03125,0.0,0.08172321319580078,0.0017118453979492188,0.795333468627566,46,148,4,112,0.6689706862091939,0.3599441354697251,3,16,1,15,0.5882352941176471,0.16941130349926678,
bupa,GaussianNB,Yeo-Johnson,4,0.03125,0.0,0.08172321319580078,0.0017118453979492188,0.6882673842476652,41,149,3,117,0.680379746835443,0.34344260258147324,5,16,1,13,0.6143790849673203,0.2903617901832253,
bupa,GaussianNB,Yeo-Johnson,5,0.046875,0.0,0.08172321319580078,0.0017118453979492188,0.5182945309675957,85,113,39,73,0.670844437041972,0.2871445219051509,8,14,3,10,0.6078431372549019,0.2885035594625119,
bupa,GaussianNB,Yeo-Johnson,6,0.03125,0.0,0.08182811737060547,0.0017118453979492188,0.6664893877246717,42,147,5,117,0.6876448195961602,0.3227474808052472,1,12,5,16,0.4740484429065744,-0.3086066999241838,
bupa,GaussianNB,Yeo-Johnson,7,0.046875,0.0,0.08187580108642578,0.0017118453979492188,0.507932058831237,87,114,38,72,0.6696871896722938,0.3029797242874112,6,12,5,11,0.6228373702422145,0.06286946134619316,
bupa,GaussianNB,Yeo-Johnson,8,0.03125,0.0,0.08187580108642578,0.0017118453979492188,0.5583298298376103,67,129,23,92,0.6628599801390269,0.2976979643755497,10,15,2,7,0.7508650519031141,0.49236596391733095,
bupa,GaussianNB,Yeo-Johnson,9,0.046875,0.0,0.08187580108642578,0.0017118453979492188,0.5629301090274967,69,131,21,90,0.6759351208209203,0.32606752678425077,8,12,5,9,0.671280276816609,0.18156825980064073,
bupa,GaussianNB,Yeo-Johnson,10,0.046875,0.0,0.08187580108642578,0.0017118453979492188,0.5712944566042811,62,134,19,96,0.6713411102837759,0.3055359515890087,4,13,3,14,0.6354166666666667,0.04286204165613664,
bupa,GaussianNB,Quantile Transform,1,0.015625,0.0,0.10013580322265625,0.016015052795410156,0.661716100100488,62,139,13,96,0.6842105263157896,0.35822227491612874,6,16,1,12,0.7483660130718954,0.3429971702850177,
bupa,GaussianNB,Quantile Transform,2,0.015625,0.015625,0.10013580322265625,0.016015052795410156,0.6434452782088929,60,137,15,98,0.6802548301132579,0.3280868867956403,8,17,0,10,0.8071895424836601,0.5289946984105814,
bupa,GaussianNB,Quantile Transform,3,0.015625,0.015625,0.10013580322265625,0.016015052795410156,0.7322093804169062,50,143,9,108,0.6786309127248502,0.3275930654452364,3,16,1,15,0.5915032679738562,0.16941130349926678,
bupa,GaussianNB,Quantile Transform,4,0.015625,0.0,0.10013580322265625,0.016015052795410156,0.8111678556342917,34,148,4,124,0.6840856095936041,0.28790317751910155,4,15,2,14,0.545751633986928,0.13868025799795836,
bupa,GaussianNB,Quantile Transform,5,0.015625,0.0,0.10013580322265625,0.016015052795410156,0.7378574054648058,50,143,9,108,0.6912058627581612,0.3275930654452364,4,15,2,14,0.5326797385620915,0.13868025799795836,
bupa,GaussianNB,Quantile Transform,6,0.015625,0.015625,0.1002349853515625,0.016060829162597656,0.6337594090990262,70,135,17,89,0.7043611386957961,0.3657230969259474,8,10,7,9,0.5501730103806228,0.05923488777590923,
bupa,GaussianNB,Quantile Transform,7,0.015625,0.015625,0.1003265380859375,0.016060829162597656,0.6377864748496039,67,134,18,92,0.6948857994041708,0.3398174573369977,7,15,2,10,0.6332179930795847,0.3333333333333333,
bupa,GaussianNB,Quantile Transform,8,0.03125,0.0,0.1003265380859375,0.016060829162597656,0.6709432271532603,57,139,13,102,0.6686941410129097,0.3267146333169987,8,15,2,9,0.7612456747404845,0.38729833462074165,
bupa,GaussianNB,Quantile Transform,9,0.015625,0.0,0.1003265380859375,0.016060829162597656,0.5963346277457151,79,125,27,80,0.6872310493214168,0.33665549775135123,8,13,4,9,0.6816608996539792,0.24618298195866548,
bupa,GaussianNB,Quantile Transform,10,0.015625,0.0,0.1003265380859375,0.016060829162597656,0.6513307175422561,63,138,15,95,0.6843302721932656,0.3467968532284263,5,13,3,13,0.6666666666666666,0.10622957319984967,
bupa,GaussianNB,Uniform Binning,1,0.0,0.0,0.06436443328857422,0.0022211074829101562,0.494730747853718,54,138,14,104,0.6453822451698867,0.30161236870910574,6,15,2,12,0.7401960784313726,0.2567180154051351,
bupa,GaussianNB,Uniform Binning,2,0.015625,0.0,0.06453990936279297,0.0022211074829101562,0.5278438298525409,57,135,17,101,0.6466105929380412,0.2918997425193385,6,17,0,12,0.8398692810457516,0.4420433223684922,
bupa,GaussianNB,Uniform Binning,3,0.0,0.0,0.0644521713256836,0.0022211074829101562,0.4988009861961052,61,132,20,97,0.6481720519653564,0.28958279632112716,7,15,2,11,0.5915032679738562,0.31017689945385524,
bupa,GaussianNB,Uniform Binning,4,0.0,0.0,0.06458377838134766,0.0022211074829101562,0.4356538815917593,71,129,23,87,0.6601224183877415,0.3241533798562173,6,12,5,12,0.4836601307189543,0.04222003309207491,
