Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
churn,GaussianNB,Baseline,1,0.015625,0.015625,2.151365280151367,0.0031175613403320312,0.3182646602954865,431,3484,379,206,0.8490798059600988,0.524902765992973,52,384,46,18,0.8527906976744186,0.55581801803159,
churn,GaussianNB,Baseline,2,0.015625,0.0,2.1491737365722656,0.0031175613403320312,0.31284059280170484,430,3483,380,207,0.8492634912146025,0.5232434666125818,48,392,38,22,0.8425913621262457,0.5492335311697298,
churn,GaussianNB,Baseline,3,0.015625,0.0,2.149449348449707,0.0031175613403320312,0.25140209202968017,460,3423,440,177,0.8472246661662732,0.5300662869782596,50,383,47,20,0.882093023255814,0.5308701517939051,
churn,GaussianNB,Baseline,4,0.015625,0.0,2.1494665145874023,0.0031175613403320312,0.3077634893926147,431,3485,379,205,0.8529300460955506,0.5255461532641933,48,386,43,23,0.8358120752486949,0.5209123541883632,
churn,GaussianNB,Baseline,5,0.015625,0.0,2.1490707397460938,0.0031175613403320312,0.2723248750637465,448,3457,407,188,0.8516743004284022,0.5319781231413165,49,378,51,22,0.83190518401786,0.4984957180280961,
churn,GaussianNB,Baseline,6,0.015625,0.0,2.1497364044189453,0.0031175613403320312,0.31491995786380506,433,3487,377,203,0.8493300519551545,0.5288669301709555,48,380,49,23,0.8500935684034276,0.49594091584535077,
churn,GaussianNB,Baseline,7,0.015625,0.0,2.1495542526245117,0.0031175613403320312,0.3119258752243692,430,3484,380,206,0.8475660670338686,0.5238857648108122,52,391,38,19,0.889457959880495,0.5849336284612896,
churn,GaussianNB,Baseline,8,0.015625,0.0,2.149601936340332,0.0031175613403320312,0.3192005723324486,438,3492,372,198,0.855312544760863,0.5371688724378612,40,387,42,31,0.8145704061197018,0.4387954185643926,
churn,GaussianNB,Baseline,9,0.015625,0.015625,2.1490707397460938,0.0031175613403320312,0.2838039854318404,448,3457,407,188,0.8526411350703803,0.5319781231413165,47,383,46,24,0.8229423159000623,0.49763750584148997,
churn,GaussianNB,Baseline,10,0.0,0.0,2.1495180130004883,0.0031175613403320312,0.31744468052135066,433,3487,377,203,0.8510854916207664,0.5288669301709555,48,391,38,23,0.8570865753964346,0.5433757046255988,
churn,GaussianNB,Standard Scaler,1,0.015625,0.015625,2.152529716491699,0.0035600662231445312,0.31937910991478374,431,3484,379,206,0.8485425672290063,0.524902765992973,51,384,46,19,0.8525249169435216,0.5454464876476641,
churn,GaussianNB,Standard Scaler,2,0.015625,0.0,2.1523008346557617,0.0035600662231445312,0.3152964477544774,430,3483,380,207,0.8487994014786663,0.5232434666125818,48,393,37,22,0.8412292358803988,0.5539370925877358,
churn,GaussianNB,Standard Scaler,3,0.015625,0.0,2.152383804321289,0.0035600662231445312,0.2531716059505109,461,3424,439,176,0.8467146551167113,0.5316599919902207,50,383,47,20,0.8816611295681063,0.5308701517939051,
churn,GaussianNB,Standard Scaler,4,0.015625,0.0,2.1527204513549805,0.0035600662231445312,0.20906435587619512,481,3355,509,155,0.8524303520970871,0.5252311752506263,53,365,64,18,0.8348271446862997,0.49244097351823385,
churn,GaussianNB,Standard Scaler,5,0.015625,0.0,2.152285575866699,0.0035600662231445312,0.3132922034834473,434,3488,376,202,0.8511693165097596,0.5305273186243367,47,380,49,24,0.8307889293804787,0.4854182068738219,
churn,GaussianNB,Standard Scaler,6,0.015625,0.0,2.152947425842285,0.0035600662231445312,0.3160560183766808,435,3489,375,201,0.8486964822844641,0.5321877070777178,48,380,49,23,0.8493712859910043,0.49594091584535077,
churn,GaussianNB,Standard Scaler,7,0.015625,0.0,2.152592658996582,0.0035600662231445312,0.3144055708335769,429,3483,381,207,0.8469296489446202,0.522225376357431,52,391,38,19,0.8888341705243115,0.5849336284612896,
churn,GaussianNB,Standard Scaler,8,0.015625,0.015625,2.152719497680664,0.0035600662231445312,0.3213495902488442,438,3492,372,198,0.8547746005703347,0.5371688724378612,40,387,42,31,0.8141764338947437,0.4387954185643926,
churn,GaussianNB,Standard Scaler,9,0.03125,0.0,2.152632713317871,0.0035600662231445312,0.2889814236530797,447,3456,408,189,0.8521170260557054,0.5303520743482449,47,383,46,24,0.8232706260875277,0.49763750584148997,
churn,GaussianNB,Standard Scaler,10,0.015625,0.015625,2.152592658996582,0.0035600662231445312,0.32027336169078713,432,3486,378,204,0.8505455128455538,0.5272065417175744,48,391,38,23,0.856856758265209,0.5433757046255988,
churn,GaussianNB,MinMax Scaler,1,0.015625,0.0,2.152825355529785,0.003902435302734375,0.319379102482079,431,3484,379,206,0.8485425672290063,0.524902765992973,51,384,46,19,0.8525249169435216,0.5454464876476641,
churn,GaussianNB,MinMax Scaler,2,0.015625,0.0,2.152886390686035,0.003902435302734375,0.3152964428001373,430,3483,380,207,0.8487998078619727,0.5232434666125818,48,393,37,22,0.8412292358803988,0.5539370925877358,
churn,GaussianNB,MinMax Scaler,3,0.015625,0.015625,2.152785301208496,0.003902435302734375,0.25317160249139037,461,3424,439,176,0.8467146551167113,0.5316599919902207,50,383,47,20,0.8816611295681063,0.5308701517939051,
churn,GaussianNB,MinMax Scaler,4,0.015625,0.015625,2.1531333923339844,0.003902435302734375,0.2090643529134621,481,3355,509,155,0.8524303520970871,0.5252311752506263,53,365,64,18,0.8348271446862997,0.49244097351823385,
churn,GaussianNB,MinMax Scaler,5,0.015625,0.0,2.15340518951416,0.003902435302734375,0.31329219796386043,434,3488,376,202,0.8511693165097596,0.5305273186243367,47,380,49,24,0.8307889293804787,0.4854182068738219,
churn,GaussianNB,MinMax Scaler,6,0.015625,0.0,2.153177261352539,0.003902435302734375,0.3160560098850689,435,3489,375,201,0.8486964822844641,0.5321877070777178,48,380,49,23,0.8493712859910043,0.49594091584535077,
