Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
clean2,GaussianNB,Baseline,1,0.015625,0.0,22.871047019958496,0.009099006652832031,0.9952429187402565,685,4639,384,230,0.924556656864761,0.6316442737480383,73,506,52,29,0.9054044556890857,0.5742778548673328,
clean2,GaussianNB,Baseline,2,0.015625,0.0,22.869460105895996,0.009099006652832031,0.8689185980373578,699,4593,430,216,0.9175483486345325,0.6241049948750941,74,514,44,28,0.9182918687188136,0.6100103303957392,
clean2,GaussianNB,Baseline,3,0.015625,0.0,22.869627952575684,0.009099006652832031,0.5849171511381398,712,4547,476,203,0.9222406438579257,0.6167342947048716,81,511,47,21,0.9377327992128751,0.6490025095344932,
clean2,GaussianNB,Baseline,4,0.015625,0.0,22.869460105895996,0.009099006652832031,0.9627966015809516,702,4596,427,213,0.9218039640604041,0.6276711066577753,75,508,50,27,0.9093225103661536,0.595673473507606,
clean2,GaussianNB,Baseline,5,0.03125,0.0,22.869460105895996,0.009099006652832031,0.9972058185141193,682,4636,387,233,0.9209631324323412,0.628002100735993,71,517,41,31,0.9100077306908426,0.5995538789417305,
clean2,GaussianNB,Baseline,6,0.015625,0.0,22.869460105895996,0.009099006652832031,0.9782590462740699,678,4632,391,237,0.9256704405635716,0.623145870053266,86,513,45,16,0.9419319699205847,0.6910175004387434,
clean2,GaussianNB,Baseline,7,0.03125,0.015625,22.869460105895996,0.009099006652832031,0.829967530992562,700,4594,429,215,0.9199919713579827,0.6252936988026545,77,509,49,25,0.9161044346053834,0.6135424757428858,
clean2,GaussianNB,Baseline,8,0.03125,0.0,22.869460105895996,0.009099006652832031,0.011604360329364386,734,4509,513,182,0.9210116317895581,0.620006745701885,86,513,46,15,0.9317380754175597,0.6923079383072038,
clean2,GaussianNB,Baseline,9,0.015625,0.0,22.873305320739746,0.009099006652832031,0.9171019559440706,699,4593,430,217,0.9206560302955749,0.6236133654568483,74,506,52,27,0.9113879129848468,0.5858118046572375,
clean2,GaussianNB,Baseline,10,0.015625,0.0,22.873305320739746,0.009099006652832031,0.9121417662288636,702,4596,427,214,0.9178693946709764,0.6271777597932809,72,501,57,29,0.9069253699563504,0.5544822804558696,
clean2,GaussianNB,Standard Scaler,1,0.046875,0.0,23.85138988494873,0.01302337646484375,0.9952413006040657,685,4639,384,230,0.9251629390051663,0.6316442737480383,73,506,52,29,0.9063707920444164,0.5742778548673328,
clean2,GaussianNB,Standard Scaler,2,0.03125,0.015625,23.851161003112793,0.01302337646484375,0.8689127736611,699,4593,430,216,0.9205276493158792,0.6241049948750941,74,514,44,28,0.9192230655703142,0.6100103303957392,
clean2,GaussianNB,Standard Scaler,3,0.046875,0.0,23.851161003112793,0.01302337646484375,0.5848950946972866,712,4547,476,203,0.922702345168509,0.6167342947048716,81,511,47,21,0.937732799212875,0.6490025095344932,
clean2,GaussianNB,Standard Scaler,4,0.03125,0.0,23.851161003112793,0.01302337646484375,0.962775373958851,702,4596,427,213,0.9218667354214329,0.6276711066577753,75,508,50,27,0.9091995221027479,0.595673473507606,
