Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
eeg-eye-state,GaussianNB,Baseline,1,0.0,0.0,2.1108217239379883,0.0021085739135742188,0.7331220580880013,1024,4634,326,3016,0.6744942709996806,0.26151082367150996,98,510,42,350,0.6370624676501035,0.20445926118502825,
eeg-eye-state,GaussianNB,Baseline,2,0.0,0.0,2.109208106994629,0.0021085739135742188,0.9987102455022902,432,4762,198,3608,0.5468532916799744,0.13063116741940672,51,529,23,397,0.5699243012422359,0.137107009451642,
eeg-eye-state,GaussianNB,Baseline,3,0.015625,0.0,2.1093339920043945,0.0021085739135742188,0.9986473689651355,440,4771,190,3599,0.5520338661365534,0.1376999721435321,40,536,15,409,0.5404387244895897,0.1349699587032041,
eeg-eye-state,GaussianNB,Baseline,4,0.015625,0.0,2.109377861022949,0.0021085739135742188,0.9987667835422304,439,4770,191,3600,0.5511734784600398,0.136824408004513,41,526,25,408,0.5402123694921968,0.09203717414817249,
eeg-eye-state,GaussianNB,Baseline,5,0.015625,0.0,2.109377861022949,0.0021085739135742188,0.9987931597353101,431,4762,199,3608,0.5470454142459737,0.12981989489236032,47,525,26,402,0.5563037845747152,0.1099235999690258,
eeg-eye-state,GaussianNB,Baseline,6,0.0,0.0,2.109377861022949,0.0021085739135742188,0.9987191165247641,432,4763,198,3607,0.5508409515987516,0.1306954590313794,49,530,21,400,0.5407216682363307,0.13844660081738314,
eeg-eye-state,GaussianNB,Baseline,7,0.0,0.0,2.10929012298584,0.0021085739135742188,0.998883645932558,371,4792,169,3668,0.5486218101588528,0.12102705205025659,33,533,18,416,0.5302648757674848,0.09230967181033731,
eeg-eye-state,GaussianNB,Baseline,8,0.0,0.0,2.109377861022949,0.0021085739135742188,0.9988625924267772,378,4799,162,3661,0.5459601479806916,0.12761176652524334,46,527,24,403,0.5592585257013973,0.11480745440576394,
eeg-eye-state,GaussianNB,Baseline,9,0.0,0.0,2.109421730041504,0.0021085739135742188,0.9988097377813436,474,4715,246,3565,0.5470726631828285,0.12424279937221572,51,521,30,398,0.5531146043435907,0.10781390471686231,
eeg-eye-state,GaussianNB,Baseline,10,0.015625,0.0,2.1093339920043945,0.0021085739135742188,0.9987161402907735,516,4667,294,3523,0.5479108424767407,0.11903587630603138,70,535,16,379,0.5569100926034463,0.22506847951073955,
