Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
haberman,GaussianNB,Baseline,1,0.015625,0.0,0.04792499542236328,0.0016155242919921875,0.1978566935775097,45,145,57,28,0.6721822867218228,0.3055614525894104,6,14,9,2,0.7934782608695653,0.3140721323960884,
haberman,GaussianNB,Baseline,2,0.0,0.0,0.04633808135986328,0.0016155242919921875,0.21514014500690312,33,174,28,40,0.6901532619015327,0.3331355822248133,3,20,3,5,0.6521739130434783,0.2708681694429807,
haberman,GaussianNB,Baseline,3,0.015625,0.0,0.04633808135986328,0.0016155242919921875,0.26693231058797756,28,183,19,45,0.6828970568289705,0.3396039144884743,1,22,1,7,0.5434782608695652,0.14520057987419369,
haberman,GaussianNB,Baseline,4,0.0,0.0,0.04620647430419922,0.0016155242919921875,0.17006413091661426,47,155,47,26,0.7198901396989015,0.3827782382212964,4,15,8,4,0.5108695652173914,0.13670414920128873,
haberman,GaussianNB,Baseline,5,0.0,0.0,0.04633808135986328,0.0016155242919921875,0.22440749758506742,37,162,40,36,0.6554658890546589,0.3037231908115735,6,20,3,2,0.9402173913043479,0.5972598827888349,
haberman,GaussianNB,Baseline,6,0.0,0.0,0.04640674591064453,0.0016155242919921875,0.1982833265008259,37,170,33,35,0.7083675424192666,0.3545685654232241,3,16,6,6,0.5050505050505051,0.06060606060606061,
haberman,GaussianNB,Baseline,7,0.0,0.0,0.04642963409423828,0.0016155242919921875,0.17621606512630256,36,170,33,37,0.6708279910925163,0.3367350103464414,4,18,4,4,0.6818181818181819,0.3181818181818182,
haberman,GaussianNB,Baseline,8,0.015625,0.0,0.04629802703857422,0.0016155242919921875,0.18532640388393531,44,158,45,29,0.7119913624401107,0.35957751947051125,1,18,4,7,0.40340909090909094,-0.06741998624632421,
haberman,GaussianNB,Baseline,9,0.015625,0.0,0.04642963409423828,0.0016155242919921875,0.18114477914511024,37,168,35,36,0.6799041770699777,0.3359236006886736,5,17,5,3,0.8068181818181819,0.3731012536223182,
haberman,GaussianNB,Baseline,10,0.0,0.0,0.04638195037841797,0.0016155242919921875,0.1792616672615154,45,159,44,28,0.7082124299885283,0.37715205380269845,2,12,10,6,0.4204545454545454,-0.1846372364689991,
haberman,GaussianNB,Standard Scaler,1,0.015625,0.0,0.06310844421386719,0.0017375946044921875,0.1978566935203804,45,145,57,28,0.6721822867218228,0.3055614525894104,6,14,9,2,0.7934782608695653,0.3140721323960884,
haberman,GaussianNB,Standard Scaler,2,0.0,0.0,0.06292724609375,0.0017375946044921875,0.21514014503598847,33,174,28,40,0.6901532619015327,0.3331355822248133,3,20,3,5,0.6521739130434783,0.2708681694429807,
haberman,GaussianNB,Standard Scaler,3,0.015625,0.0,0.06292724609375,0.0017375946044921875,0.2669323108505182,28,183,19,45,0.6828970568289705,0.3396039144884743,1,22,1,7,0.5434782608695652,0.14520057987419369,
haberman,GaussianNB,Standard Scaler,4,0.0,0.0,0.06292724609375,0.0017375946044921875,0.17006413089655992,47,155,47,26,0.7198901396989015,0.3827782382212964,4,15,8,4,0.5108695652173914,0.13670414920128873,
haberman,GaussianNB,Standard Scaler,5,0.015625,0.0,0.06292724609375,0.0017375946044921875,0.22440749777243132,37,162,40,36,0.6554658890546589,0.3037231908115735,6,20,3,2,0.9402173913043479,0.5972598827888349,
haberman,GaussianNB,Standard Scaler,6,0.0,0.0,0.06292724609375,0.0017375946044921875,0.19828332689089073,37,170,33,35,0.7083675424192666,0.3545685654232241,3,16,6,6,0.5050505050505051,0.06060606060606061,
haberman,GaussianNB,Standard Scaler,7,0.0,0.0,0.06302165985107422,0.0017375946044921875,0.176216065036035,36,170,33,37,0.6708279910925163,0.3367350103464414,4,18,4,4,0.6818181818181819,0.3181818181818182,
haberman,GaussianNB,Standard Scaler,8,0.015625,0.0,0.06302165985107422,0.0017375946044921875,0.18532640377177398,44,158,45,29,0.7119913624401107,0.35957751947051125,1,18,4,7,0.40340909090909094,-0.06741998624632421,
haberman,GaussianNB,Standard Scaler,9,0.0,0.0,0.06302165985107422,0.0017375946044921875,0.18114477906077797,37,168,35,36,0.6799041770699777,0.3359236006886736,5,17,5,3,0.8068181818181819,0.3731012536223182,
haberman,GaussianNB,Standard Scaler,10,0.015625,0.0,0.06302165985107422,0.0017375946044921875,0.1792616670722718,45,159,44,28,0.7082124299885283,0.37715205380269845,2,12,10,6,0.4204545454545454,-0.1846372364689991,
haberman,GaussianNB,MinMax Scaler,1,0.015625,0.0,0.057320594787597656,0.0018663406372070312,0.1978566936879258,45,145,57,28,0.6721822867218228,0.3055614525894104,6,14,9,2,0.7934782608695653,0.3140721323960884,
haberman,GaussianNB,MinMax Scaler,2,0.0,0.0,0.05716991424560547,0.0018663406372070312,0.2151401451984867,33,174,28,40,0.6901532619015327,0.3331355822248133,3,20,3,5,0.6521739130434783,0.2708681694429807,
haberman,GaussianNB,MinMax Scaler,3,0.015625,0.0,0.05703449249267578,0.0018663406372070312,0.2669323106598681,28,183,19,45,0.6828970568289705,0.3396039144884743,1,22,1,7,0.5434782608695652,0.14520057987419369,
haberman,GaussianNB,MinMax Scaler,4,0.0,0.0,0.05716991424560547,0.0018663406372070312,0.17006413120727315,47,155,47,26,0.7198901396989015,0.3827782382212964,4,15,8,4,0.5108695652173914,0.13670414920128873,
haberman,GaussianNB,MinMax Scaler,5,0.015625,0.0,0.057257652282714844,0.0018663406372070312,0.22440749797964632,37,162,40,36,0.6554658890546589,0.3037231908115735,6,20,3,2,0.9402173913043479,0.5972598827888349,
haberman,GaussianNB,MinMax Scaler,6,0.0,0.0,0.05712604522705078,0.0018663406372070312,0.1982833271208204,37,170,33,35,0.7083675424192666,0.3545685654232241,3,16,6,6,0.5050505050505051,0.06060606060606061,
haberman,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.05723857879638672,0.0018663406372070312,0.17621606535131376,36,170,33,37,0.6708279910925163,0.3367350103464414,4,18,4,4,0.6818181818181819,0.3181818181818182,
haberman,GaussianNB,MinMax Scaler,8,0.0,0.0,0.057150840759277344,0.0018663406372070312,0.18532640406305048,44,158,45,29,0.7119913624401107,0.35957751947051125,1,18,4,7,0.40340909090909094,-0.06741998624632421,
haberman,GaussianNB,MinMax Scaler,9,0.015625,0.0,0.05727863311767578,0.0018663406372070312,0.18114477930653802,37,168,35,36,0.6799041770699777,0.3359236006886736,5,17,5,3,0.8068181818181819,0.3731012536223182,
haberman,GaussianNB,MinMax Scaler,10,0.0,0.0,0.057326316833496094,0.0018663406372070312,0.17926166732248003,45,159,44,28,0.7082124299885283,0.37715205380269845,2,12,10,6,0.4204545454545454,-0.1846372364689991,
haberman,GaussianNB,IQR Capping,1,0.015625,0.015625,0.07345390319824219,0.0017919540405273438,0.18835743862139334,51,135,67,22,0.6861521768615217,0.3273780739397116,6,14,9,2,0.7880434782608695,0.3140721323960884,
haberman,GaussianNB,IQR Capping,2,0.015625,0.0,0.07319259643554688,0.0017919540405273438,0.21478013254721057,42,161,41,31,0.7121253221212532,0.3581992468664542,4,16,7,4,0.6304347826086957,0.17892962380969743,
haberman,GaussianNB,IQR Capping,3,0.015625,0.0,0.07324028015136719,0.0017919540405273438,0.20331344271380475,45,156,46,28,0.6879831818798318,0.36478708936997906,3,20,3,5,0.7228260869565217,0.2708681694429807,
haberman,GaussianNB,IQR Capping,4,0.03125,0.0,0.07314491271972656,0.0017919540405273438,0.16481829230051426,55,136,66,18,0.7351485148514852,0.37957583283100305,3,14,9,5,0.5054347826086957,-0.014646873128709506,
haberman,GaussianNB,IQR Capping,5,0.015625,0.0,0.07324028015136719,0.0017919540405273438,0.20419104268471788,43,149,53,30,0.6621117591211176,0.30260590569878665,7,19,4,1,0.9456521739130435,0.6411644853180825,
haberman,GaussianNB,IQR Capping,6,0.015625,0.0,0.07324028015136719,0.0017919540405273438,0.18185150610511477,50,148,55,22,0.7295771756978653,0.3832280343782867,6,9,13,3,0.5909090909090908,0.07059781184061313,
haberman,GaussianNB,IQR Capping,7,0.015625,0.015625,0.07332611083984375,0.0017919540405273438,0.2780632545983682,35,171,32,38,0.6804102840947432,0.3310604713223016,4,19,3,4,0.7727272727272727,0.380198765217406,
haberman,GaussianNB,IQR Capping,8,0.015625,0.0,0.07327842712402344,0.0017919540405273438,0.23382439707171315,40,171,32,33,0.7391861799041771,0.3920464298594205,1,19,3,7,0.375,-0.014782809899727065,
haberman,GaussianNB,IQR Capping,9,0.03125,0.0,0.07323074340820312,0.0017919540405273438,0.2550820270781908,37,168,35,36,0.6933328834604224,0.3359236006886736,5,18,4,3,0.8693181818181819,0.42766860172384985,
haberman,GaussianNB,IQR Capping,10,0.03125,0.0,0.0731353759765625,0.0017919540405273438,0.19783237309799614,45,159,44,28,0.7134084621094542,0.37715205380269845,4,14,8,4,0.5,0.12309149097933272,
haberman,GaussianNB,IQR Removal,1,0.015625,0.0,0.0802164077758789,0.0017976760864257812,0.16950842637908212,54,129,73,19,0.6832022243320223,0.33510933692025874,6,17,6,2,0.7826086956521738,0.4394061938612852,
haberman,GaussianNB,IQR Removal,2,0.015625,0.0,0.08103466033935547,0.0017976760864257812,0.24933718213703088,39,167,35,34,0.7173470771734707,0.35942266731768857,4,17,6,4,0.6195652173913043,0.2238381550780319,
haberman,GaussianNB,IQR Removal,3,0.015625,0.0,0.08063030242919922,0.0017976760864257812,0.2215116740445109,42,159,43,31,0.6826257968262579,0.34635728879509853,3,20,3,5,0.717391304347826,0.2708681694429807,
haberman,GaussianNB,IQR Removal,4,0.03125,0.0,0.08059024810791016,0.0017976760864257812,0.18741776868620605,49,149,53,24,0.7245015597450156,0.373753296340344,3,16,7,5,0.4891304347826087,0.06613400036396397,
