Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
higgs,GaussianNB,Baseline,1,0.015625,0.015625,5.21070671081543,0.003726959228515625,0.7184664212022246,2679,2782,1461,2078,0.651012826973272,0.21918355618077703,291,306,165,238,0.6395193430700878,0.2002164851698917,
higgs,GaussianNB,Baseline,2,0.03125,0.0,5.184267997741699,0.003726959228515625,0.7441157308507521,2430,2983,1260,2327,0.651150262899469,0.2170627564958419,254,339,132,275,0.6224298540289533,0.2049583125248347,
higgs,GaussianNB,Baseline,3,0.015625,0.0,5.18364143371582,0.003726959228515625,0.6850885385078921,2872,2615,1628,1885,0.6530449365438906,0.21969190820426146,345,292,179,184,0.672418014199768,0.2719868490393011,
higgs,GaussianNB,Baseline,4,0.015625,0.0,5.183926582336426,0.003726959228515625,0.6550269791289722,3240,2263,1980,1517,0.6508076639702505,0.21689481270451855,347,232,239,182,0.61452726973539,0.15051676524857996,
higgs,GaussianNB,Baseline,5,0.03125,0.015625,5.183564186096191,0.003726959228515625,0.6851077859778965,2848,2681,1562,1909,0.6566745034210597,0.23023064034895832,315,293,178,214,0.6599079302774533,0.21719888698697692,
higgs,GaussianNB,Baseline,6,0.015625,0.0,5.183348655700684,0.003726959228515625,0.719487365021684,2634,2827,1416,2123,0.6514450515659693,0.2207315633923305,277,320,151,252,0.6549151345124999,0.20482799856490375,
higgs,GaussianNB,Baseline,7,0.015625,0.0,5.183807373046875,0.003726959228515625,0.7092839962518976,2686,2788,1454,2072,0.6521308859403324,0.22210716986666793,291,311,161,237,0.6558607794042117,0.21067812766998173,
higgs,GaussianNB,Baseline,8,0.015625,0.0,5.183736801147461,0.003726959228515625,0.6423506005947244,3135,2427,1815,1623,0.6565520855814638,0.23180801054144975,344,272,200,184,0.6499823446327684,0.22831464095681106,
higgs,GaussianNB,Baseline,9,0.015625,0.0,5.18350887298584,0.003726959228515625,0.670622302186919,3118,2410,1832,1640,0.6547295514995564,0.2242018801048455,338,242,230,190,0.6048608436055469,0.15405485026936572,
higgs,GaussianNB,Baseline,10,0.015625,0.0,5.183533668518066,0.003726959228515625,0.7275621104052733,2634,2826,1416,2124,0.6510481664271635,0.2205330407177776,286,308,164,242,0.6415639445300463,0.19488113459933576,
higgs,GaussianNB,Standard Scaler,1,0.03125,0.015625,5.575058937072754,0.004329681396484375,0.7184664217459766,2679,2782,1461,2078,0.651012826973272,0.21918355618077703,291,306,165,238,0.6395193430700878,0.2002164851698917,
higgs,GaussianNB,Standard Scaler,2,0.015625,0.0,5.574601173400879,0.004329681396484375,0.744115731300331,2430,2983,1260,2327,0.651150262899469,0.2170627564958419,254,339,132,275,0.6224298540289533,0.2049583125248347,
higgs,GaussianNB,Standard Scaler,3,0.015625,0.0,5.575068473815918,0.004329681396484375,0.6850885390498105,2872,2615,1628,1885,0.6530449365438906,0.21969190820426146,345,292,179,184,0.672418014199768,0.2719868490393011,
higgs,GaussianNB,Standard Scaler,4,0.03125,0.0,5.57504940032959,0.004329681396484375,0.6550269802476901,3240,2263,1980,1517,0.6508077135145641,0.21689481270451855,347,232,239,182,0.61452726973539,0.15051676524857996,
higgs,GaussianNB,Standard Scaler,5,0.03125,0.0,5.574942588806152,0.004329681396484375,0.6851077866110741,2848,2681,1562,1909,0.6566745034210597,0.23023064034895832,315,293,178,214,0.6599079302774533,0.21719888698697692,
higgs,GaussianNB,Standard Scaler,6,0.015625,0.0,5.575018882751465,0.004329681396484375,0.7194873657248636,2634,2827,1416,2123,0.6514450515659693,0.2207315633923305,277,320,151,252,0.6549151345124999,0.20482799856490375,
higgs,GaussianNB,Standard Scaler,7,0.015625,0.0,5.574995994567871,0.004329681396484375,0.7092839972280672,2686,2788,1454,2072,0.6521308859403324,0.22210716986666793,291,311,161,237,0.6558607794042117,0.21067812766998173,
higgs,GaussianNB,Standard Scaler,8,0.03125,0.015625,5.575043678283691,0.004329681396484375,0.6423506001440213,3135,2427,1815,1623,0.6565520855814638,0.23180801054144975,344,272,200,184,0.6499823446327684,0.22831464095681106,
higgs,GaussianNB,Standard Scaler,9,0.03125,0.015625,5.575087547302246,0.004329681396484375,0.6706223025237321,3118,2410,1832,1640,0.6547295514995564,0.2242018801048455,338,242,230,190,0.6048608436055469,0.15405485026936572,
higgs,GaussianNB,Standard Scaler,10,0.015625,0.015625,5.574955940246582,0.004329681396484375,0.7275621112120382,2634,2826,1416,2124,0.6510481664271635,0.2205330407177776,286,308,164,242,0.6415639445300463,0.19488113459933576,
higgs,GaussianNB,MinMax Scaler,1,0.03125,0.015625,5.575392723083496,0.004778861999511719,0.7184664231405357,2679,2782,1461,2078,0.6510128765175858,0.21918355618077703,291,306,165,238,0.6395193430700878,0.2002164851698917,
higgs,GaussianNB,MinMax Scaler,2,0.015625,0.0,5.575081825256348,0.004778861999511719,0.7441157247616055,2430,2983,1260,2327,0.651150262899469,0.2170627564958419,254,339,132,275,0.6224298540289533,0.2049583125248347,
higgs,GaussianNB,MinMax Scaler,3,0.015625,0.015625,5.575366020202637,0.004778861999511719,0.6850885363162855,2872,2615,1628,1885,0.6530449365438906,0.21969190820426146,345,292,179,184,0.672418014199768,0.2719868490393011,
higgs,GaussianNB,MinMax Scaler,4,0.015625,0.0,5.575657844543457,0.004778861999511719,0.6550269774896642,3240,2263,1980,1517,0.6508077135145641,0.21689481270451855,347,232,239,182,0.61452726973539,0.15051676524857996,
higgs,GaussianNB,MinMax Scaler,5,0.015625,0.0,5.575678825378418,0.004778861999511719,0.6851077863874624,2848,2681,1562,1909,0.6566745034210597,0.23023064034895832,315,293,178,214,0.6599079302774533,0.21719888698697692,
higgs,GaussianNB,MinMax Scaler,6,0.03125,0.0,5.5748701095581055,0.004778861999511719,0.7194873632298288,2634,2827,1416,2123,0.6514450515659693,0.2207315633923305,277,320,151,252,0.6549151345124999,0.20482799856490375,
higgs,GaussianNB,MinMax Scaler,7,0.03125,0.0,5.575728416442871,0.004778861999511719,0.7092839940395881,2686,2788,1454,2072,0.6521308859403324,0.22210716986666793,291,311,161,237,0.6558607794042117,0.21067812766998173,
higgs,GaussianNB,MinMax Scaler,8,0.03125,0.015625,5.5750627517700195,0.004778861999511719,0.6423506035230452,3135,2427,1815,1623,0.6565520855814638,0.23180801054144975,344,272,200,184,0.6499823446327684,0.22831464095681106,
higgs,GaussianNB,MinMax Scaler,9,0.03125,0.0,5.575486183166504,0.004778861999511719,0.6706223035233502,3118,2410,1832,1640,0.6547295514995564,0.2242018801048455,338,242,230,190,0.6048608436055469,0.15405485026936572,
higgs,GaussianNB,MinMax Scaler,10,0.03125,0.0,5.575837135314941,0.004778861999511719,0.7275621072615123,2634,2826,1416,2124,0.6510481664271635,0.2205330407177776,286,308,164,242,0.6415639445300463,0.19488113459933576,
higgs,GaussianNB,IQR Capping,1,0.109375,0.015625,7.145191192626953,0.004384040832519531,0.6488623168973896,2599,2972,1271,2158,0.6690937269913111,0.24884850248056375,273,321,150,256,0.6533338149535035,0.1996456814387396,
higgs,GaussianNB,IQR Capping,2,0.09375,0.015625,7.1432342529296875,0.004384040832519531,0.6658433590962036,2509,3062,1181,2248,0.6701345043891556,0.2528152276990016,254,345,126,275,0.6406872719829506,0.2186683970298762,
higgs,GaussianNB,IQR Capping,3,0.109375,0.015625,7.143251419067383,0.004384040832519531,0.6492301544004621,2512,3065,1178,2245,0.6726194489869699,0.25417291647886847,300,337,134,229,0.6938059632604081,0.2846214625660977,
