Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
ilpd,GaussianNB,Baseline,1,0.015625,0.0,0.16005992889404297,0.0024957656860351562,0.9877653937771211,137,186,188,13,0.7294652406417111,0.38246801742138425,16,23,19,1,0.7815126050420168,0.450647201063756,
ilpd,GaussianNB,Baseline,2,0.015625,0.0,0.1577596664428711,0.0024957656860351562,0.9900847747817143,136,185,189,14,0.7335828877005347,0.3737687709100202,17,21,21,0,0.7731092436974791,0.47295265146345866,
ilpd,GaussianNB,Baseline,3,0.015625,0.0,0.15771961212158203,0.0024957656860351562,0.9922987380014126,136,184,190,14,0.7194295900178254,0.37164359956249793,17,23,19,0,0.8669467787114846,0.5085252044863495,
ilpd,GaussianNB,Baseline,4,0.015625,0.015625,0.1578836441040039,0.0024957656860351562,0.9801807737947692,140,183,191,11,0.7383397669724121,0.39055276381215,14,18,24,2,0.7098214285714286,0.2854557100602737,
ilpd,GaussianNB,Baseline,5,0.015625,0.0,0.15793132781982422,0.0024957656860351562,0.971962599955383,141,179,195,10,0.7419343414668698,0.388889328056883,13,26,16,3,0.7068452380952381,0.3857583749052298,
ilpd,GaussianNB,Baseline,6,0.015625,0.0,0.1579751968383789,0.0024957656860351562,0.9575214162396659,141,184,190,10,0.7503275843751107,0.3992708300990406,14,14,28,2,0.6324404761904763,0.20833333333333334,
ilpd,GaussianNB,Baseline,7,0.0,0.0,0.158111572265625,0.0024957656860351562,0.9898427392965083,137,187,188,13,0.733671111111111,0.38326732988065415,16,18,23,1,0.7532281205164992,0.3687401099943506,
ilpd,GaussianNB,Baseline,8,0.0,0.0,0.1582956314086914,0.0024957656860351562,0.9901204777719501,138,193,182,12,0.7546844444444445,0.40249981063470774,15,16,25,2,0.5523672883787661,0.2682075281872438,
ilpd,GaussianNB,Baseline,9,0.0,0.0,0.1579723358154297,0.0024957656860351562,0.9837005507070623,137,181,194,13,0.7297955555555555,0.3706308686396926,16,23,18,1,0.7819225251076041,0.46409466490235485,
ilpd,GaussianNB,Baseline,10,0.015625,0.0,0.15816402435302734,0.0024957656860351562,0.9530145270878965,142,171,204,8,0.7386844444444445,0.3837446891322081,15,22,19,2,0.7230989956958392,0.3871875490042503,
ilpd,GaussianNB,Standard Scaler,1,0.015625,0.015625,0.1954946517944336,0.0027551651000976562,0.987764353307722,137,186,188,13,0.7294474153297682,0.38246801742138425,16,23,19,1,0.7815126050420168,0.450647201063756,
ilpd,GaussianNB,Standard Scaler,2,0.0,0.0,0.1952657699584961,0.0027551651000976562,0.9900818515743074,136,185,189,14,0.7335828877005348,0.3737687709100202,17,21,21,0,0.7731092436974791,0.47295265146345866,
ilpd,GaussianNB,Standard Scaler,3,0.0,0.0,0.1953134536743164,0.0027551651000976562,0.9922986810359291,136,184,190,14,0.7194117647058823,0.37164359956249793,17,23,19,0,0.8669467787114846,0.5085252044863495,
ilpd,GaussianNB,Standard Scaler,4,0.015625,0.0,0.195556640625,0.0027551651000976562,0.9801547511203365,140,183,191,11,0.738375181499451,0.39055276381215,14,18,24,2,0.7098214285714286,0.2854557100602737,
ilpd,GaussianNB,Standard Scaler,5,0.015625,0.0,0.1956043243408203,0.0027551651000976562,0.9719596857374286,141,179,195,10,0.7418989269398306,0.388889328056883,13,26,16,3,0.7068452380952381,0.3857583749052298,
ilpd,GaussianNB,Standard Scaler,6,0.015625,0.0,0.19546127319335938,0.0027551651000976562,0.9575425171947709,141,184,190,10,0.7503098771115911,0.3992708300990406,14,14,28,2,0.6324404761904763,0.20833333333333334,
ilpd,GaussianNB,Standard Scaler,7,0.015625,0.0,0.1956043243408203,0.0027551651000976562,0.9898372978761142,137,187,188,13,0.733671111111111,0.38326732988065415,16,18,23,1,0.7532281205164992,0.3687401099943506,
ilpd,GaussianNB,Standard Scaler,8,0.015625,0.0,0.19556045532226562,0.0027551651000976562,0.9901161933919306,138,193,182,12,0.7546844444444445,0.40249981063470774,15,16,25,2,0.5523672883787661,0.2682075281872438,
ilpd,GaussianNB,Standard Scaler,9,0.015625,0.0,0.1956043243408203,0.0027551651000976562,0.983687885096008,137,181,194,13,0.7297777777777777,0.3706308686396926,16,23,18,1,0.7819225251076041,0.46409466490235485,
ilpd,GaussianNB,Standard Scaler,10,0.015625,0.0,0.1956043243408203,0.0027551651000976562,0.9530017673135273,142,171,204,8,0.73872,0.3837446891322081,15,22,19,2,0.7230989956958392,0.3871875490042503,
ilpd,GaussianNB,MinMax Scaler,1,0.0,0.0,0.1609487533569336,0.0029754638671875,0.9877643518550557,137,186,188,13,0.7294474153297682,0.38246801742138425,16,23,19,1,0.7815126050420168,0.450647201063756,
ilpd,GaussianNB,MinMax Scaler,2,0.015625,0.0,0.16088581085205078,0.0029754638671875,0.9900818384295119,136,185,189,14,0.7335828877005348,0.3737687709100202,17,21,21,0,0.7731092436974791,0.47295265146345866,
ilpd,GaussianNB,MinMax Scaler,3,0.0,0.0,0.16065692901611328,0.0029754638671875,0.9922986728401115,136,184,190,14,0.7194117647058823,0.37164359956249793,17,23,19,0,0.8669467787114846,0.5085252044863495,
ilpd,GaussianNB,MinMax Scaler,4,0.015625,0.0,0.16104602813720703,0.0029754638671875,0.9801547326400534,140,183,191,11,0.738375181499451,0.39055276381215,14,18,24,2,0.7098214285714286,0.2854557100602737,
ilpd,GaussianNB,MinMax Scaler,5,0.015625,0.0,0.1608743667602539,0.0029754638671875,0.9719598077261004,141,179,195,10,0.7418989269398306,0.388889328056883,13,26,16,3,0.7068452380952381,0.3857583749052298,
ilpd,GaussianNB,MinMax Scaler,6,0.015625,0.0,0.16060352325439453,0.0029754638671875,0.957542935192264,141,184,190,10,0.7503098771115911,0.3992708300990406,14,14,28,2,0.6324404761904763,0.20833333333333334,
ilpd,GaussianNB,MinMax Scaler,7,0.015625,0.0,0.16118717193603516,0.0029754638671875,0.9898372842276643,137,187,188,13,0.733671111111111,0.38326732988065415,16,18,23,1,0.7532281205164992,0.3687401099943506,
ilpd,GaussianNB,MinMax Scaler,8,0.015625,0.0,0.16100311279296875,0.0029754638671875,0.9901161822503449,138,193,182,12,0.7546844444444445,0.40249981063470774,15,16,25,2,0.5523672883787661,0.2682075281872438,
ilpd,GaussianNB,MinMax Scaler,9,0.0,0.0,0.1611032485961914,0.0029754638671875,0.9836878596774746,137,181,194,13,0.7297777777777777,0.3706308686396926,16,23,18,1,0.7819225251076041,0.46409466490235485,
ilpd,GaussianNB,MinMax Scaler,10,0.015625,0.0,0.16100406646728516,0.0029754638671875,0.9530021496793382,142,171,204,8,0.73872,0.3837446891322081,15,22,19,2,0.7230989956958392,0.3871875490042503,
ilpd,GaussianNB,IQR Capping,1,0.046875,0.015625,0.20934295654296875,0.0028095245361328125,0.04180961801394415,140,174,200,10,0.7351871657754011,0.3774348507068154,16,20,22,1,0.8151260504201681,0.3947896082243997,
ilpd,GaussianNB,IQR Capping,2,0.046875,0.015625,0.20897483825683594,0.0028095245361328125,0.8924986783378522,111,249,125,39,0.7438680926916221,0.36865056253574763,10,30,12,7,0.7605042016806722,0.2833299224962435,
ilpd,GaussianNB,IQR Capping,3,0.046875,0.015625,0.20911788940429688,0.0028095245361328125,0.05410457112690204,139,172,202,11,0.7301782531194295,0.36651798344893555,17,21,21,0,0.8669467787114846,0.47295265146345866,
ilpd,GaussianNB,IQR Capping,4,0.046875,0.0,0.2092571258544922,0.0028095245361328125,0.0429405828410785,140,178,196,11,0.7484506144420441,0.38012266150916246,14,18,24,2,0.7008928571428572,0.2854557100602737,
ilpd,GaussianNB,IQR Capping,5,0.03125,0.015625,0.2093524932861328,0.0028095245361328125,0.5486426576833764,131,211,163,20,0.75280660126784,0.39368383674554047,10,27,15,6,0.6979166666666667,0.24174688920761409,
ilpd,GaussianNB,IQR Capping,6,0.046875,0.0,0.20940017700195312,0.0028095245361328125,0.19270479905613935,138,192,182,13,0.7525055777880086,0.39644334100499795,13,15,27,3,0.6547619047619048,0.16389057034380913,
