Dataset,Model,Preprocessor,Fold,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Optimal_Threshold,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_MCC,Error_Log
irish,GaussianNB,Baseline,1,0.015625,0.0,0.10555744171142578,0.002391815185546875,0.9999709877270309,192,244,6,8,0.9844400000000001,0.9369749612033813,22,26,2,0,0.9983766233766234,0.9225998461903602,
irish,GaussianNB,Baseline,2,0.015625,0.0,0.1033620834350586,0.002391815185546875,0.9999789145461377,190,246,4,10,0.98536,0.9371541458272684,20,28,0,2,0.9853896103896104,0.9211323729436766,
irish,GaussianNB,Baseline,3,0.015625,0.015625,0.10331344604492188,0.002391815185546875,0.9999761193289681,190,246,4,10,0.9856,0.9371541458272684,20,27,1,2,0.9837662337662337,0.8783816879813642,
irish,GaussianNB,Baseline,4,0.015625,0.0,0.10331058502197266,0.002391815185546875,0.9999803801484349,191,247,3,9,0.9868199999999999,0.9461845390954112,19,26,2,3,0.9659090909090908,0.7967477021094902,
irish,GaussianNB,Baseline,5,0.015625,0.0,0.10326671600341797,0.002391815185546875,0.9999855334124073,187,248,2,13,0.98542,0.9332834844769153,21,28,0,1,0.9821428571428571,0.9600156738532383,
irish,GaussianNB,Baseline,6,0.0,0.0,0.10331058502197266,0.002391815185546875,0.9999804759829632,191,247,3,9,0.9868,0.9461845390954112,21,28,0,1,0.9805194805194805,0.9600156738532383,
irish,GaussianNB,Baseline,7,0.0,0.0,0.1034536361694336,0.002391815185546875,0.9999829679366246,192,248,2,8,0.9871599999999999,0.955214932363554,21,27,1,1,0.9805194805194805,0.9188311688311688,
irish,GaussianNB,Baseline,8,0.015625,0.0,0.10349750518798828,0.002391815185546875,0.9999844964535894,187,248,2,13,0.9836599999999999,0.9332834844769153,20,28,0,2,1.0,0.9211323729436766,
irish,GaussianNB,Baseline,9,0.015625,0.0,0.10349369049072266,0.002391815185546875,0.999984029721482,187,249,2,12,0.985425133636309,0.9375673878131,22,27,0,1,0.9903381642512077,0.9603958811069554,
irish,GaussianNB,Baseline,10,0.0,0.0,0.10349750518798828,0.002391815185546875,0.9999756400879097,189,246,5,10,0.9844040921740175,0.9324925479667314,23,26,1,0,1.0,0.9606453592105879,
irish,GaussianNB,Standard Scaler,1,0.015625,0.0,0.11419010162353516,0.002513885498046875,0.9999981318251363,192,244,6,8,0.9844400000000001,0.9369749612033813,22,26,2,0,0.9983766233766234,0.9225998461903602,
irish,GaussianNB,Standard Scaler,2,0.0,0.0,0.11383342742919922,0.002513885498046875,0.9999986615497043,190,246,4,10,0.98536,0.9371541458272684,20,28,0,2,0.9853896103896104,0.9211323729436766,
irish,GaussianNB,Standard Scaler,3,0.0,0.0,0.11385250091552734,0.002513885498046875,0.9999984262933442,190,246,4,10,0.9856,0.9371541458272684,20,27,1,2,0.9837662337662337,0.8783816879813642,
irish,GaussianNB,Standard Scaler,4,0.015625,0.0,0.11374950408935547,0.002513885498046875,0.9999987149543087,191,247,3,9,0.9868199999999999,0.9461845390954112,19,26,2,3,0.9659090909090908,0.7967477021094902,
